snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1873-01-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,England,0.649122638064138,1.849998627676622,"[('England', 0.649122638064138), ('Scotland', 0.3508773619358619)]"
1874-01-01,2,1,0.5,1,0,0,1,1,0.649122638064138,0.4999999999999999,Scotland,0.649122638064138,1.849998627676622,"[('Scotland', 0.649122638064138), ('England', 0.3508773619358619)]"
1876-01-01,3,2,0.3333333333333333,1,1,0,1,0,0.5744685965480859,0.3333333333333333,Scotland,0.5744685965480859,2.7000056488803987,"[('Scotland', 0.5744685965480859), ('England', 0.212765701725957), ('Wales', 0.212765701725957)]"
1877-01-01,3,2,0.3333333333333333,1,0,0,0,0,0.5744685965480859,0.3333333333333333,Scotland,0.5744685965480859,2.7000056488803987,"[('Scotland', 0.5744685965480859), ('England', 0.212765701725957), ('Wales', 0.212765701725957)]"
1878-01-01,3,2,0.3333333333333333,1,0,0,0,0,0.5744685965480859,0.3333333333333333,Scotland,0.5744685965480859,2.7000056488803987,"[('Scotland', 0.5744685965480859), ('England', 0.212765701725957), ('Wales', 0.212765701725957)]"
1879-01-01,3,3,0.5,1,0,0,2,1,0.5208692975273159,0.3333333333333333,England,0.5208692975273159,1.849999099124769,"[('England', 0.5208692975273159), ('Scotland', 0.28155110874039785), ('Wales', 0.19757959373228617)]"
1880-01-01,3,3,0.5,1,0,0,1,1,0.5208692975273159,0.3333333333333333,Scotland,0.5208692975273159,1.849999099124769,"[('Scotland', 0.5208692975273159), ('England', 0.28155110874039785), ('Wales', 0.19757959373228617)]"
1881-01-01,3,3,0.5,1,0,0,1,1,0.5208692975273159,0.3333333333333333,Scotland,0.5208692975273159,1.849999099124769,"[('Scotland', 0.5208692975273159), ('Wales', 0.28155110874039785), ('England', 0.19757959373228617)]"
1882-01-01,4,5,0.4166666666666667,1,1,0,2,0,0.4278326099304465,0.24999999999999997,Scotland,0.4278326099304465,1.6407035890232489,"[('Scotland', 0.4278326099304465), ('Wales', 0.26076167126881566), ('England', 0.18299091153140434), ('Northern Ireland', 0.1284148072693334)]"
1883-01-01,4,4,0.3333333333333333,1,0,0,1,2,0.4399862970804468,0.24999999999999997,Scotland,0.4399862970804468,1.4763705949361954,"[('Scotland', 0.4399862970804468), ('England', 0.29801887045810593), ('Northern Ireland', 0.13099741623072358), ('Wales', 0.13099741623072358)]"
1884-01-01,4,6,0.5,1,0,0,2,0,0.4513761585479028,0.25,Scotland,0.4513761585479028,1.8499973764298727,"[('Scotland', 0.4513761585479028), ('England', 0.24398745873843836), ('Wales', 0.17121913703515867), ('Northern Ireland', 0.1334172456785002)]"
1885-01-01,4,4,0.3333333333333333,1,0,0,0,2,0.39963540677933773,0.25,Scotland,0.39963540677933773,1.8500018313073179,"[('Scotland', 0.39963540677933773), ('England', 0.21601892496340522), ('Wales', 0.21601892496340522), ('Northern Ireland', 0.1683267432938519)]"
