snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1956-01-01,4,3,0.25,2,0,0,0,0,0.41194547941316084,0.25,Cambodia,0.41194547941316084,1.0,"[('Cambodia', 0.41194547941316084), ('Malaysia', 0.41194547941316084), ('South Korea', 0.11431653077419644), ('Philippines', 0.0617925103994819)]"
1956-05-01,4,2,0.16666666666666666,2,2,2,2,3,0.32456160227748454,0.24999999999999994,South Korea,0.32456160227748454,1.0,"[('South Korea', 0.32456160227748454), ('Vietnam Republic', 0.32456160227748454), ('Taiwan', 0.17543839772251532), ('Malaysia', 0.17543839772251532)]"
1959-01-01,3,2,0.3333333333333333,1,2,3,2,2,0.37012974744707666,0.3333333333333332,Hong Kong,0.37012974744707666,1.0,"[('Hong Kong', 0.37012974744707666), ('Taiwan', 0.37012974744707666), ('Philippines', 0.25974050510584634)]"
1959-05-01,3,3,0.5,1,3,3,3,2,0.5208692975273159,0.3333333333333333,Vietnam Republic,0.5208692975273159,1.849999099124769,"[('Vietnam Republic', 0.5208692975273159), ('Malaysia', 0.28155110874039785), ('Singapore', 0.19757959373228617)]"
1959-09-01,4,4,0.3333333333333333,1,4,3,4,3,0.39036291569760717,0.25000000000000006,Iran,0.39036291569760717,1.229330530303043,"[('Iran', 0.39036291569760717), ('Israel', 0.3175410567582492), ('India', 0.1716439352034471), ('Pakistan', 0.12045209234069676)]"
1963-09-01,4,5,0.4166666666666667,1,4,4,5,4,0.4278326099304465,0.24999999999999997,Hong Kong,0.4278326099304465,1.6407035890232489,"[('Hong Kong', 0.4278326099304465), ('Vietnam Republic', 0.26076167126881566), ('Malaysia', 0.18299091153140434), ('Thailand', 0.1284148072693334)]"
1967-01-01,5,4,0.2,1,1,0,2,3,0.3001662808538938,0.20000000000000004,Vietnam Republic,0.3001662808538938,1.2572733385700818,"[('Vietnam Republic', 0.3001662808538938), ('Hong Kong', 0.23874385278485102), ('Malaysia', 0.23874385278485102), ('Singapore', 0.11117300678820213), ('Thailand', 0.11117300678820213)]"
1967-05-01,4,5,0.4166666666666667,1,4,5,5,4,0.49277103533536337,0.24999999999999997,Japan,0.49277103533536337,2.700000648325816,"[('Japan', 0.49277103533536337), ('Indonesia', 0.18250774704106643), ('South Korea', 0.18250774704106643), ('Philippines', 0.14221347058250372)]"
1967-09-01,4,3,0.25,1,4,4,3,5,0.5419853569696174,0.24999999999999994,Myanmar,0.5419853569696174,3.5500089258085,"[('Myanmar', 0.5419853569696174), ('Cambodia', 0.1526715476767942), ('India', 0.1526715476767942), ('Pakistan', 0.1526715476767942)]"
1971-05-01,6,12,0.4,1,5,3,12,3,0.28817911588148365,0.1666666666666667,Thailand,0.28817911588148365,1.0142957916628579,"[('Thailand', 0.28817911588148365), ('Indonesia', 0.2841174322620788), ('Malaysia', 0.22487069576679758), ('Cambodia', 0.15283275608964011), ('Hong Kong', 0.025), ('Brunei', 0.025)]"
1971-09-01,7,13,0.30952380952380953,2,7,6,13,12,0.33116809691424093,0.14285714285714282,Iraq,0.33116809691424093,2.19122945548963,"[('Iraq', 0.33116809691424093), ('Lebanon', 0.15113346349218434), ('Kuwait', 0.14155931031913882), ('Jordan', 0.13092651029545416), ('Bahrain', 0.12192844572045376), ('Sri Lanka', 0.061642086629263806), ('Syria', 0.061642086629263806)]"
1975-01-01,9,16,0.2222222222222222,2,8,6,16,13,0.2173212246888396,0.11111111111111109,Malaysia,0.2173212246888396,1.236007401947611,"[('Malaysia', 0.2173212246888396), ('Iraq', 0.17582518061493851), ('Thailand', 0.13245556249137727), ('Qatar', 0.10639140739001829), ('Saudi Arabia', 0.10223219719059393), ('South Korea', 0.09295116093924902), ('Indonesia', 0.06522895172817857), ('Vietnam Republic', 0.053797157478402344), ('Afghanistan', 0.053797157478402344)]"
1975-05-01,6,7,0.23333333333333334,2,6,9,7,16,0.4557420282247296,0.1666666666666667,China PR,0.4557420282247296,1.0258499727164563,"[('China PR', 0.4557420282247296), ('North Korea', 0.44425797177527065), ('Brunei', 0.025), ('Hong Kong', 0.025), ('Japan', 0.025), ('Singapore', 0.025)]"
