snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1961-05-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Uganda,0.649122638064138,1.849998627676622,"[('Uganda', 0.649122638064138), ('Kenya', 0.3508773619358619)]"
1961-09-01,4,3,0.25,2,2,0,2,0,0.41194547941316084,0.25,Kenya,0.41194547941316084,1.0,"[('Kenya', 0.41194547941316084), ('Uganda', 0.41194547941316084), ('Nigeria', 0.11431653077419644), ('Tunisia', 0.0617925103994819)]"
1963-05-01,4,3,0.25,2,2,2,3,3,0.41194547941316084,0.25,Morocco,0.41194547941316084,1.0,"[('Morocco', 0.41194547941316084), ('Tunisia', 0.41194547941316084), ('Sudan', 0.11431653077419644), ('Kenya', 0.0617925103994819)]"
1965-01-01,8,7,0.125,3,7,3,7,3,0.227063959908337,0.12499999999999994,Ethiopia,0.227063959908337,1.0,"[('Ethiopia', 0.227063959908337), ('Senegal', 0.227063959908337), ('Sudan', 0.21634327463075265), ('Guinea', 0.21634327463075265), ('Ivory Coast', 0.04317386231038507), ('Uganda', 0.023337222870478416), ('DR Congo', 0.023337222870478416), ('Mali', 0.023337222870478416)]"
1965-05-01,8,6,0.10714285714285714,3,1,1,5,6,0.1852960987421658,0.125,Mali,0.1852960987421658,1.1258656194615202,"[('Mali', 0.1852960987421658), ('Ivory Coast', 0.16458100819420113), ('Guinea', 0.14272694058483276), ('Senegal', 0.14272694058483276), ('Liberia', 0.11835742998149823), ('Sudan', 0.11835742998149823), ('DR Congo', 0.0639770759654856), ('Uganda', 0.0639770759654856)]"
1965-09-01,3,3,0.5,1,0,5,2,5,0.5208692975273159,0.3333333333333333,DR Congo,0.5208692975273159,1.849999099124769,"[('DR Congo', 0.5208692975273159), ('Ivory Coast', 0.28155110874039785), ('Liberia', 0.19757959373228617)]"
1967-01-01,18,13,0.042483660130718956,7,15,0,13,3,0.18355586918255076,0.055555555555555566,Guinea,0.18355586918255076,1.0495189304571655,"[('Guinea', 0.18355586918255076), ('Senegal', 0.1748952437690616), ('DR Congo', 0.12577232037073735), ('Sudan', 0.12577232037073735), ('Algeria', 0.05093779007925921), ('Egypt', 0.034901819119929366), ('Togo', 0.034901819119929366), ('Tunisia', 0.034901819119929366), ('Uganda', 0.034901819119929366), ('Ivory Coast', 0.033699121311869834)]"
1967-05-01,13,7,0.04487179487179487,6,3,8,5,11,0.1424807422403255,0.07692307692307693,Ivory Coast,0.1424807422403255,1.4594623926804624,"[('Ivory Coast', 0.1424807422403255), ('Congo', 0.09762549754957647), ('DR Congo', 0.09762549754957647), ('Egypt', 0.09762549754957647), ('Senegal', 0.09762549754957647), ('Tanzania', 0.09762549754957647), ('Cameroon', 0.05277025285882744), ('Sudan', 0.05277025285882744), ('Uganda', 0.05277025285882744), ('Nigeria', 0.05277025285882744)]"
1967-09-01,6,3,0.1,3,3,10,3,7,0.21637440151832305,0.16666666666666663,DR Congo,0.21637440151832305,1.0,"[('DR Congo', 0.21637440151832305), ('Mali', 0.21637440151832305), ('Senegal', 0.21637440151832305), ('Tanzania', 0.11695893181501019), ('Burkina Faso', 0.11695893181501019), ('Guinea', 0.11695893181501019)]"
1968-09-01,2,1,0.5,1,2,6,1,3,0.649122638064138,0.4999999999999999,Zambia,0.649122638064138,1.849998627676622,"[('Zambia', 0.649122638064138), ('Mauritius', 0.3508773619358619)]"
1969-01-01,6,5,0.16666666666666666,3,6,2,5,1,0.22586063211835578,0.1666666666666666,Algeria,0.22586063211835578,1.0,"[('Algeria', 0.22586063211835578), ('Morocco', 0.22586063211835578), ('Cameroon', 0.22586063211835578), ('Uganda', 0.22586063211835578), ('Tanzania', 0.0626778423234089), ('Kenya', 0.03387962920316771)]"
1969-05-01,8,4,0.07142857142857142,4,6,4,4,5,0.16228046790884154,0.12499999999999997,Cameroon,0.16228046790884154,1.0,"[('Cameroon', 0.16228046790884154), ('Ethiopia', 0.16228046790884154), ('Ghana', 0.16228046790884154), ('Guinea', 0.16228046790884154), ('Zambia', 0.0877195320911584), ('Tanzania', 0.0877195320911584), ('Niger', 0.0877195320911584), ('Togo', 0.0877195320911584)]"
1969-09-01,8,4,0.07142857142857142,4,5,5,3,3,0.16228046790884154,0.12499999999999997,Egypt,0.16228046790884154,1.0,"[('Egypt', 0.16228046790884154), ('Ghana', 0.16228046790884154), ('Guinea', 0.16228046790884154), ('Ivory Coast', 0.16228046790884154), ('Algeria', 0.0877195320911584), ('Niger', 0.0877195320911584), ('Senegal', 0.0877195320911584), ('Mali', 0.0877195320911584)]"
1970-09-01,20,12,0.031578947368421054,10,15,3,12,4,0.13476477717203256,0.05000000000000001,Algeria,0.13476477717203256,1.0,"[('Algeria', 0.13476477717203256), ('Morocco', 0.13476477717203256), ('Madagascar', 0.13476477717203256), ('Mauritius', 0.13476477717203256), ('Congo', 0.037401010335447404), ('DR Congo', 0.037401010335447404), ('Egypt', 0.037401010335447404), ('Ivory Coast', 0.037401010335447404), ('Kenya', 0.037401010335447404), ('Mali', 0.037401010335447404)]"
1971-01-01,2,1,0.5,1,0,18,0,11,0.649122638064138,0.4999999999999999,Egypt,0.649122638064138,1.849998627676622,"[('Egypt', 0.649122638064138), ('Libya', 0.3508773619358619)]"
1971-05-01,4,2,0.16666666666666666,2,4,2,2,1,0.32456160227748454,0.24999999999999994,Guinea,0.32456160227748454,1.0,"[('Guinea', 0.32456160227748454), ('Kenya', 0.32456160227748454), ('Senegal', 0.17543839772251532), ('Mauritius', 0.17543839772251532)]"
1971-09-01,10,8,0.08888888888888889,5,9,3,8,2,0.14587855709293931,0.10000000000000005,Congo,0.14587855709293931,1.0,"[('Congo', 0.14587855709293931), ('Ivory Coast', 0.14587855709293931), ('DR Congo', 0.14587855709293931), ('Zambia', 0.14587855709293931), ('Egypt', 0.14587855709293931), ('Morocco', 0.14587855709293931), ('Mali', 0.040482202861724395), ('Togo', 0.040482202861724395), ('Guinea', 0.02188212585945782), ('Ghana', 0.02188212585945782)]"
