snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1979-01-01,7,10,0.23809523809523808,2,0,0,0,0,0.3885741275429529,0.14285714285714282,Senegal,0.3885741275429529,1.9397575673092133,"[('Senegal', 0.3885741275429529), ('Mali', 0.20032097520411993), ('Guinea-Bissau', 0.09777335555004253), ('Gambia', 0.08805312048788182), ('Guinea', 0.08805312048788182), ('Mauritania', 0.06861265036356037), ('Cape Verde', 0.06861265036356037)]"
1980-01-01,6,8,0.26666666666666666,2,0,1,7,9,0.3212742710710456,0.16666666666666674,Senegal,0.3212742710710456,1.0527773249694639,"[('Senegal', 0.3212742710710456), ('Mali', 0.30516830430439246), ('Mauritania', 0.2843907579578957), ('Gambia', 0.03208333333333333), ('Guinea', 0.03208333333333333), ('Guinea-Bissau', 0.025)]"
1981-01-01,7,9,0.21428571428571427,3,1,0,9,8,0.25385258013094947,0.14285714285714282,Guinea,0.25385258013094947,1.2995152819165352,"[('Guinea', 0.25385258013094947), ('Mali', 0.19534405148092274), ('Senegal', 0.1839442572934274), ('Cape Verde', 0.11741126421198515), ('Guinea-Bissau', 0.09749987732077715), ('Mauritania', 0.075973984780969), ('Gambia', 0.075973984780969)]"
1982-01-01,8,13,0.23214285714285715,2,1,0,9,5,0.24937965799201667,0.12499999999999997,Guinea,0.24937965799201667,1.4206092430360782,"[('Guinea', 0.24937965799201667), ('Cape Verde', 0.17554416122131578), ('Senegal', 0.1494034833967437), ('Mali', 0.13535183486928204), ('Mauritania', 0.09498383392833055), ('Gambia', 0.08561438845383378), ('Sierra Leone', 0.06447625262559505), ('Guinea-Bissau', 0.0452463875128823)]"
1983-05-01,7,9,0.21428571428571427,2,0,1,4,8,0.30024233535247696,0.14285714285714282,Senegal,0.30024233535247696,1.8654453612893862,"[('Senegal', 0.30024233535247696), ('Mauritania', 0.16094941271555174), ('Mali', 0.1490920608217561), ('Guinea-Bissau', 0.12809125588030457), ('Cape Verde', 0.12124997408461753), ('Gambia', 0.08248847069471527), ('Guinea', 0.05788649045057753)]"
1984-01-01,7,11,0.2619047619047619,2,1,1,7,5,0.2889852780106696,0.14285714285714277,Mali,0.2889852780106696,1.0128734557522796,"[('Mali', 0.2889852780106696), ('Senegal', 0.2853123224520036), ('Guinea-Bissau', 0.2809859446256433), ('Sierra Leone', 0.05037358399614366), ('Gambia', 0.03925214337361843), ('Cape Verde', 0.027545363770960306), ('Mauritania', 0.027545363770960306)]"
1985-01-01,7,12,0.2857142857142857,2,1,1,9,8,0.2637984528566157,0.14285714285714285,Senegal,0.2637984528566157,1.195340404515299,"[('Senegal', 0.2637984528566157), ('Gambia', 0.22068897852037708), ('Mali', 0.17000661998673142), ('Cape Verde', 0.16997435766082294), ('Guinea', 0.0686088128770296), ('Guinea-Bissau', 0.05346138904921159), ('Mauritania', 0.05346138904921159)]"
1986-01-01,7,11,0.2619047619047619,2,1,1,8,9,0.3810373449314241,0.14285714285714282,Senegal,0.3810373449314241,1.857009112809058,"[('Senegal', 0.3810373449314241), ('Sierra Leone', 0.2051887318716692), ('Gambia', 0.12380186397108607), ('Guinea-Bissau', 0.08687875733166996), ('Mauritania', 0.06769776729805015), ('Guinea', 0.06769776729805015), ('Mali', 0.06769776729805015)]"
1987-01-01,6,7,0.23333333333333334,2,1,2,7,11,0.3202641631775464,0.16666666666666663,Guinea,0.3202641631775464,1.5964914995730615,"[('Guinea', 0.3202641631775464), ('Sierra Leone', 0.20060499117169894), ('Mali', 0.1407754051687752), ('Senegal', 0.1407754051687752), ('Mauritania', 0.09879001765660197), ('Cape Verde', 0.09879001765660197)]"
1988-01-01,5,3,0.15,2,1,2,3,7,0.27611922133215694,0.2,Mali,0.27611922133215694,1.2982449447501272,"[('Mali', 0.27611922133215694), ('Senegal', 0.21268653688869285), ('Sierra Leone', 0.21268653688869285), ('Cape Verde', 0.14925385244522876), ('Gambia', 0.14925385244522876)]"
1988-05-01,8,5,0.08928571428571429,3,3,0,5,3,0.19956093581768314,0.12499999999999999,Guinea,0.19956093581768314,1.2297286197731647,"[('Guinea', 0.19956093581768314), ('Cape Verde', 0.1622804679088416), ('Guinea-Bissau', 0.1622804679088416), ('Senegal', 0.12499999999999997), ('Mauritania', 0.0877195320911584), ('Mali', 0.0877195320911584), ('Sierra Leone', 0.0877195320911584), ('Gambia', 0.0877195320911584)]"
1989-05-01,7,9,0.21428571428571427,3,0,1,9,5,0.3436329047070942,0.14285714285714282,Mali,0.3436329047070942,2.2040756997440067,"[('Mali', 0.3436329047070942), ('Guinea', 0.15590794125038698), ('Cape Verde', 0.15508594795619862), ('Guinea-Bissau', 0.12906680438250867), ('Sierra Leone', 0.08999622514652265), ('Senegal', 0.0631550882786443), ('Mauritania', 0.0631550882786443)]"
1991-09-01,7,7,0.16666666666666666,2,1,1,6,8,0.3473149088349838,0.1428571428571428,Senegal,0.3473149088349838,2.0421948726050942,"[('Senegal', 0.3473149088349838), ('Gambia', 0.17006942554504453), ('Cape Verde', 0.10959783977139552), ('Mali', 0.10959783977139552), ('Sierra Leone', 0.10959783977139552), ('Guinea-Bissau', 0.0769110731528924), ('Guinea', 0.0769110731528924)]"
