snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1951-01-01,6,6,0.2,3,0,0,0,0,0.39447812880371047,0.16666666666666666,India,0.39447812880371047,1.5931596823490517,"[('India', 0.39447812880371047), ('Iran', 0.24760740130083375), ('Japan', 0.1152605373013515), ('Afghanistan', 0.08088464419803473), ('Indonesia', 0.08088464419803473), ('Myanmar', 0.08088464419803473)]"
1954-05-01,12,13,0.09848484848484848,4,7,1,13,6,0.21744145112673993,0.08333333333333331,Taiwan,0.21744145112673993,1.345254545086617,"[('Taiwan', 0.21744145112673993), ('Myanmar', 0.16163591635569574), ('Indonesia', 0.11538660745995044), ('Pakistan', 0.08097312934908782), ('Hong Kong', 0.06237128442540643), ('India', 0.06237128442540643), ('South Korea', 0.06237128442540643), ('Vietnam', 0.06237128442540643), ('Afghanistan', 0.04376943950172503), ('Japan', 0.04376943950172503)]"
1958-05-01,14,20,0.10989010989010989,3,4,2,17,10,0.30647768807329445,0.07142857142857144,Taiwan,0.30647768807329445,2.643412612288564,"[('Taiwan', 0.30647768807329445), ('South Korea', 0.11594016259457807), ('Indonesia', 0.11189895892858062), ('India', 0.09239444595353749), ('Hong Kong', 0.059541911246857135), ('Israel', 0.05424577351158334), ('Philippines', 0.04178397862579065), ('Vietnam Republic', 0.04178397862579065), ('Japan', 0.02932218373999796), ('Myanmar', 0.02932218373999796)]"
1962-05-01,8,12,0.21428571428571427,2,1,7,9,17,0.25043905107457093,0.12500000000000006,Indonesia,0.25043905107457093,1.0,"[('Indonesia', 0.25043905107457093), ('Vietnam Republic', 0.25043905107457093), ('Malaysia', 0.25043905107457093), ('South Korea', 0.09903698322285813), ('India', 0.0535331291564625), ('Japan', 0.03756696370323558), ('Thailand', 0.029272885346865653), ('Philippines', 0.029272885346865653)]"
1962-09-01,4,4,0.3333333333333333,1,0,4,4,12,0.4161492488779942,0.25,India,0.4161492488779942,1.4944311768524725,"[('India', 0.4161492488779942), ('South Korea', 0.2784666536163115), ('Malaysia', 0.17945268439422316), ('Vietnam Republic', 0.12593141311147116)]"
1966-09-01,11,19,0.17272727272727273,3,7,0,19,4,0.25860676305113695,0.09090909090909091,Iran,0.25860676305113695,1.2528616886884898,"[('Iran', 0.25860676305113695), ('Myanmar', 0.20641285896598013), ('Japan', 0.1807161294083737), ('Singapore', 0.08334194846371686), ('Indonesia', 0.05987102717416256), ('Thailand', 0.042160880087276344), ('Vietnam Republic', 0.042160880087276344), ('India', 0.03796947932857351), ('Malaysia', 0.029586677811167847), ('Taiwan', 0.029586677811167847)]"
1970-09-01,10,18,0.2,3,1,2,15,16,0.3134248551457033,0.10000000000000005,Japan,0.3134248551457033,1.295092792365156,"[('Japan', 0.3134248551457033), ('Myanmar', 0.2420095741350802), ('South Korea', 0.17003985567210844), ('India', 0.16481634004710846), ('Indonesia', 0.024084375000000005), ('Thailand', 0.021375000000000005), ('Cambodia', 0.019250000000000003), ('Malaysia', 0.015000000000000003), ('Vietnam Republic', 0.015000000000000003), ('Iran', 0.015000000000000003)]"
1974-09-01,15,31,0.14761904761904762,4,8,3,30,17,0.28706394265449486,0.06666666666666667,Iran,0.28706394265449486,1.9013661093485317,"[('Iran', 0.28706394265449486), ('Israel', 0.15097773187555766), ('North Korea', 0.07423511725493889), ('Iraq', 0.06906886311439472), ('Malaysia', 0.0653477503599596), ('Kuwait', 0.06164563266157631), ('Myanmar', 0.0480354981704938), ('South Korea', 0.03743026940313886), ('China PR', 0.03370915664870375), ('Pakistan', 0.03370915664870375)]"
1978-09-01,14,28,0.15384615384615385,4,3,4,24,27,0.17705007128934588,0.0714285714285714,South Korea,0.17705007128934588,1.1222499200222122,"[('South Korea', 0.17705007128934588), ('China PR', 0.1577634964641758), ('Iraq', 0.14396369877270948), ('North Korea', 0.12748668594569101), ('Kuwait', 0.06225018684186621), ('Thailand', 0.055912461000543756), ('Malaysia', 0.050459068912123574), ('India', 0.04161573046481659), ('Japan', 0.03747849405980582), ('Qatar', 0.02920402124978428)]"
1982-09-01,16,28,0.11666666666666667,4,4,2,24,24,0.3889232421875,0.06250000000000003,Iraq,0.3889232421875,1.0559204692033621,"[('Iraq', 0.3889232421875), ('Kuwait', 0.36832626464843765), ('Saudi Arabia', 0.0446294970703125), ('North Korea', 0.0313189453125), ('Japan', 0.024430957031250002), ('Thailand', 0.01734375), ('China PR', 0.01714453125), ('India', 0.01714453125), ('Iran', 0.01714453125), ('Bangladesh', 0.012031250000000002)]"
