snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1929-09-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Romania,0.649122638064138,1.849998627676622,"[('Romania', 0.649122638064138), ('Yugoslavia', 0.3508773619358619)]"
1930-01-01,2,1,0.5,1,1,1,1,1,0.649122638064138,0.4999999999999999,Greece,0.649122638064138,1.849998627676622,"[('Greece', 0.649122638064138), ('Yugoslavia', 0.3508773619358619)]"
1930-05-01,2,1,0.5,1,1,1,1,1,0.649122638064138,0.4999999999999999,Romania,0.649122638064138,1.849998627676622,"[('Romania', 0.649122638064138), ('Greece', 0.3508773619358619)]"
1930-09-01,4,3,0.25,1,2,0,3,1,0.28804972339985113,0.25,Bulgaria,0.28804972339985113,1.0356892076908149,"[('Bulgaria', 0.28804972339985113), ('Greece', 0.27812370859989), ('Yugoslavia', 0.27812370859989), ('Romania', 0.15570285940036888)]"
1931-01-01,3,2,0.3333333333333333,1,0,1,1,2,0.5744685965480859,0.3333333333333333,Yugoslavia,0.5744685965480859,2.7000056488803987,"[('Yugoslavia', 0.5744685965480859), ('Bulgaria', 0.212765701725957), ('Greece', 0.212765701725957)]"
1931-05-01,3,2,0.3333333333333333,1,1,1,2,2,0.5744685965480859,0.3333333333333333,Romania,0.5744685965480859,2.7000056488803987,"[('Romania', 0.5744685965480859), ('Bulgaria', 0.212765701725957), ('Yugoslavia', 0.212765701725957)]"
1931-09-01,5,5,0.25,2,2,0,5,2,0.386949338011615,0.2000000000000001,Bulgaria,0.386949338011615,2.1482479833661885,"[('Bulgaria', 0.386949338011615), ('Turkey', 0.1801232171554451), ('Romania', 0.1801232171554451), ('Greece', 0.1264021138387475), ('Yugoslavia', 0.1264021138387475)]"
1932-05-01,4,6,0.5,1,0,1,3,2,0.4513761585479028,0.25,Bulgaria,0.4513761585479028,1.8499973764298727,"[('Bulgaria', 0.4513761585479028), ('Yugoslavia', 0.24398745873843836), ('Romania', 0.17121913703515867), ('Greece', 0.1334172456785002)]"
1933-05-01,4,5,0.4166666666666667,1,0,0,3,4,0.4278326099304465,0.24999999999999997,Romania,0.4278326099304465,1.6407035890232489,"[('Romania', 0.4278326099304465), ('Yugoslavia', 0.26076167126881566), ('Bulgaria', 0.18299091153140434), ('Greece', 0.1284148072693334)]"
1934-09-01,4,3,0.25,2,0,0,1,3,0.3648171434859837,0.25,Greece,0.3648171434859837,1.5517520779729943,"[('Greece', 0.3648171434859837), ('Yugoslavia', 0.23510014819025282), ('Romania', 0.23510014819025282), ('Bulgaria', 0.16498256013351076)]"
