snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1884-01-01,4,6,0.5,1,0,0,0,0,0.4513761585479028,0.25,Scotland,0.4513761585479028,1.8499973764298727,"[('Scotland', 0.4513761585479028), ('England', 0.24398745873843836), ('Wales', 0.17121913703515867), ('Northern Ireland', 0.1334172456785002)]"
1885-01-01,4,4,0.3333333333333333,1,0,0,0,2,0.39963540677933773,0.25,Scotland,0.39963540677933773,1.8500018313073179,"[('Scotland', 0.39963540677933773), ('England', 0.21601892496340522), ('Wales', 0.21601892496340522), ('Northern Ireland', 0.1683267432938519)]"
1886-01-01,4,5,0.4166666666666667,1,0,0,1,0,0.3078271658713714,0.24999999999999994,England,0.3078271658713714,1.0,"[('England', 0.3078271658713714), ('Scotland', 0.3078271658713714), ('Wales', 0.21601892496340513), ('Northern Ireland', 0.16832674329385186)]"
1887-01-01,4,6,0.5,1,0,0,2,1,0.4513761585479028,0.25,Scotland,0.4513761585479028,1.849997376429873,"[('Scotland', 0.4513761585479028), ('England', 0.24398745873843833), ('Northern Ireland', 0.17121913703515862), ('Wales', 0.13341724567850016)]"
1888-01-01,4,6,0.5,1,0,0,2,2,0.4513761585479028,0.25,England,0.4513761585479028,1.8499973764298727,"[('England', 0.4513761585479028), ('Scotland', 0.24398745873843836), ('Wales', 0.17121913703515867), ('Northern Ireland', 0.1334172456785002)]"
1889-01-01,4,5,0.4166666666666667,1,0,0,1,2,0.4148035383876386,0.25,Scotland,0.4148035383876386,1.3905371289193265,"[('Scotland', 0.4148035383876386), ('England', 0.2983045398507327), ('Wales', 0.16124585231998345), ('Northern Ireland', 0.12564606944164525)]"
1890-01-01,4,5,0.4166666666666667,1,0,0,1,1,0.3078271658713714,0.24999999999999994,England,0.3078271658713714,1.0,"[('England', 0.3078271658713714), ('Scotland', 0.3078271658713714), ('Wales', 0.21601892496340513), ('Northern Ireland', 0.16832674329385186)]"
1891-01-01,4,6,0.5,1,0,0,2,1,0.4513761585479028,0.24999999999999994,England,0.4513761585479028,1.849997376429873,"[('England', 0.4513761585479028), ('Scotland', 0.24398745873843833), ('Northern Ireland', 0.17121913703515862), ('Wales', 0.13341724567850016)]"
1892-01-01,4,5,0.4166666666666667,1,0,0,0,1,0.47060860306562025,0.25000000000000006,England,0.47060860306562025,1.850003815498855,"[('England', 0.47060860306562025), ('Scotland', 0.2543825040375499), ('Northern Ireland', 0.137504446448415), ('Wales', 0.137504446448415)]"
1893-01-01,4,5,0.4166666666666667,1,0,0,0,0,0.47060860306562025,0.25000000000000006,England,0.47060860306562025,1.850003815498855,"[('England', 0.47060860306562025), ('Scotland', 0.2543825040375499), ('Northern Ireland', 0.137504446448415), ('Wales', 0.137504446448415)]"
