snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1941-05-01,5,8,0.4,1,0,0,0,0,0.4506540094925059,0.20000000000000004,Costa Rica,0.4506540094925059,2.446495236895937,"[('Costa Rica', 0.4506540094925059), ('El Salvador', 0.18420391860819088), ('Curaçao', 0.1292656572556315), ('Panama', 0.1292656572556315), ('Nicaragua', 0.10661075738804054)]"
1943-09-01,4,7,0.5833333333333334,1,1,2,4,5,0.3598190459810475,0.25,El Salvador,0.3598190459810475,1.0165195141976375,"[('El Salvador', 0.3598190459810475), ('Costa Rica', 0.35397160699375363), ('Guatemala', 0.24870934702519884), ('Nicaragua', 0.037500000000000006)]"
1946-01-01,6,14,0.4666666666666667,1,2,0,9,2,0.2601405456163523,0.16666666666666663,Guatemala,0.2601405456163523,1.0109315074750354,"[('Guatemala', 0.2601405456163523), ('Honduras', 0.257327567389897), ('Costa Rica', 0.19502273137941345), ('El Salvador', 0.1368582862586153), ('Panama', 0.09790993209843826), ('Nicaragua', 0.052740937257283474)]"
1948-01-01,5,12,0.6,1,1,2,8,10,0.29004948991836166,0.2,Panama,0.29004948991836166,1.3640058534958919,"[('Panama', 0.29004948991836166), ('Guatemala', 0.21264534105552152), ('Curaçao', 0.19356066687510626), ('Costa Rica', 0.1914813412982504), ('El Salvador', 0.11226316085276017)]"
1951-01-01,3,3,0.5,1,1,3,3,12,0.5208692975273159,0.3333333333333333,Panama,0.5208692975273159,1.849999099124769,"[('Panama', 0.5208692975273159), ('Costa Rica', 0.28155110874039785), ('Nicaragua', 0.19757959373228617)]"
1953-01-01,7,18,0.42857142857142855,1,4,0,17,2,0.3599289396535827,0.14285714285714282,Costa Rica,0.3599289396535827,2.1413179756287746,"[('Costa Rica', 0.3599289396535827), ('Guatemala', 0.16808757211683775), ('Honduras', 0.1523184747295725), ('Curaçao', 0.0891620131720502), ('El Salvador', 0.0891620131720502), ('Nicaragua', 0.07620686957155147), ('Panama', 0.06513411758435494)]"
1955-05-01,7,17,0.40476190476190477,1,2,2,12,13,0.30772294814386736,0.14285714285714285,Costa Rica,0.30772294814386736,1.7475344070181231,"[('Costa Rica', 0.30772294814386736), ('Curaçao', 0.1760897793531547), ('El Salvador', 0.14507460362292154), ('Guatemala', 0.13363389467756373), ('Honduras', 0.10989389837265633), ('Aruba', 0.06878998801658869), ('Cuba', 0.05879488781324754)]"
1957-05-01,5,6,0.3,1,2,4,4,15,0.35496263908063286,0.2000000000000001,Haiti,0.35496263908063286,1.3905392790497382,"[('Haiti', 0.35496263908063286), ('Curaçao', 0.2552697679444237), ('Panama', 0.13798344741522958), ('Honduras', 0.13798344741522958), ('Cuba', 0.11380069814448465)]"
1960-01-01,4,3,0.25,1,2,3,2,5,0.41213299016055793,0.25,Costa Rica,0.41213299016055793,1.2203735452783337,"[('Costa Rica', 0.41213299016055793), ('Curaçao', 0.3377105245808665), ('Cuba', 0.1250782426292878), ('Suriname', 0.1250782426292878)]"
1961-01-01,8,9,0.16071428571428573,2,5,1,9,3,0.33228010593472806,0.12499999999999999,Honduras,0.33228010593472806,1.6357871796808752,"[('Honduras', 0.33228010593472806), ('Haiti', 0.2031316237602207), ('Curaçao', 0.11478995761696167), ('Costa Rica', 0.07523381489989364), ('Guatemala', 0.07523381489989364), ('Panama', 0.07523381489989364), ('Cuba', 0.06204843399420429), ('Nicaragua', 0.06204843399420429)]"
