snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1973-09-01,6,7,0.23333333333333334,2,0,0,0,0,0.39447812880371047,0.16666666666666666,Uganda,0.39447812880371047,1.849999243255852,"[('Uganda', 0.39447812880371047), ('Tanzania', 0.213231508197517), ('Kenya', 0.1152605373013515), ('Zambia', 0.1152605373013515), ('Zanzibar', 0.08088464419803473), ('Somalia', 0.08088464419803473)]"
1974-09-01,5,3,0.15,2,0,1,3,7,0.3109697333312013,0.20000000000000004,Uganda,0.3109697333312013,1.390538257940448,"[('Uganda', 0.3109697333312013), ('Zanzibar', 0.22363263402172362), ('Zambia', 0.22363263402172362), ('Kenya', 0.12088249931267586), ('Somalia', 0.12088249931267586)]"
1975-09-01,6,7,0.23333333333333334,2,2,1,7,3,0.3202641631775464,0.16666666666666666,Malawi,0.3202641631775464,1.5964914995730612,"[('Malawi', 0.3202641631775464), ('Kenya', 0.20060499117169897), ('Tanzania', 0.14077540516877526), ('Uganda', 0.14077540516877526), ('Zambia', 0.098790017656602), ('Zanzibar', 0.098790017656602)]"
1976-09-01,6,9,0.3,2,1,1,8,6,0.44645833333333335,0.16666666666666666,Zambia,0.44645833333333335,1.0000000000000002,"[('Zambia', 0.44645833333333335), ('Uganda', 0.4464583333333333), ('Zanzibar', 0.03208333333333333), ('Malawi', 0.025), ('Somalia', 0.025), ('Kenya', 0.025)]"
1977-09-01,7,9,0.21428571428571427,3,1,0,6,6,0.3052742818426815,0.14285714285714285,Uganda,0.3052742818426815,1.3575050985480281,"[('Uganda', 0.3052742818426815), ('Malawi', 0.22487892102151172), ('Zambia', 0.15339447296917383), ('Kenya', 0.08892999514209891), ('Somalia', 0.08892999514209891), ('Zanzibar', 0.06929616694121749), ('Tanzania', 0.06929616694121749)]"
1978-09-01,5,10,0.5,1,0,2,5,4,0.308283009803625,0.20000000000000004,Uganda,0.308283009803625,1.0417352084595772,"[('Uganda', 0.308283009803625), ('Malawi', 0.2959322170357338), ('Zambia', 0.23993738898708628), ('Kenya', 0.12584738417355512), ('Somalia', 0.030000000000000006)]"
1979-09-01,7,10,0.23809523809523808,2,3,1,7,7,0.4022018915575789,0.14285714285714282,Malawi,0.4022018915575789,2.153858700802724,"[('Malawi', 0.4022018915575789), ('Kenya', 0.18673550470496597), ('Tanzania', 0.11008529089649448), ('Zambia', 0.09017616936149196), ('Uganda', 0.07026704782648946), ('Zanzibar', 0.07026704782648946), ('Sudan', 0.07026704782648946)]"
1980-09-01,6,7,0.23333333333333334,2,1,2,5,8,0.4336329717752706,0.1666666666666667,Tanzania,0.4336329717752706,1.045312373081663,"[('Tanzania', 0.4336329717752706), ('Sudan', 0.41483577822472967), ('Malawi', 0.06590625), ('Zanzibar', 0.035625000000000004), ('Kenya', 0.025), ('Somalia', 0.025)]"
1981-09-01,7,11,0.2619047619047619,2,2,1,10,6,0.4165666839356788,0.1428571428571428,Kenya,0.4165666839356788,1.0238449879386564,"[('Kenya', 0.4165666839356788), ('Tanzania', 0.40686499308295426), ('Zambia', 0.05949656750572084), ('Uganda', 0.04671461261850279), ('Malawi', 0.027500000000000004), ('Zanzibar', 0.021428571428571432), ('Sudan', 0.021428571428571432)]"
1982-09-01,7,9,0.21428571428571427,2,1,1,9,11,0.24037782581215933,0.14285714285714285,Kenya,0.24037782581215933,1.0170524988828076,"[('Kenya', 0.24037782581215933), ('Uganda', 0.23634751015921496), ('Zimbabwe', 0.149825979144758), ('Zanzibar', 0.11302596534075415), ('Malawi', 0.10178951155801859), ('Sudan', 0.07931660399254746), ('Tanzania', 0.07931660399254746)]"
1983-09-01,9,16,0.2222222222222222,2,2,0,12,5,0.325545556847371,0.11111111111111108,Kenya,0.325545556847371,1.9463784246970777,"[('Kenya', 0.325545556847371), ('Zimbabwe', 0.1672570722715635), ('Uganda', 0.1286849746281907), ('Sudan', 0.10114748765285483), ('Malawi', 0.08771380943731044), ('Ethiopia', 0.04741277479067729), ('Somalia', 0.04741277479067729), ('Zanzibar', 0.04741277479067729), ('Tanzania', 0.04741277479067729)]"
