snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1978-05-01,10,5,0.05555555555555555,5,0,0,0,0,0.12982437432707328,0.1,Curaçao,0.12982437432707328,1.0,"[('Curaçao', 0.12982437432707328), ('French Guiana', 0.12982437432707328), ('Guadeloupe', 0.12982437432707328), ('Haiti', 0.12982437432707328), ('Suriname', 0.12982437432707328), ('Barbados', 0.07017562567292675), ('Trinidad and Tobago', 0.07017562567292675), ('Jamaica', 0.07017562567292675), ('Puerto Rico', 0.07017562567292675), ('Guyana', 0.07017562567292675)]"
1978-09-01,4,2,0.16666666666666666,2,0,6,2,5,0.32456160227748454,0.24999999999999994,Suriname,0.32456160227748454,1.0,"[('Suriname', 0.32456160227748454), ('Trinidad and Tobago', 0.32456160227748454), ('Curaçao', 0.17543839772251532), ('French Guiana', 0.17543839772251532)]"
1979-05-01,6,3,0.1,3,5,3,3,2,0.21637440151832305,0.16666666666666663,Jamaica,0.21637440151832305,1.0,"[('Jamaica', 0.21637440151832305), ('Saint Vincent and the Grenadines', 0.21637440151832305), ('Trinidad and Tobago', 0.21637440151832305), ('Saint Kitts and Nevis', 0.11695893181501019), ('Martinique', 0.11695893181501019), ('Grenada', 0.11695893181501019)]"
1979-09-01,5,3,0.15,2,3,4,3,3,0.3576163319986344,0.2,Haiti,0.3576163319986344,1.4594605015022188,"[('Haiti', 0.3576163319986344), ('Saint Vincent and the Grenadines', 0.24503323771389554), ('Antigua and Barbuda', 0.1324501434291567), ('Jamaica', 0.1324501434291567), ('Guadeloupe', 0.1324501434291567)]"
1981-05-01,7,7,0.16666666666666666,2,5,3,6,2,0.36247749293395004,0.14285714285714282,Guadeloupe,0.36247749293395004,1.0,"[('Guadeloupe', 0.36247749293395004), ('Saint Vincent and the Grenadines', 0.36247749293395004), ('Suriname', 0.08512516386644202), ('French Guiana', 0.06556927964952348), ('Trinidad and Tobago', 0.06556927964952348), ('Dominica', 0.029390645483305257), ('Martinique', 0.029390645483305257)]"
1981-09-01,2,1,0.5,1,0,5,1,7,0.649122638064138,0.4999999999999999,Saint Vincent and the Grenadines,0.649122638064138,1.849998627676622,"[('Saint Vincent and the Grenadines', 0.649122638064138), ('Suriname', 0.3508773619358619)]"
1983-01-01,7,4,0.09523809523809523,3,5,0,4,1,0.23128825173196232,0.14285714285714285,Antigua and Barbuda,0.23128825173196232,1.3905431537749233,"[('Antigua and Barbuda', 0.23128825173196232), ('Guadeloupe', 0.16632943113205906), ('Barbados', 0.16632943113205906), ('Martinique', 0.16632943113205906), ('Suriname', 0.08990781829062017), ('Dominica', 0.08990781829062017), ('Saint Vincent and the Grenadines', 0.08990781829062017)]"
1983-05-01,5,3,0.15,2,2,4,3,4,0.3109697333312013,0.20000000000000004,Antigua and Barbuda,0.3109697333312013,1.390538257940448,"[('Antigua and Barbuda', 0.3109697333312013), ('Guyana', 0.22363263402172362), ('Martinique', 0.22363263402172362), ('Barbados', 0.12088249931267586), ('Saint Kitts and Nevis', 0.12088249931267586)]"
1985-01-01,10,9,0.1,3,8,3,9,3,0.27464897389835546,0.10000000000000005,Guadeloupe,0.27464897389835546,2.0587455291650474,"[('Guadeloupe', 0.27464897389835546), ('Suriname', 0.13340598437619589), ('Antigua and Barbuda', 0.1301791796315357), ('Dominica', 0.09361855766415351), ('Guyana', 0.07211144193580227), ('Saint Vincent and the Grenadines', 0.07211144193580227), ('Trinidad and Tobago', 0.07211144193580227), ('Cayman Islands', 0.050604326207451006), ('French Guiana', 0.050604326207451006), ('Grenada', 0.050604326207451006)]"
1985-05-01,2,1,0.5,1,0,8,1,9,0.649122638064138,0.4999999999999999,Suriname,0.649122638064138,1.849998627676622,"[('Suriname', 0.649122638064138), ('Trinidad and Tobago', 0.3508773619358619)]"
