snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1978-09-01,4,5,0.4166666666666667,1,0,0,0,0,0.49277103533536337,0.24999999999999997,Suriname,0.49277103533536337,2.700000648325816,"[('Suriname', 0.49277103533536337), ('Haiti', 0.18250774704106643), ('Trinidad and Tobago', 0.18250774704106643), ('Antigua and Barbuda', 0.14221347058250372)]"
1979-09-01,4,5,0.4166666666666667,1,1,1,4,4,0.4572306654076119,0.25,Haiti,0.4572306654076119,2.1146982192777988,"[('Haiti', 0.4572306654076119), ('Saint Vincent and the Grenadines', 0.21621556269327313), ('Suriname', 0.19189253914735738), ('Trinidad and Tobago', 0.1346612327517576)]"
1981-09-01,4,4,0.3333333333333333,1,2,2,4,5,0.4399862970804468,0.24999999999999997,Trinidad and Tobago,0.4399862970804468,1.4763705949361954,"[('Trinidad and Tobago', 0.4399862970804468), ('Saint Vincent and the Grenadines', 0.29801887045810593), ('Guadeloupe', 0.13099741623072358), ('Puerto Rico', 0.13099741623072358)]"
1983-05-01,4,5,0.4166666666666667,1,3,3,5,4,0.4148035383876386,0.25,Martinique,0.4148035383876386,1.3905371289193265,"[('Martinique', 0.4148035383876386), ('Trinidad and Tobago', 0.2983045398507327), ('French Guiana', 0.16124585231998345), ('Antigua and Barbuda', 0.12564606944164525)]"
1985-05-01,3,2,0.3333333333333333,1,2,3,2,5,0.5744685965480859,0.3333333333333333,Martinique,0.5744685965480859,2.7000056488803987,"[('Martinique', 0.5744685965480859), ('Guadeloupe', 0.212765701725957), ('Suriname', 0.212765701725957)]"
1988-05-01,3,3,0.5,1,1,1,2,1,0.5208692975273159,0.3333333333333333,Trinidad and Tobago,0.5208692975273159,1.849999099124769,"[('Trinidad and Tobago', 0.5208692975273159), ('Martinique', 0.28155110874039785), ('Guadeloupe', 0.19757959373228617)]"
1989-05-01,5,5,0.25,2,3,1,5,3,0.32225526006009864,0.2000000000000001,Trinidad and Tobago,0.32225526006009864,1.0603465985454135,"[('Trinidad and Tobago', 0.32225526006009864), ('Guadeloupe', 0.3039150222221388), ('Barbados', 0.28832971771776306), ('Grenada', 0.05550000000000001), ('Saint Vincent and the Grenadines', 0.030000000000000006)]"
1991-05-01,7,11,0.2619047619047619,2,6,4,11,5,0.3383023254978932,0.14285714285714285,Jamaica,0.3383023254978932,1.7802971178230744,"[('Jamaica', 0.3383023254978932), ('Trinidad and Tobago', 0.19002576710991093), ('Saint Lucia', 0.1685063295906857), ('Guyana', 0.08907450578879703), ('Martinique', 0.08907450578879703), ('Cayman Islands', 0.06250828311195797), ('Dominican Republic', 0.06250828311195797)]"
1992-05-01,6,5,0.16666666666666666,3,3,4,5,11,0.36519731305453657,0.16666666666666666,Trinidad and Tobago,0.36519731305453657,1.3905400429558379,"[('Trinidad and Tobago', 0.36519731305453657), ('Jamaica', 0.26262984291933467), ('Martinique', 0.14196278288410236), ('Guadeloupe', 0.07673668704734211), ('Antigua and Barbuda', 0.07673668704734211), ('Cuba', 0.07673668704734211)]"
1993-05-01,8,10,0.17857142857142858,2,5,3,10,5,0.2501102910576943,0.12499999999999999,Jamaica,0.2501102910576943,1.6018714377178047,"[('Jamaica', 0.2501102910576943), ('Martinique', 0.15613630730193168), ('Trinidad and Tobago', 0.12274787243325659), ('Saint Kitts and Nevis', 0.11714731735024919), ('Puerto Rico', 0.10396850291456251), ('Saint Vincent and the Grenadines', 0.10396850291456251), ('Sint Maarten', 0.07296060301387158), ('Saint Lucia', 0.07296060301387158)]"
1994-01-01,6,8,0.26666666666666666,2,4,6,8,10,0.33867334077984695,0.16666666666666666,Trinidad and Tobago,0.33867334077984695,1.2186185681211625,"[('Trinidad and Tobago', 0.33867334077984695), ('Martinique', 0.27791578894288926), ('Suriname', 0.10399430926364661), ('Haiti', 0.10399430926364661), ('Guadeloupe', 0.10244364852190654), ('Cayman Islands', 0.07297860322806407)]"
1995-05-01,8,13,0.23214285714285715,2,6,4,13,8,0.2858184675380391,0.12500000000000006,Trinidad and Tobago,0.2858184675380391,1.0213453837915836,"[('Trinidad and Tobago', 0.2858184675380391), ('Cuba', 0.2798450671769653), ('Jamaica', 0.27281060931819706), ('Cayman Islands', 0.04255834925190781), ('Saint Vincent and the Grenadines', 0.04255834925190781), ('Antigua and Barbuda', 0.02986550824695285), ('French Guiana', 0.023271824608015208), ('Saint Lucia', 0.023271824608015208)]"
1996-05-01,8,11,0.19642857142857142,2,4,4,10,12,0.36074907392070704,0.125,Trinidad and Tobago,0.36074907392070704,1.9044257317422904,"[('Trinidad and Tobago', 0.36074907392070704), ('Cuba', 0.18942669588415545), ('Martinique', 0.10559752713477999), ('Suriname', 0.09164852789661146), ('Jamaica', 0.08133867950972658), ('Saint Vincent and the Grenadines', 0.05707983188467316), ('Saint Kitts and Nevis', 0.05707983188467316), ('Haiti', 0.05707983188467316)]"
1997-05-01,6,7,0.23333333333333334,2,2,4,6,10,0.28905625714283717,0.16666666666666666,Saint Kitts and Nevis,0.28905625714283717,1.0294204793690125,"[('Saint Kitts and Nevis', 0.28905625714283717), ('Trinidad and Tobago', 0.2807951298190759), ('Martinique', 0.2737731715938788), ('Jamaica', 0.07126719164710786), ('Grenada', 0.0500120643137599), ('Antigua and Barbuda', 0.03509618548334028)]"
1998-05-01,8,16,0.2857142857142857,2,4,2,15,6,0.33857469312830607,0.12499999999999997,Jamaica,0.33857469312830607,1.849999727586857,"[('Jamaica', 0.33857469312830607), ('Trinidad and Tobago', 0.1830133745857052), ('Haiti', 0.1284306424583555), ('Antigua and Barbuda', 0.10007599414273056), ('Martinique', 0.07022886677218831), ('Cayman Islands', 0.07022886677218831), ('Dominica', 0.054723781070262975), ('Curaçao', 0.054723781070262975)]"
1999-05-01,7,12,0.2857142857142857,2,4,5,11,15,0.3746354914112425,0.14285714285714282,Trinidad and Tobago,0.3746354914112425,1.9937867452399745,"[('Trinidad and Tobago', 0.3746354914112425), ('Cuba', 0.18790148560554853), ('Jamaica', 0.12238053364313918), ('Haiti', 0.0953614489668384), ('Grenada', 0.08588097660579783), ('Saint Kitts and Nevis', 0.06692003188371667), ('Guadeloupe', 0.06692003188371667)]"
