snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1965-01-01,3,3,0.5,1,0,0,0,0,0.5208692975273159,0.3333333333333333,El Salvador,0.5208692975273159,1.849999099124769,"[('El Salvador', 0.5208692975273159), ('Nicaragua', 0.28155110874039785), ('Honduras', 0.19757959373228617)]"
1967-01-01,8,9,0.16071428571428573,2,7,2,9,3,0.2893608262898277,0.125,Haiti,0.2893608262898277,1.5964931070452433,"[('Haiti', 0.2893608262898277), ('Guatemala', 0.1812477767757925), ('Trinidad and Tobago', 0.12719125201877496), ('Nicaragua', 0.09797173762149122), ('Jamaica', 0.09797173762149122), ('Panama', 0.06875222322420749), ('Curaçao', 0.06875222322420749), ('Cuba', 0.06875222322420749)]"
1969-09-01,4,3,0.25,2,2,6,3,9,0.41194547941316084,0.25,Bermuda,0.41194547941316084,1.0,"[('Bermuda', 0.41194547941316084), ('Mexico', 0.41194547941316084), ('Jamaica', 0.11431653077419644), ('Panama', 0.0617925103994819)]"
1971-09-01,10,5,0.05555555555555555,5,7,1,4,2,0.12982437432707328,0.1,Cuba,0.12982437432707328,1.0,"[('Cuba', 0.12982437432707328), ('El Salvador', 0.12982437432707328), ('Honduras', 0.12982437432707328), ('Mexico', 0.12982437432707328), ('Suriname', 0.12982437432707328), ('Jamaica', 0.07017562567292675), ('Nicaragua', 0.07017562567292675), ('Guatemala', 0.07017562567292675), ('Bermuda', 0.07017562567292675), ('Guyana', 0.07017562567292675)]"
1972-01-01,2,1,0.5,1,2,10,1,5,0.649122638064138,0.4999999999999999,Haiti,0.649122638064138,1.849998627676622,"[('Haiti', 0.649122638064138), ('Puerto Rico', 0.3508773619358619)]"
1972-05-01,3,2,0.3333333333333333,1,3,2,2,1,0.47441161634059764,0.3333333333333332,Mexico,0.47441161634059764,1.390536574672424,"[('Mexico', 0.47441161634059764), ('Canada', 0.3411716203526378), ('United States', 0.1844167633067642)]"
1972-09-01,10,7,0.07777777777777778,4,7,0,6,1,0.17462942215970456,0.10000000000000005,Mexico,0.17462942215970456,1.0241779623961051,"[('Mexico', 0.17462942215970456), ('Trinidad and Tobago', 0.1705069124423963), ('Guatemala', 0.11965373979824255), ('Honduras', 0.11965373979824255), ('Suriname', 0.09216589861751155), ('El Salvador', 0.06467805743678057), ('Costa Rica', 0.06467805743678057), ('Canada', 0.06467805743678057), ('United States', 0.06467805743678057), ('Antigua and Barbuda', 0.06467805743678057)]"
1976-01-01,4,2,0.16666666666666666,2,3,9,2,7,0.32456160227748454,0.24999999999999994,Haiti,0.32456160227748454,1.0,"[('Haiti', 0.32456160227748454), ('Panama', 0.32456160227748454), ('Dominican Republic', 0.17543839772251532), ('Costa Rica', 0.17543839772251532)]"
1976-05-01,11,8,0.07272727272727272,5,8,1,8,2,0.18407531453801668,0.09090909090909091,Barbados,0.18407531453801668,1.0,"[('Barbados', 0.18407531453801668), ('Trinidad and Tobago', 0.18407531453801668), ('Guyana', 0.18407531453801668), ('Suriname', 0.18407531453801668), ('Cuba', 0.051083156660857616), ('Haiti', 0.051083156660857616), ('Costa Rica', 0.03934773731359887), ('El Salvador', 0.03934773731359887), ('Panama', 0.027612317966340134), ('Jamaica', 0.027612317966340134)]"
1976-09-01,11,10,0.09090909090909091,4,4,4,9,7,0.20155620918066225,0.09090909090909091,Guatemala,0.20155620918066225,1.049538888347495,"[('Guatemala', 0.20155620918066225), ('El Salvador', 0.1920426307385462), ('Canada', 0.16464846893172186), ('United States', 0.16066692700876403), ('Mexico', 0.08899917239552309), ('Suriname', 0.05329121135221935), ('Haiti', 0.038324097571080934), ('Trinidad and Tobago', 0.038324097571080934), ('Panama', 0.020715728416800493), ('Cuba', 0.020715728416800493)]"
1980-01-01,2,1,0.5,1,2,11,1,10,0.649122638064138,0.4999999999999999,Guyana,0.649122638064138,1.849998627676622,"[('Guyana', 0.649122638064138), ('Grenada', 0.3508773619358619)]"
1980-05-01,8,6,0.10714285714285714,3,8,2,6,1,0.316953381750371,0.12499999999999996,Haiti,0.316953381750371,1.0,"[('Haiti', 0.316953381750371), ('Trinidad and Tobago', 0.316953381750371), ('Cuba', 0.0879576471957359), ('El Salvador', 0.06101553941654295), ('Guatemala', 0.06101553941654295), ('Honduras', 0.06101553941654295), ('Suriname', 0.04754448552694647), ('Panama', 0.04754448552694647)]"
1980-09-01,13,16,0.10256410256410256,4,6,1,13,3,0.3130505448378925,0.07692307692307694,Honduras,0.3130505448378925,1.0191536097840295,"[('Honduras', 0.3130505448378925), ('El Salvador', 0.3071671844485068), ('United States', 0.06111401157108809), ('Canada', 0.04707430611366516), ('Mexico', 0.04707430611366516), ('Haiti', 0.03903657409213182), ('Guatemala', 0.036458313884964635), ('Cuba', 0.030068712448478675), ('Suriname', 0.030068712448478675), ('Costa Rica', 0.0255847816266521)]"
