snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1963-01-01,9,16,0.2222222222222222,2,0,0,0,0,0.30360357285042944,0.1111111111111111,Costa Rica,0.30360357285042944,2.028066968726198,"[('Costa Rica', 0.30360357285042944), ('Curaçao', 0.1497009603391543), ('Honduras', 0.14843199858448788), ('El Salvador', 0.13944657015829875), ('Mexico', 0.05818653134369735), ('Guatemala', 0.05497495547861162), ('Panama', 0.05497495547861162), ('Jamaica', 0.04534022788335444), ('Nicaragua', 0.04534022788335444)]"
1965-01-01,6,11,0.36666666666666664,2,1,4,10,15,0.35620663047911505,0.1666666666666666,Mexico,0.35620663047911505,1.8500016818394798,"[('Mexico', 0.35620663047911505), ('Guatemala', 0.19254394954113466), ('El Salvador', 0.18744545129801693), ('Costa Rica', 0.1128789900261267), ('Curaçao', 0.0754624893278032), ('Haiti', 0.0754624893278032)]"
1967-01-01,6,13,0.43333333333333335,1,3,3,11,9,0.3516227221602323,0.16666666666666666,Guatemala,0.3516227221602323,1.420042950305695,"[('Guatemala', 0.3516227221602323), ('Mexico', 0.24761414581477123), ('Honduras', 0.12525209990418684), ('Trinidad and Tobago', 0.10998688045423397), ('Haiti', 0.09071091339620269), ('Nicaragua', 0.07481323827037306)]"
1969-09-01,6,11,0.36666666666666664,2,3,3,9,11,0.26702156062796173,0.16666666666666663,Costa Rica,0.26702156062796173,1.0843194986137519,"[('Costa Rica', 0.26702156062796173), ('Guatemala', 0.24625727100668707), ('Curaçao', 0.15204801044115498), ('Mexico', 0.11847914918182356), ('Trinidad and Tobago', 0.11847914918182356), ('Jamaica', 0.09771485956054893)]"
1971-09-01,6,10,0.3333333333333333,2,3,3,10,11,0.2955823231566429,0.16666666666666663,Mexico,0.2955823231566429,1.6409737026996989,"[('Mexico', 0.2955823231566429), ('Haiti', 0.18012617915226578), ('Trinidad and Tobago', 0.16023759299288784), ('Costa Rica', 0.1596362278548462), ('Cuba', 0.11202546652062981), ('Honduras', 0.09239221032272715)]"
1973-09-01,6,10,0.3333333333333333,2,2,2,8,8,0.27545780261572334,0.1666666666666667,Haiti,0.27545780261572334,1.02402286538819,"[('Haiti', 0.27545780261572334), ('Trinidad and Tobago', 0.26899575383143604), ('Mexico', 0.26622319882020595), ('Honduras', 0.13932324473263488), ('Curaçao', 0.025), ('Guatemala', 0.025)]"
1977-09-01,6,13,0.43333333333333335,1,3,3,11,8,0.38432481541937674,0.16666666666666666,Mexico,0.38432481541937674,2.1311190907585704,"[('Mexico', 0.38432481541937674), ('Haiti', 0.18033943625486298), ('El Salvador', 0.14364936099915157), ('Canada', 0.1192884013340178), ('Guatemala', 0.09295196621482549), ('Suriname', 0.07944601977776533)]"
1981-09-01,6,8,0.26666666666666666,2,2,2,8,13,0.32104534217703,0.16666666666666663,Honduras,0.32104534217703,1.420163766795926,"[('Honduras', 0.32104534217703), ('Canada', 0.22606219767270225), ('El Salvador', 0.1830359565411124), ('Mexico', 0.10892342250959089), ('Cuba', 0.09045139190285315), ('Haiti', 0.07048168919671115)]"
1985-01-01,8,7,0.125,3,4,2,7,8,0.2013495834222528,0.125,Canada,0.2013495834222528,1.00812699603161,"[('Canada', 0.2013495834222528), ('Honduras', 0.19972640769947148), ('Costa Rica', 0.1412980270653115), ('El Salvador', 0.11965766589021642), ('Guatemala', 0.1088374853026689), ('Haiti', 0.07637694354002629), ('Trinidad and Tobago', 0.07637694354002629), ('Suriname', 0.07637694354002629)]"
1985-05-01,7,5,0.11904761904761904,2,1,2,3,5,0.23128825173196227,0.14285714285714282,Costa Rica,0.23128825173196227,1.1307714046840387,"[('Costa Rica', 0.23128825173196227), ('Canada', 0.20454023755277848), ('United States', 0.16632943113205903), ('Guatemala', 0.12811862471133958), ('Haiti', 0.08990781829062015), ('Honduras', 0.08990781829062015), ('Trinidad and Tobago', 0.08990781829062015)]"
1985-09-01,3,2,0.3333333333333333,1,0,4,1,4,0.47441161634059764,0.3333333333333332,Canada,0.47441161634059764,1.390536574672424,"[('Canada', 0.47441161634059764), ('Honduras', 0.3411716203526378), ('Costa Rica', 0.1844167633067642)]"
1989-01-01,3,4,0.6666666666666666,1,2,2,4,2,0.48648582432442095,0.33333333333333326,Costa Rica,0.48648582432442095,1.8947318199518077,"[('Costa Rica', 0.48648582432442095), ('Guatemala', 0.25675708783778944), ('United States', 0.25675708783778944)]"
1989-05-01,5,5,0.25,2,2,0,5,4,0.3703047688968064,0.20000000000000004,Costa Rica,0.3703047688968064,1.767077472792538,"[('Costa Rica', 0.3703047688968064), ('Trinidad and Tobago', 0.20955774412743117), ('United States', 0.17480178655967601), ('El Salvador', 0.12266785020804333), ('Guatemala', 0.12266785020804333)]"
1989-09-01,4,3,0.25,2,0,1,2,4,0.47060860306562025,0.25000000000000006,United States,0.47060860306562025,1.850003815498855,"[('United States', 0.47060860306562025), ('Trinidad and Tobago', 0.2543825040375499), ('Guatemala', 0.137504446448415), ('El Salvador', 0.137504446448415)]"
