snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1927-09-01,4,3,0.25,1,0,0,0,0,0.28804972339985113,0.25,Austria,0.28804972339985113,1.0356892076908149,"[('Austria', 0.28804972339985113), ('Czechoslovakia', 0.27812370859989), ('Hungary', 0.27812370859989), ('Italy', 0.15570285940036888)]"
1928-01-01,5,4,0.2,2,1,0,3,2,0.38594364117228797,0.20000000000000004,Italy,0.38594364117228797,1.5691503768482933,"[('Italy', 0.38594364117228797), ('Hungary', 0.24595707770690056), ('Czechoslovakia', 0.17687914338356647), ('Austria', 0.09561006886862264), ('Switzerland', 0.09561006886862264)]"
1928-09-01,4,4,0.3333333333333333,1,0,1,3,3,0.39963540677933773,0.25,Austria,0.39963540677933773,1.8500018313073179,"[('Austria', 0.39963540677933773), ('Hungary', 0.21601892496340522), ('Italy', 0.21601892496340522), ('Switzerland', 0.1683267432938519)]"
1929-01-01,5,3,0.15,2,1,0,2,3,0.3109697333312013,0.20000000000000004,Austria,0.3109697333312013,1.390538257940448,"[('Austria', 0.3109697333312013), ('Italy', 0.22363263402172362), ('Hungary', 0.22363263402172362), ('Switzerland', 0.12088249931267586), ('Czechoslovakia', 0.12088249931267586)]"
1929-05-01,2,1,0.5,1,0,3,1,3,0.649122638064138,0.4999999999999999,Czechoslovakia,0.649122638064138,1.849998627676622,"[('Czechoslovakia', 0.649122638064138), ('Switzerland', 0.3508773619358619)]"
1929-09-01,3,2,0.3333333333333333,1,1,0,1,0,0.37012974744707666,0.3333333333333332,Austria,0.37012974744707666,1.0,"[('Austria', 0.37012974744707666), ('Czechoslovakia', 0.37012974744707666), ('Switzerland', 0.25974050510584634)]"
1930-05-01,2,1,0.5,1,2,3,1,2,0.649122638064138,0.4999999999999999,Italy,0.649122638064138,1.849998627676622,"[('Italy', 0.649122638064138), ('Hungary', 0.3508773619358619)]"
1931-01-01,5,3,0.15,2,3,0,3,1,0.3109697333312013,0.20000000000000004,Italy,0.3109697333312013,1.390538257940448,"[('Italy', 0.3109697333312013), ('Austria', 0.22363263402172362), ('Hungary', 0.22363263402172362), ('Czechoslovakia', 0.12088249931267586), ('Switzerland', 0.12088249931267586)]"
1931-05-01,2,1,0.5,1,0,3,1,3,0.649122638064138,0.4999999999999999,Czechoslovakia,0.649122638064138,1.849998627676622,"[('Czechoslovakia', 0.649122638064138), ('Switzerland', 0.3508773619358619)]"
1931-09-01,4,2,0.16666666666666666,2,3,1,2,1,0.32456160227748454,0.24999999999999994,Austria,0.32456160227748454,1.0,"[('Austria', 0.32456160227748454), ('Italy', 0.32456160227748454), ('Switzerland', 0.17543839772251532), ('Hungary', 0.17543839772251532)]"
