snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1992-09-01,4,4,0.3333333333333333,1,0,0,0,0,0.4161492488779942,0.25,Argentina,0.4161492488779942,1.4944311768524725,"[('Argentina', 0.4161492488779942), ('Saudi Arabia', 0.2784666536163115), ('United States', 0.17945268439422316), ('Ivory Coast', 0.12593141311147116)]"
1995-01-01,6,5,0.16666666666666666,3,4,2,5,4,0.2958343106785003,0.1666666666666666,Denmark,0.2958343106785003,1.8500049477457567,"[('Denmark', 0.2958343106785003), ('Argentina', 0.1599100105321212), ('Mexico', 0.1599100105321212), ('Nigeria', 0.1599100105321212), ('Japan', 0.1122178288625679), ('Saudi Arabia', 0.1122178288625679)]"
1997-09-01,8,14,0.25,2,6,4,13,4,0.2522798781068812,0.125,Brazil,0.2522798781068812,1.6725536069940552,"[('Brazil', 0.2522798781068812), ('Uruguay', 0.1508351523394717), ('Australia', 0.14866142080746886), ('Czech Republic', 0.1372495538523853), ('Saudi Arabia', 0.10873563067696282), ('Mexico', 0.09176779617609662), ('United Arab Emirates', 0.0649156188205574), ('South Africa', 0.045554949220176104)]"
1999-05-01,8,13,0.23214285714285715,2,5,5,11,12,0.3445729256248524,0.12499999999999997,Mexico,0.3445729256248524,1.8563335647979666,"[('Mexico', 0.3445729256248524), ('Brazil', 0.18562015585940983), ('United States', 0.13025992064902464), ('Saudi Arabia', 0.10241791415484709), ('Germany', 0.07104653726257026), ('New Zealand', 0.05536084881643184), ('Bolivia', 0.05536084881643184), ('Egypt', 0.05536084881643184)]"
2001-05-01,8,14,0.25,2,6,6,14,13,0.30139866799002546,0.12499999999999994,France,0.30139866799002546,1.028495583107005,"[('France', 0.30139866799002546), ('Australia', 0.29304809173756835), ('Japan', 0.16262037013620284), ('South Korea', 0.14860865138620288), ('Brazil', 0.030105468750000003), ('Cameroon', 0.026718750000000003), ('Mexico', 0.018750000000000003), ('Canada', 0.018750000000000003)]"
2003-05-01,8,14,0.25,2,4,4,13,13,0.33980430882973606,0.12499999999999997,France,0.33980430882973606,1.7424060388593026,"[('France', 0.33980430882973606), ('Cameroon', 0.19502016249449816), ('Turkey', 0.10658978076844831), ('Colombia', 0.10031470397437643), ('Brazil', 0.07816711564845484), ('Japan', 0.07039605583975792), ('United States', 0.05485393622236405), ('New Zealand', 0.05485393622236405)]"
2005-05-01,8,12,0.21428571428571427,2,6,6,12,14,0.29793512696689184,0.125,Brazil,0.29793512696689184,1.010952703657851,"[('Brazil', 0.29793512696689184), ('Mexico', 0.29470728540405156), ('Germany', 0.2847872751290567), ('Argentina', 0.0342890625), ('Japan', 0.026718750000000003), ('Tunisia', 0.024062500000000004), ('Australia', 0.018750000000000003), ('Greece', 0.018750000000000003)]"
2009-05-01,8,12,0.21428571428571427,2,7,7,12,12,0.27370877612468625,0.125,Brazil,0.27370877612468625,1.2848615900777984,"[('Brazil', 0.27370877612468625), ('United States', 0.21302588406282202), ('Spain', 0.14744060223295058), ('Italy', 0.10818888951731949), ('Egypt', 0.09381240844729621), ('South Africa', 0.06816004740916401), ('New Zealand', 0.04783169610288067), ('Iraq', 0.04783169610288067)]"
2013-05-01,8,14,0.25,2,5,5,13,11,0.3705469989650628,0.125,Brazil,0.3705469989650628,2.4464948800926134,"[('Brazil', 0.3705469989650628), ('Spain', 0.15146036150749498), ('Italy', 0.10628784429951892), ('Uruguay', 0.10628784429951892), ('Mexico', 0.07458794149386547), ('Nigeria', 0.07458794149386547), ('Japan', 0.0581205339703367), ('Tahiti', 0.0581205339703367)]"
2017-05-01,8,11,0.19642857142857142,2,7,7,11,14,0.2959403392034892,0.125,Germany,0.2959403392034892,1.6360410451876084,"[('Germany', 0.2959403392034892), ('Portugal', 0.18088808961975222), ('Mexico', 0.1269390762516192), ('Chile', 0.09891359403558214), ('Russia', 0.08908004651030499), ('Cameroon', 0.06941295145975071), ('Australia', 0.06941295145975071), ('New Zealand', 0.06941295145975071)]"
