snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1906-09-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Argentina,0.649122638064138,1.849998627676622,"[('Argentina', 0.649122638064138), ('Uruguay', 0.3508773619358619)]"
1908-09-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Argentina,0.649122638064138,1.849998627676622,"[('Argentina', 0.649122638064138), ('Uruguay', 0.3508773619358619)]"
1911-09-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Argentina,0.649122638064138,1.849998627676622,"[('Argentina', 0.649122638064138), ('Uruguay', 0.3508773619358619)]"
1913-09-01,2,1,0.5,1,0,0,1,1,0.649122638064138,0.4999999999999999,Uruguay,0.649122638064138,1.849998627676622,"[('Uruguay', 0.649122638064138), ('Argentina', 0.3508773619358619)]"
1915-09-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Uruguay,0.649122638064138,1.849998627676622,"[('Uruguay', 0.649122638064138), ('Argentina', 0.3508773619358619)]"
1916-05-01,2,1,0.5,1,0,0,1,1,0.649122638064138,0.4999999999999999,Argentina,0.649122638064138,1.849998627676622,"[('Argentina', 0.649122638064138), ('Uruguay', 0.3508773619358619)]"
1917-09-01,2,1,0.5,1,0,0,1,1,0.649122638064138,0.4999999999999999,Uruguay,0.649122638064138,1.849998627676622,"[('Uruguay', 0.649122638064138), ('Argentina', 0.3508773619358619)]"
1918-09-01,2,1,0.5,1,0,0,1,1,0.649122638064138,0.4999999999999999,Argentina,0.649122638064138,1.849998627676622,"[('Argentina', 0.649122638064138), ('Uruguay', 0.3508773619358619)]"
1919-05-01,2,1,0.5,1,0,0,1,1,0.649122638064138,0.4999999999999999,Uruguay,0.649122638064138,1.849998627676622,"[('Uruguay', 0.649122638064138), ('Argentina', 0.3508773619358619)]"
1920-05-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Uruguay,0.649122638064138,1.849998627676622,"[('Uruguay', 0.649122638064138), ('Argentina', 0.3508773619358619)]"
1924-05-01,2,1,0.5,1,0,0,1,1,0.649122638064138,0.4999999999999999,Argentina,0.649122638064138,1.849998627676622,"[('Argentina', 0.649122638064138), ('Uruguay', 0.3508773619358619)]"
1927-05-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Argentina,0.649122638064138,1.849998627676622,"[('Argentina', 0.649122638064138), ('Uruguay', 0.3508773619358619)]"
1928-05-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Argentina,0.649122638064138,1.849998627676622,"[('Argentina', 0.649122638064138), ('Uruguay', 0.3508773619358619)]"
1929-09-01,2,1,0.5,1,0,0,1,1,0.649122638064138,0.4999999999999999,Uruguay,0.649122638064138,1.849998627676622,"[('Uruguay', 0.649122638064138), ('Argentina', 0.3508773619358619)]"
1937-09-01,2,1,0.5,1,0,0,1,1,0.649122638064138,0.4999999999999999,Argentina,0.649122638064138,1.849998627676622,"[('Argentina', 0.649122638064138), ('Uruguay', 0.3508773619358619)]"
1942-05-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Argentina,0.649122638064138,1.849998627676622,"[('Argentina', 0.649122638064138), ('Uruguay', 0.3508773619358619)]"
1945-05-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Argentina,0.649122638064138,1.849998627676622,"[('Argentina', 0.649122638064138), ('Uruguay', 0.3508773619358619)]"
1968-05-01,2,1,0.5,1,0,0,1,1,0.649122638064138,0.4999999999999999,Uruguay,0.649122638064138,1.849998627676622,"[('Uruguay', 0.649122638064138), ('Argentina', 0.3508773619358619)]"
1975-05-01,2,1,0.5,1,0,0,1,1,0.649122638064138,0.4999999999999999,Argentina,0.649122638064138,1.849998627676622,"[('Argentina', 0.649122638064138), ('Uruguay', 0.3508773619358619)]"
1976-05-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Argentina,0.649122638064138,1.849998627676622,"[('Argentina', 0.649122638064138), ('Uruguay', 0.3508773619358619)]"
