snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1911-09-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Uruguay,0.649122638064138,1.849998627676622,"[('Uruguay', 0.649122638064138), ('Argentina', 0.3508773619358619)]"
1912-05-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Uruguay,0.649122638064138,1.849998627676622,"[('Uruguay', 0.649122638064138), ('Argentina', 0.3508773619358619)]"
1913-09-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Uruguay,0.649122638064138,1.849998627676622,"[('Uruguay', 0.649122638064138), ('Argentina', 0.3508773619358619)]"
1914-05-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Uruguay,0.649122638064138,1.849998627676622,"[('Uruguay', 0.649122638064138), ('Argentina', 0.3508773619358619)]"
1915-05-01,2,1,0.5,1,0,0,1,1,0.649122638064138,0.4999999999999999,Argentina,0.649122638064138,1.849998627676622,"[('Argentina', 0.649122638064138), ('Uruguay', 0.3508773619358619)]"
1916-09-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Argentina,0.649122638064138,1.849998627676622,"[('Argentina', 0.649122638064138), ('Uruguay', 0.3508773619358619)]"
1917-05-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Argentina,0.649122638064138,1.849998627676622,"[('Argentina', 0.649122638064138), ('Uruguay', 0.3508773619358619)]"
1918-05-01,2,1,0.5,1,0,0,1,1,0.649122638064138,0.4999999999999999,Uruguay,0.649122638064138,1.849998627676622,"[('Uruguay', 0.649122638064138), ('Argentina', 0.3508773619358619)]"
1919-05-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Uruguay,0.649122638064138,1.849998627676622,"[('Uruguay', 0.649122638064138), ('Argentina', 0.3508773619358619)]"
1920-05-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Uruguay,0.649122638064138,1.849998627676622,"[('Uruguay', 0.649122638064138), ('Argentina', 0.3508773619358619)]"
1922-09-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Uruguay,0.649122638064138,1.849998627676622,"[('Uruguay', 0.649122638064138), ('Argentina', 0.3508773619358619)]"
1923-09-01,2,1,0.5,1,0,0,1,1,0.649122638064138,0.4999999999999999,Argentina,0.649122638064138,1.849998627676622,"[('Argentina', 0.649122638064138), ('Uruguay', 0.3508773619358619)]"
