snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1953-05-01,2,2,1.0,1,0,0,0,0,0.5,0.5,Chile,0.5,1.0,"[('Chile', 0.5), ('Peru', 0.5)]"
1954-09-01,2,2,1.0,1,0,0,0,0,0.5,0.5,Chile,0.5,1.0,"[('Chile', 0.5), ('Peru', 0.5)]"
1965-01-01,2,1,0.5,1,0,0,0,1,0.649122638064138,0.4999999999999999,Chile,0.649122638064138,1.849998627676622,"[('Chile', 0.649122638064138), ('Peru', 0.3508773619358619)]"
1968-05-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Chile,0.649122638064138,1.849998627676622,"[('Chile', 0.649122638064138), ('Peru', 0.3508773619358619)]"
1971-05-01,2,2,1.0,1,0,0,1,0,0.5,0.5,Chile,0.5,1.0,"[('Chile', 0.5), ('Peru', 0.5)]"
1982-01-01,2,1,0.5,1,0,0,0,1,0.649122638064138,0.4999999999999999,Peru,0.649122638064138,1.849998627676622,"[('Peru', 0.649122638064138), ('Chile', 0.3508773619358619)]"
1983-05-01,2,1,0.5,1,0,0,1,1,0.649122638064138,0.4999999999999999,Chile,0.649122638064138,1.849998627676622,"[('Chile', 0.649122638064138), ('Peru', 0.3508773619358619)]"
1988-09-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Chile,0.649122638064138,1.849998627676622,"[('Chile', 0.649122638064138), ('Peru', 0.3508773619358619)]"
2006-09-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Chile,0.649122638064138,1.849998627676622,"[('Chile', 0.649122638064138), ('Peru', 0.3508773619358619)]"
2012-01-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Chile,0.649122638064138,1.849998627676622,"[('Chile', 0.649122638064138), ('Peru', 0.3508773619358619)]"
