snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1997-01-01,4,5,0.4166666666666667,1,0,0,0,0,0.4278326099304465,0.24999999999999997,Poland,0.4278326099304465,1.6407035890232489,"[('Poland', 0.4278326099304465), ('Cyprus', 0.26076167126881566), ('Latvia', 0.18299091153140434), ('Lithuania', 0.1284148072693334)]"
1998-01-01,5,4,0.2,2,4,3,4,5,0.2875654237888404,0.20000000000000004,Slovakia,0.2875654237888404,1.0288303642589944,"[('Slovakia', 0.2875654237888404), ('Cyprus', 0.27950713137821975), ('Slovenia', 0.1801232171554451), ('Finland', 0.1264021138387475), ('Iceland', 0.1264021138387475)]"
1999-01-01,4,4,0.3333333333333333,1,2,3,4,4,0.4161492488779942,0.25,Greece,0.4161492488779942,1.4944311768524725,"[('Greece', 0.4161492488779942), ('Belgium', 0.2784666536163115), ('Cyprus', 0.17945268439422316), ('Finland', 0.12593141311147116)]"
2000-01-01,7,8,0.19047619047619047,3,6,3,8,4,0.2800480271858134,0.14285714285714282,Cyprus,0.2800480271858134,1.6161810641566499,"[('Cyprus', 0.2800480271858134), ('Armenia', 0.1732776316940374), ('Georgia', 0.14691742570993363), ('Moldova', 0.1176510038207663), ('Lithuania', 0.10441588746365475), ('Romania', 0.10441588746365475), ('Latvia', 0.07327413666213972)]"
2001-01-01,4,4,0.3333333333333333,1,1,4,4,8,0.4161492488779942,0.25,Romania,0.4161492488779942,1.4944311768524725,"[('Romania', 0.4161492488779942), ('Lithuania', 0.2784666536163115), ('Cyprus', 0.17945268439422316), ('Ukraine', 0.12593141311147116)]"
2002-01-01,4,3,0.25,2,3,3,3,4,0.3991232045549693,0.25,Czech Republic,0.3991232045549693,1.5964928182198772,"[('Czech Republic', 0.3991232045549693), ('Switzerland', 0.25), ('Cyprus', 0.17543839772251535), ('Hungary', 0.17543839772251535)]"
2003-01-01,4,3,0.25,2,3,3,3,3,0.3648171434859837,0.25,Romania,0.3648171434859837,1.5517520779729943,"[('Romania', 0.3648171434859837), ('Slovakia', 0.23510014819025282), ('Russia', 0.23510014819025282), ('Cyprus', 0.16498256013351076)]"
2004-01-01,8,9,0.16071428571428573,2,6,2,9,3,0.22726887407605117,0.12500000000000003,Belarus,0.22726887407605117,1.1339743807948655,"[('Belarus', 0.22726887407605117), ('Hungary', 0.2004179970245411), ('Cyprus', 0.12697400104661097), ('Latvia', 0.10591501467102676), ('Armenia', 0.09538552148323465), ('Romania', 0.09538552148323465), ('Georgia', 0.07432653510765043), ('Kazakhstan', 0.07432653510765043)]"
2005-01-01,3,2,0.3333333333333333,1,1,6,2,9,0.5744685965480859,0.3333333333333333,Finland,0.5744685965480859,2.7000056488803987,"[('Finland', 0.5744685965480859), ('Cyprus', 0.212765701725957), ('Latvia', 0.212765701725957)]"
2006-01-01,7,6,0.14285714285714285,2,6,2,6,2,0.26141972962906296,0.14285714285714285,Romania,0.26141972962906296,1.2239144018009844,"[('Romania', 0.26141972962906296), ('Greece', 0.21359314772698565), ('Slovenia', 0.17492964587148543), ('Cyprus', 0.1127301248998903), ('Armenia', 0.07910911729085851), ('Belarus', 0.07910911729085851), ('Kazakhstan', 0.07910911729085851)]"
2007-01-01,4,4,0.3333333333333333,1,3,6,4,6,0.4161492488779942,0.25,Bulgaria,0.4161492488779942,1.4944311768524725,"[('Bulgaria', 0.4161492488779942), ('Cyprus', 0.2784666536163115), ('Hungary', 0.17945268439422316), ('Latvia', 0.12593141311147116)]"
2009-01-01,4,4,0.3333333333333333,1,3,3,4,4,0.4161492488779942,0.25,Ukraine,0.4161492488779942,1.4944311768524725,"[('Ukraine', 0.4161492488779942), ('Serbia', 0.2784666536163115), ('Cyprus', 0.17945268439422316), ('Slovakia', 0.12593141311147116)]"
2011-01-01,2,1,0.5,1,1,3,1,4,0.649122638064138,0.4999999999999999,Sweden,0.649122638064138,1.849998627676622,"[('Sweden', 0.649122638064138), ('Cyprus', 0.3508773619358619)]"
