snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1933-05-01,3,2,0.3333333333333333,1,0,0,0,0,0.5744685965480859,0.3333333333333333,Sweden,0.5744685965480859,2.7000056488803987,"[('Sweden', 0.5744685965480859), ('Estonia', 0.212765701725957), ('Lithuania', 0.212765701725957)]"
1933-09-01,2,1,0.5,1,2,3,1,2,0.649122638064138,0.4999999999999999,Czechoslovakia,0.649122638064138,1.849998627676622,"[('Czechoslovakia', 0.649122638064138), ('Poland', 0.3508773619358619)]"
1934-01-01,20,12,0.031578947368421054,8,20,2,12,1,0.09239390707194158,0.05,Netherlands,0.09239390707194158,1.0495451917945704,"[('Netherlands', 0.09239390707194158), ('Mexico', 0.08803232847359471), ('Cuba', 0.06330712904295935), ('Egypt', 0.06330712904295935), ('Italy', 0.06330712904295935), ('Romania', 0.06330712904295935), ('Spain', 0.06330712904295935), ('Hungary', 0.05361153636663194), ('France', 0.04876374002846824), ('Germany', 0.04876374002846824)]"
1934-05-01,2,1,0.5,1,1,19,1,12,0.649122638064138,0.4999999999999999,United States,0.649122638064138,1.849998627676622,"[('United States', 0.649122638064138), ('Mexico', 0.3508773619358619)]"
1937-05-01,6,6,0.2,2,6,2,6,1,0.21044599742426223,0.1666666666666666,Latvia,0.21044599742426223,1.011617602308373,"[('Latvia', 0.21044599742426223), ('Germany', 0.20802919694561783), ('Sweden', 0.20802919694561783), ('Estonia', 0.14598540152719097), ('Finland', 0.11375510357865534), ('Lithuania', 0.11375510357865534)]"
1937-09-01,11,6,0.05454545454545454,5,7,2,5,5,0.1529197791428148,0.09090909090909093,Austria,0.1529197791428148,1.390535089734091,"[('Austria', 0.1529197791428148), ('Latvia', 0.1099718951875262), ('Germany', 0.1099718951875262), ('Netherlands', 0.1099718951875262), ('Norway', 0.1099718951875262), ('Poland', 0.1099718951875262), ('Sweden', 0.05944414898391089), ('Lithuania', 0.05944414898391089), ('Luxembourg', 0.05944414898391089), ('Republic of Ireland', 0.05944414898391089)]"
1938-01-01,9,5,0.06944444444444445,4,6,8,5,6,0.1841110014179204,0.1111111111111111,Hungary,0.1841110014179204,1.3905348893290665,"[('Hungary', 0.1841110014179204), ('Belgium', 0.13240300752666048), ('Czechoslovakia', 0.13240300752666048), ('Greece', 0.13240300752666048), ('Yugoslavia', 0.13240300752666048), ('Luxembourg', 0.07156924211885944), ('Bulgaria', 0.07156924211885944), ('Israel', 0.07156924211885944), ('Poland', 0.07156924211885944)]"
1938-05-01,2,1,0.5,1,2,9,1,5,0.649122638064138,0.4999999999999999,Switzerland,0.649122638064138,1.849998627676622,"[('Switzerland', 0.649122638064138), ('Portugal', 0.3508773619358619)]"
1949-05-01,6,3,0.1,3,5,1,3,1,0.21637440151832305,0.16666666666666663,Sweden,0.21637440151832305,1.0,"[('Sweden', 0.21637440151832305), ('Switzerland', 0.21637440151832305), ('Yugoslavia', 0.21637440151832305), ('Republic of Ireland', 0.11695893181501019), ('Luxembourg', 0.11695893181501019), ('Israel', 0.11695893181501019)]"
1949-09-01,17,13,0.04779411764705882,6,11,0,10,0,0.10156529470188076,0.0588235294117647,Yugoslavia,0.10156529470188076,1.0241755227402725,"[('Yugoslavia', 0.10156529470188076), ('Mexico', 0.09916785985094997), ('Sweden', 0.0967704250000192), ('England', 0.06959117446280606), ('Republic of Ireland', 0.06959117446280606), ('Scotland', 0.06959117446280606), ('Switzerland', 0.06959117446280606), ('Turkey', 0.06959117446280606), ('United States', 0.05360411434326871), ('Northern Ireland', 0.03761705422373136)]"
