snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1930-05-01,13,18,0.11538461538461539,4,0,0,0,0,0.30235460337866016,0.07692307692307694,Uruguay,0.30235460337866016,1.7172021153393566,"[('Uruguay', 0.30235460337866016), ('Argentina', 0.17607397561288718), ('United States', 0.0825342537578025), ('Yugoslavia', 0.0825342537578025), ('Chile', 0.05725363128379021), ('Brazil', 0.044613320046784075), ('Paraguay', 0.044613320046784075), ('Romania', 0.044613320046784075), ('France', 0.04017814480330601), ('Mexico', 0.03130779431634988)]"
1934-05-01,16,16,0.06666666666666667,4,10,7,16,18,0.2656297093019831,0.06250000000000001,Italy,0.2656297093019831,1.494437905437041,"[('Italy', 0.2656297093019831), ('Czechoslovakia', 0.1777455646270569), ('Germany', 0.11454536772877558), ('Austria', 0.0803831319628184), ('Hungary', 0.04345055927689572), ('Switzerland', 0.04345055927689572), ('Sweden', 0.04345055927689572), ('Spain', 0.04345055927689572), ('France', 0.023486748658972927), ('Romania', 0.023486748658972927)]"
1938-05-01,15,15,0.07142857142857142,4,4,5,15,16,0.2991442553362906,0.06666666666666667,Italy,0.2991442553362906,2.457870576163934,"[('Italy', 0.2991442553362906), ('Brazil', 0.12170870925318339), ('Hungary', 0.12170870925318336), ('Sweden', 0.06933344591079107), ('Czechoslovakia', 0.04986094199005966), ('Cuba', 0.04986094199005966), ('France', 0.04986094199005966), ('Switzerland', 0.04986094199005966), ('Poland', 0.02695158746947329), ('Romania', 0.02695158746947329)]"
1950-05-01,13,19,0.12179487179487179,3,9,11,18,14,0.24670308293230575,0.07692307692307696,Uruguay,0.24670308293230575,1.4056246936160137,"[('Uruguay', 0.24670308293230575), ('Brazil', 0.17551134670070026), ('Sweden', 0.1090128400936603), ('Spain', 0.08902162064805133), ('Yugoslavia', 0.06569028674506751), ('Italy', 0.051187104168327516), ('Chile', 0.048119724138494815), ('United States', 0.048119724138494815), ('England', 0.048119724138494815), ('Switzerland', 0.03550821864525354)]"
1954-05-01,16,22,0.09166666666666666,4,9,6,21,18,0.38701422851562506,0.06250000000000001,Germany,0.38701422851562506,1.0512763205923386,"[('Germany', 0.38701422851562506), ('Hungary', 0.3681374924316407), ('Austria', 0.04205410913085938), ('Uruguay', 0.034024833984375), ('Switzerland', 0.0241171875), ('Yugoslavia', 0.02073046875), ('England', 0.019624804687500004), ('Italy', 0.01734375), ('Brazil', 0.013359375000000001), ('France', 0.013359375000000001)]"
1958-05-01,16,24,0.1,3,6,6,22,20,0.223651968997699,0.0625,Brazil,0.223651968997699,1.812424201704813,"[('Brazil', 0.223651968997699), ('France', 0.12339935032169963), ('Sweden', 0.10747832134920093), ('Germany', 0.10296655027558346), ('Yugoslavia', 0.07370015322060627), ('Northern Ireland', 0.05552940533338862), ('Russia', 0.04835916162694097), ('Argentina', 0.04485643766295722), ('Czechoslovakia', 0.04032061495942178), ('Wales', 0.03413018762331056)]"
1962-05-01,16,27,0.1125,4,7,7,27,24,0.18430856915914925,0.06249999999999999,Brazil,0.18430856915914925,1.4502846434683552,"[('Brazil', 0.18430856915914925), ('Chile', 0.12708441062878206), ('Czechoslovakia', 0.1075112963029643), ('Yugoslavia', 0.10573786879204441), ('Germany', 0.0786086821145272), ('Mexico', 0.0648583840173413), ('Russia', 0.06073224769158201), ('Spain', 0.04673182956094364), ('Hungary', 0.045324312543494345), ('England', 0.04238159855583896)]"
1966-05-01,16,27,0.1125,3,3,3,24,24,0.29182976412042166,0.0625,England,0.29182976412042166,2.458289288741421,"[('England', 0.29182976412042166), ('Portugal', 0.11871253943014606), ('Germany', 0.11253390873893077), ('Russia', 0.08683178749327747), ('Argentina', 0.045496795959573365), ('Hungary', 0.045496795959573365), ('North Korea', 0.03994566054932998), ('Uruguay', 0.03545212143314799), ('Italy', 0.03545212143314799), ('Spain', 0.03192763054199596)]"
1970-05-01,16,27,0.1125,4,8,8,26,26,0.2542124141097469,0.062499999999999986,Brazil,0.2542124141097469,1.3983376471853863,"[('Brazil', 0.2542124141097469), ('Italy', 0.18179615961955456), ('Germany', 0.10016904447805841), ('Uruguay', 0.0778929612361488), ('Sweden', 0.04494965705234235), ('Peru', 0.04232803736560906), ('England', 0.04184176668845137), ('Mexico', 0.04184176668845137), ('Russia', 0.04184176668845137), ('Belgium', 0.029362791524969303)]"
1974-05-01,16,28,0.11666666666666667,3,10,10,27,26,0.25776377110082427,0.0625,Germany,0.25776377110082427,1.1042377268230017,"[('Germany', 0.25776377110082427), ('German DR', 0.23343141140670448), ('Netherlands', 0.17496222233966244), ('Brazil', 0.11577797056823705), ('Poland', 0.08805791730158022), ('Sweden', 0.017995081325806274), ('Argentina', 0.012911519758537814), ('Yugoslavia', 0.012911519758537814), ('Italy', 0.012911519758537814), ('Scotland', 0.012911519758537814)]"
