snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1913-01-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Philippines,0.649122638064138,1.849998627676622,"[('Philippines', 0.649122638064138), ('China PR', 0.3508773619358619)]"
1915-05-01,2,1,0.5,1,0,0,1,1,0.649122638064138,0.4999999999999999,China PR,0.649122638064138,1.849998627676622,"[('China PR', 0.649122638064138), ('Philippines', 0.3508773619358619)]"
1917-05-01,3,3,0.5,1,1,0,2,0,0.5208692975273159,0.3333333333333333,China PR,0.5208692975273159,1.849999099124769,"[('China PR', 0.5208692975273159), ('Philippines', 0.28155110874039785), ('Japan', 0.19757959373228617)]"
1919-05-01,2,2,1.0,1,0,1,1,2,0.5,0.5,China PR,0.5,1.0,"[('China PR', 0.5), ('Philippines', 0.5)]"
1921-05-01,3,3,0.5,1,1,0,2,1,0.5208692975273159,0.3333333333333333,China PR,0.5208692975273159,1.849999099124769,"[('China PR', 0.5208692975273159), ('Philippines', 0.28155110874039785), ('Japan', 0.19757959373228617)]"
1923-05-01,3,3,0.5,1,0,0,0,0,0.5208692975273159,0.3333333333333333,China PR,0.5208692975273159,1.849999099124769,"[('China PR', 0.5208692975273159), ('Philippines', 0.28155110874039785), ('Japan', 0.19757959373228617)]"
1925-05-01,3,3,0.5,1,0,0,0,0,0.5208692975273159,0.3333333333333333,China PR,0.5208692975273159,1.849999099124769,"[('China PR', 0.5208692975273159), ('Philippines', 0.28155110874039785), ('Japan', 0.19757959373228617)]"
1927-05-01,3,3,0.5,1,0,0,1,1,0.5208692975273159,0.3333333333333333,China PR,0.5208692975273159,1.849999099124769,"[('China PR', 0.5208692975273159), ('Japan', 0.28155110874039785), ('Philippines', 0.19757959373228617)]"
1930-05-01,3,2,0.3333333333333333,1,0,0,0,1,0.37012974744707666,0.3333333333333332,China PR,0.37012974744707666,1.0,"[('China PR', 0.37012974744707666), ('Japan', 0.37012974744707666), ('Philippines', 0.25974050510584634)]"
1934-05-01,4,6,0.5,1,1,0,4,0,0.381443415105606,0.24999999999999997,China PR,0.381443415105606,1.8500009106073765,"[('China PR', 0.381443415105606), ('Indonesia', 0.20618552829813133), ('Japan', 0.20618552829813133), ('Philippines', 0.20618552829813133)]"
