snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1991-05-01,8,14,0.25,2,0,0,0,0,0.2837144454613539,0.125,United States,0.2837144454613539,2.0408534918372507,"[('United States', 0.2837144454613539), ('Honduras', 0.1390175466274866), ('Mexico', 0.1390175466274866), ('Costa Rica', 0.10630293924677935), ('Guatemala', 0.10032338148384354), ('Trinidad and Tobago', 0.0862548653188635), ('Canada', 0.08170392678231236), ('Jamaica', 0.0636653484518741)]"
1993-05-01,8,11,0.19642857142857142,2,2,2,8,11,0.3560833264984014,0.125,Mexico,0.3560833264984014,1.603619236497793,"[('Mexico', 0.3560833264984014), ('United States', 0.2220497973546799), ('Jamaica', 0.0908523070058579), ('Costa Rica', 0.08063171839874671), ('Honduras', 0.08063171839874671), ('Martinique', 0.05658371078118913), ('Panama', 0.05658371078118913), ('Canada', 0.05658371078118913)]"
1996-01-01,9,12,0.16666666666666666,3,5,4,12,11,0.3003703658833824,0.1111111111111111,Mexico,0.3003703658833824,1.277668036182423,"[('Mexico', 0.3003703658833824), ('Brazil', 0.2350926511246745), ('United States', 0.1369060608723459), ('Canada', 0.06417507264378118), ('El Salvador', 0.06417507264378118), ('Guatemala', 0.06417507264378118), ('Honduras', 0.04503523472941785), ('Trinidad and Tobago', 0.04503523472941785), ('Saint Vincent and the Grenadines', 0.04503523472941785)]"
1998-01-01,10,13,0.14444444444444443,3,3,2,13,12,0.31871141947020126,0.10000000000000002,Mexico,0.31871141947020126,1.6216456971332625,"[('Mexico', 0.31871141947020126), ('United States', 0.19653579079179737), ('Brazil', 0.10067519987036835), ('Jamaica', 0.09575637261704192), ('Costa Rica', 0.05997924531058439), ('Trinidad and Tobago', 0.05997924531058439), ('El Salvador', 0.042090681657355626), ('Cuba', 0.042090681657355626), ('Guatemala', 0.042090681657355626), ('Honduras', 0.042090681657355626)]"
2000-01-01,11,13,0.11818181818181818,3,4,3,12,12,0.19959863388783644,0.09090909090909093,Canada,0.19959863388783644,1.60230431495573,"[('Canada', 0.19959863388783644), ('Peru', 0.1245697412313036), ('United States', 0.12450013976844729), ('Colombia', 0.10806098654253447), ('Trinidad and Tobago', 0.10443705133384919), ('Honduras', 0.10104568774161116), ('Mexico', 0.08306600577362651), ('Jamaica', 0.038680438430197875), ('Costa Rica', 0.038680438430197875), ('Guatemala', 0.038680438430197875)]"
2002-01-01,12,15,0.11363636363636363,4,5,4,15,13,0.2132795367071206,0.08333333333333333,United States,0.2132795367071206,1.4507767980485362,"[('United States', 0.2132795367071206), ('Costa Rica', 0.14701057874237197), ('Haiti', 0.12923594893340237), ('Ecuador', 0.11410652673173641), ('Canada', 0.0963049354525099), ('Mexico', 0.06547797330294743), ('Martinique', 0.059653635376563596), ('El Salvador', 0.04594948958440022), ('South Korea', 0.032245343792236855), ('Guatemala', 0.032245343792236855)]"
2003-05-01,12,17,0.12878787878787878,2,4,4,14,12,0.2432542891030899,0.08333333333333336,Mexico,0.2432542891030899,1.2329195579550822,"[('Mexico', 0.2432542891030899), ('Brazil', 0.19729940005700855), ('United States', 0.11430240923628956), ('Costa Rica', 0.07922063718524242), ('Cuba', 0.07408050580832047), ('Jamaica', 0.0550019582858554), ('Colombia', 0.05310647139765304), ('Canada', 0.052176559970767505), ('El Salvador', 0.04236623483047705), ('Honduras', 0.029730511375098703)]"
2005-05-01,12,17,0.12878787878787878,3,3,3,13,13,0.2424427567093322,0.08333333333333331,United States,0.2424427567093322,1.2942319764772805,"[('United States', 0.2424427567093322), ('Honduras', 0.18732558081992973), ('Colombia', 0.09274263496947656), ('Panama', 0.08673824366051007), ('Mexico', 0.06941554413704783), ('South Africa', 0.06368586693368783), ('Costa Rica', 0.0625145475541755), ('Jamaica', 0.048712554388430904), ('Canada', 0.043869759715799456), ('Cuba', 0.034184170370536546)]"
2007-05-01,12,21,0.1590909090909091,3,3,3,20,16,0.21309100530533012,0.08333333333333333,United States,0.21309100530533012,1.4091583474633531,"[('United States', 0.21309100530533012), ('Mexico', 0.15121863748592798), ('Guadeloupe', 0.11514072342616344), ('Honduras', 0.10359018459407104), ('Canada', 0.10240354367374921), ('Costa Rica', 0.07652823977923372), ('Panama', 0.07161922385888204), ('Guatemala', 0.044305455503780816), ('El Salvador', 0.039321275658301236), ('Haiti', 0.027593903571520105)]"
2009-05-01,12,20,0.15151515151515152,3,3,3,17,18,0.20687387312534777,0.08333333333333333,Mexico,0.20687387312534777,1.291881686386109,"[('Mexico', 0.20687387312534777), ('United States', 0.16013376093599851), ('Honduras', 0.12997329091155338), ('Canada', 0.09448835329452368), ('El Salvador', 0.09212568823625532), ('Costa Rica', 0.07643904334683019), ('Jamaica', 0.06630720940296465), ('Guadeloupe', 0.04965749053766555), ('Panama', 0.0348471663125254), ('Haiti', 0.0348471663125254)]"
