snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1970-01-01,4,4,0.3333333333333333,1,0,0,0,0,0.5044308431393429,0.25000000000000006,Kuwait,0.5044308431393429,2.4464895892168252,"[('Kuwait', 0.5044308431393429), ('Bahrain', 0.20618556701106677), ('Qatar', 0.14469179492479523), ('Saudi Arabia', 0.14469179492479523)]"
1972-01-01,5,9,0.45,1,1,0,6,1,0.27030222169264584,0.2,Kuwait,0.27030222169264584,1.0,"[('Kuwait', 0.27030222169264584), ('Saudi Arabia', 0.27030222169264584), ('Bahrain', 0.1896857005635086), ('United Arab Emirates', 0.14780705690503226), ('Qatar', 0.12190279914616753)]"
1974-01-01,6,10,0.3333333333333333,2,1,0,5,4,0.3815746228723133,0.16666666666666666,Kuwait,0.3815746228723133,1.7807022782386412,"[('Kuwait', 0.3815746228723133), ('Saudi Arabia', 0.21428322271241373), ('United Arab Emirates', 0.12217502052932058), ('Bahrain', 0.10145550709319548), ('Qatar', 0.10145550709319548), ('Oman', 0.0790561196995612)]"
1976-01-01,7,18,0.42857142857142855,1,1,0,12,4,0.3741263262850197,0.14285714285714282,Kuwait,0.3741263262850197,2.6012261577155362,"[('Kuwait', 0.3741263262850197), ('Iraq', 0.1438269122334165), ('Qatar', 0.1438269122334165), ('Bahrain', 0.112072784738636), ('Saudi Arabia', 0.09243108407967979), ('Oman', 0.06685799021491566), ('United Arab Emirates', 0.06685799021491566)]"
1979-01-01,7,18,0.42857142857142855,1,0,0,5,5,0.39195612670628105,0.14285714285714282,Iraq,0.39195612670628105,2.4885420581179343,"[('Iraq', 0.39195612670628105), ('Kuwait', 0.1575043208241835), ('Saudi Arabia', 0.11832023396612869), ('Bahrain', 0.09219750939409216), ('Qatar', 0.09219750939409216), ('United Arab Emirates', 0.07880127082023353), ('Oman', 0.06902302889498878)]"
1982-01-01,6,14,0.4666666666666667,1,0,1,5,9,0.2816485175046496,0.16666666666666666,Kuwait,0.2816485175046496,1.0483791529992952,"[('Kuwait', 0.2816485175046496), ('Qatar', 0.2686513907672475), ('Bahrain', 0.1691817616634805), ('United Arab Emirates', 0.15014980687128254), ('Saudi Arabia', 0.10536852319333984), ('Oman', 0.025)]"
1984-01-01,7,15,0.35714285714285715,2,1,0,9,8,0.2671814881012307,0.14285714285714282,Qatar,0.2671814881012307,1.0408796569515255,"[('Qatar', 0.2671814881012307), ('United Arab Emirates', 0.25668816401286776), ('Saudi Arabia', 0.2515277547014112), ('Iraq', 0.14840170032734729), ('Kuwait', 0.028790178571428578), ('Bahrain', 0.025982142857142863), ('Oman', 0.021428571428571432)]"
1986-01-01,7,15,0.35714285714285715,2,0,0,12,12,0.28213639072845853,0.14285714285714285,Kuwait,0.28213639072845853,1.4539999690207095,"[('Kuwait', 0.28213639072845853), ('United Arab Emirates', 0.1940415383354386), ('Saudi Arabia', 0.15558568624163915), ('Qatar', 0.14762295435227257), ('Bahrain', 0.09977059023836893), ('Iraq', 0.06515489792681291), ('Oman', 0.05568794217700922)]"
1988-01-01,7,15,0.35714285714285715,2,0,0,10,10,0.2606202926296308,0.14285714285714282,Iraq,0.2606202926296308,1.5427658305807745,"[('Iraq', 0.2606202926296308), ('Qatar', 0.16893055800407522), ('Bahrain', 0.14350320722384136), ('United Arab Emirates', 0.13629915258665906), ('Saudi Arabia', 0.11518374124126556), ('Oman', 0.10093853614140068), ('Kuwait', 0.07452451217312703)]"
1990-01-01,5,5,0.25,2,0,2,5,15,0.443785904041321,0.2000000000000001,Kuwait,0.443785904041321,2.275001864771485,"[('Kuwait', 0.443785904041321), ('Qatar', 0.19507056715573176), ('Bahrain', 0.15025693262288226), ('United Arab Emirates', 0.1054432980900327), ('Oman', 0.1054432980900327)]"
