snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1979-05-01,5,6,0.3,2,0,0,0,0,0.3408732941718529,0.2,Réunion,0.3408732941718529,1.585077307570345,"[('Réunion', 0.3408732941718529), ('Mauritius', 0.21505152622136386), ('Comoros', 0.15978412018853835), ('Seychelles', 0.15978412018853835), ('Maldives', 0.12450693922970663)]"
1979-09-01,2,1,0.5,1,0,3,0,5,0.649122638064138,0.4999999999999999,Réunion,0.649122638064138,1.849998627676622,"[('Réunion', 0.649122638064138), ('Seychelles', 0.3508773619358619)]"
1985-05-01,6,5,0.16666666666666666,2,4,0,5,1,0.2766045148616299,0.16666666666666663,Réunion,0.2766045148616299,1.0241842847578542,"[('Réunion', 0.2766045148616299), ('Mauritius', 0.27007299270074914), ('Madagascar', 0.14598540145985017), ('Seychelles', 0.10244569699259026), ('Comoros', 0.10244569699259026), ('Maldives', 0.10244569699259026)]"
1990-05-01,5,7,0.35,2,0,1,5,3,0.3803497737207061,0.2,Madagascar,0.3803497737207061,1.849998914795252,"[('Madagascar', 0.3803497737207061), ('Mauritius', 0.20559459288266727), ('Comoros', 0.17511964033728053), ('Seychelles', 0.1442768793427992), ('Réunion', 0.094659113716547)]"
1993-05-01,5,8,0.4,1,0,0,3,2,0.4180263177181275,0.20000000000000004,Madagascar,0.4180263177181275,1.9501896413648485,"[('Madagascar', 0.4180263177181275), ('Réunion', 0.21435162450435846), ('Mauritius', 0.16549332815022358), ('Comoros', 0.10106436481364539), ('Seychelles', 0.10106436481364539)]"
1998-05-01,5,7,0.35,2,0,0,2,3,0.28836801540516227,0.20000000000000004,Madagascar,0.28836801540516227,1.1001912940543004,"[('Madagascar', 0.28836801540516227), ('Réunion', 0.26210715987626215), ('Seychelles', 0.2023633192973255), ('Comoros', 0.12358075271062516), ('Mauritius', 0.12358075271062516)]"
2003-05-01,4,2,0.16666666666666666,2,0,1,2,7,0.32456160227748454,0.24999999999999994,Mauritius,0.32456160227748454,1.0,"[('Mauritius', 0.32456160227748454), ('Réunion', 0.32456160227748454), ('Madagascar', 0.17543839772251532), ('Comoros', 0.17543839772251532)]"
2003-09-01,4,5,0.4166666666666667,1,1,1,4,1,0.4148035383876386,0.25,Mauritius,0.4148035383876386,1.3905371289193265,"[('Mauritius', 0.4148035383876386), ('Réunion', 0.2983045398507327), ('Seychelles', 0.16124585231998345), ('Comoros', 0.12564606944164525)]"
2007-05-01,6,6,0.2,2,2,0,6,5,0.22016211364494231,0.1666666666666666,Madagascar,0.22016211364494231,1.0515005514827171,"[('Madagascar', 0.22016211364494231), ('Mauritius', 0.20937898067147231), ('Mayotte', 0.16913704177657518), ('Réunion', 0.16913704177657518), ('Seychelles', 0.15203412921467424), ('Comoros', 0.08015069291576034)]"
2011-05-01,7,7,0.16666666666666666,2,1,0,7,6,0.3053384500589019,0.14285714285714285,Seychelles,0.3053384500589019,1.234679919595432,"[('Seychelles', 0.3053384500589019), ('Réunion', 0.247301705659028), ('Mayotte', 0.16360923679060016), ('Mauritius', 0.1082349616180994), ('Comoros', 0.058505215291123486), ('Madagascar', 0.058505215291123486), ('Maldives', 0.058505215291123486)]"
2015-05-01,7,12,0.2857142857142857,2,0,0,9,4,0.3315653303062548,0.14285714285714285,Réunion,0.3315653303062548,1.7169309236500443,"[('Réunion', 0.3315653303062548), ('Mayotte', 0.1931151252150413), ('Mauritius', 0.11748707724769208), ('Madagascar', 0.10439396841535288), ('Maldives', 0.10047968021244232), ('Seychelles', 0.0912685037082555), ('Comoros', 0.06169031489496103)]"
2019-05-01,6,9,0.3,1,0,1,6,9,0.2865282089394731,0.16666666666666666,Mayotte,0.2865282089394731,1.203101702047645,"[('Mayotte', 0.2865282089394731), ('Comoros', 0.23815792833790378), ('Réunion', 0.20586600845395814), ('Mauritius', 0.1709982730650813), ('Maldives', 0.0492247906017918), ('Seychelles', 0.0492247906017918)]"
2023-05-01,5,4,0.2,2,1,2,4,9,0.2875654237888404,0.20000000000000004,Madagascar,0.2875654237888404,1.0288303642589944,"[('Madagascar', 0.2875654237888404), ('Réunion', 0.27950713137821975), ('Mauritius', 0.1801232171554451), ('Comoros', 0.1264021138387475), ('Seychelles', 0.1264021138387475)]"
2023-09-01,4,2,0.16666666666666666,2,0,1,2,4,0.32456160227748454,0.24999999999999994,Madagascar,0.32456160227748454,1.0,"[('Madagascar', 0.32456160227748454), ('Mauritius', 0.32456160227748454), ('Réunion', 0.17543839772251532), ('Comoros', 0.17543839772251532)]"
