snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1970-05-01,6,6,0.2,2,0,0,0,0,0.2604345771746227,0.16666666666666666,Indonesia,0.2604345771746227,1.0,"[('Indonesia', 0.2604345771746227), ('Malaysia', 0.2604345771746227), ('Hong Kong', 0.14077540516877526), ('South Korea', 0.14077540516877526), ('Western Australia', 0.098790017656602), ('Singapore', 0.098790017656602)]"
1971-05-01,9,15,0.20833333333333334,2,4,1,14,5,0.306571005707877,0.1111111111111111,Myanmar,0.306571005707877,1.9682581733170328,"[('Myanmar', 0.306571005707877), ('Indonesia', 0.15575751690705503), ('Malaysia', 0.13583580339218768), ('Cambodia', 0.1165347672875518), ('Thailand', 0.0834290166670546), ('South Korea', 0.06500966906945861), ('Singapore', 0.0456207403229384), ('Western Australia', 0.0456207403229384), ('India', 0.0456207403229384)]"
1972-05-01,9,10,0.1388888888888889,2,3,3,9,14,0.1950377526257104,0.1111111111111111,Cambodia,0.1950377526257104,1.2042317825226516,"[('Cambodia', 0.1950377526257104), ('Myanmar', 0.1619603098476117), ('Indonesia', 0.13705265267136488), ('Philippines', 0.12620300855402392), ('Malaysia', 0.0875462752511269), ('Sri Lanka', 0.0875462752511269), ('Singapore', 0.06821790859967838), ('Thailand', 0.06821790859967838), ('Laos', 0.06821790859967838)]"
1973-05-01,2,1,0.5,1,0,7,1,10,0.649122638064138,0.4999999999999999,Indonesia,0.649122638064138,1.849998627676622,"[('Indonesia', 0.649122638064138), ('Malaysia', 0.3508773619358619)]"
1974-05-01,3,3,0.5,1,1,0,2,0,0.5208692975273159,0.3333333333333333,Myanmar,0.5208692975273159,1.849999099124769,"[('Myanmar', 0.5208692975273159), ('Indonesia', 0.28155110874039785), ('Malaysia', 0.19757959373228617)]"
1975-05-01,5,7,0.35,2,2,0,4,0,0.3151915267267026,0.2000000000000001,Myanmar,0.3151915267267026,1.0033276356288168,"[('Myanmar', 0.3151915267267026), ('Indonesia', 0.3141461627628369), ('South Korea', 0.297912310510461), ('Malaysia', 0.04275000000000001), ('Thailand', 0.030000000000000006)]"
1976-05-01,3,2,0.3333333333333333,1,0,2,1,6,0.47441161634059764,0.3333333333333332,Myanmar,0.47441161634059764,1.390536574672424,"[('Myanmar', 0.47441161634059764), ('Malaysia', 0.3411716203526378), ('Indonesia', 0.1844167633067642)]"
1978-05-01,5,4,0.2,2,3,1,4,2,0.349602461228348,0.20000000000000004,South Korea,0.349602461228348,1.1421810139589494,"[('South Korea', 0.349602461228348), ('Indonesia', 0.30608323633097345), ('Thailand', 0.16545000637514284), ('Malaysia', 0.08943214803276806), ('Singapore', 0.08943214803276806)]"
1981-05-01,3,2,0.3333333333333333,1,1,3,1,3,0.47441161634059764,0.3333333333333332,South Korea,0.47441161634059764,1.390536574672424,"[('South Korea', 0.47441161634059764), ('Indonesia', 0.3411716203526378), ('Philippines', 0.1844167633067642)]"
1985-05-01,2,1,0.5,1,1,2,1,2,0.649122638064138,0.4999999999999999,Thailand,0.649122638064138,1.849998627676622,"[('Thailand', 0.649122638064138), ('Indonesia', 0.3508773619358619)]"
1986-05-01,2,1,0.5,1,1,1,1,1,0.649122638064138,0.4999999999999999,Algeria,0.649122638064138,1.849998627676622,"[('Algeria', 0.649122638064138), ('Indonesia', 0.3508773619358619)]"
1987-05-01,3,2,0.3333333333333333,1,1,0,2,1,0.47441161634059764,0.3333333333333332,Indonesia,0.47441161634059764,1.390536574672424,"[('Indonesia', 0.47441161634059764), ('Algeria', 0.3411716203526378), ('South Korea', 0.1844167633067642)]"
1988-05-01,2,1,0.5,1,1,2,1,2,0.649122638064138,0.4999999999999999,Indonesia,0.649122638064138,1.849998627676622,"[('Indonesia', 0.649122638064138), ('Thailand', 0.3508773619358619)]"
