snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1989-05-01,5,10,0.5,1,0,0,0,0,0.4066323292963215,0.20000000000000004,Faroe Islands,0.4066323292963215,1.8499983875430472,"[('Faroe Islands', 0.4066323292963215), ('Ynys Môn', 0.21980145065767503), ('Åland Islands', 0.1542466413058905), ('Greenland', 0.12019212746506688), ('Shetland', 0.09912745127504638)]"
1991-05-01,8,15,0.26785714285714285,2,3,0,11,6,0.34843804092085356,0.12499999999999996,Faroe Islands,0.34843804092085356,2.3912891202142488,"[('Faroe Islands', 0.34843804092085356), ('Jersey', 0.14571138135301476), ('Ynys Môn', 0.14294606162205417), ('Åland Islands', 0.10031311841094748), ('Shetland', 0.08342491079934312), ('Isle of Wight', 0.06762307846506696), ('Greenland', 0.05577170421435983), ('Guernsey', 0.05577170421435983)]"
1993-05-01,8,14,0.25,2,2,2,12,13,0.23472467839835032,0.125,Isle of Man,0.23472467839835032,1.0872302391598374,"[('Isle of Man', 0.23472467839835032), ('Åland Islands', 0.21589233811205893), ('Jersey', 0.18232510043004274), ('Isle of Wight', 0.15097789955883084), ('Greenland', 0.08551215152880515), ('Ynys Môn', 0.046222896149740726), ('Shetland', 0.046222896149740726), ('Gibraltar', 0.038122039672430524)]"
1995-05-01,8,15,0.26785714285714285,2,1,1,14,13,0.2595401492089168,0.125,Gibraltar,0.2595401492089168,1.0861345496096693,"[('Gibraltar', 0.2595401492089168), ('Jersey', 0.23895764047114543), ('Isle of Wight', 0.19525964820026892), ('Greenland', 0.13304017294399825), ('Ynys Môn', 0.07927611588127065), ('Guernsey', 0.052441898294400026), ('Åland Islands', 0.022734375), ('Isle of Man', 0.018750000000000003)]"
1997-05-01,9,17,0.2361111111111111,3,3,2,16,14,0.2805307271675578,0.1111111111111111,Jersey,0.2805307271675578,1.9808218713000103,"[('Jersey', 0.2805307271675578), ('Ynys Môn', 0.14162339947480784), ('Isle of Wight', 0.10795064243628796), ('Guernsey', 0.10177873920744432), ('Gibraltar', 0.09108800776144024), ('Shetland', 0.09050300545197743), ('Frøya', 0.07981227400597335), ('Greenland', 0.05335660224725549), ('Hitra', 0.05335660224725549)]"
1999-05-01,14,27,0.14835164835164835,3,5,0,22,12,0.18697314231646447,0.07142857142857141,Ynys Môn,0.18697314231646447,1.8813431886570922,"[('Ynys Môn', 0.18697314231646447), ('Åland Islands', 0.09938279386969605), ('Isle of Wight', 0.09299997812177753), ('Isle of Man', 0.09112529091308141), ('Rhodes', 0.08539808918874431), ('Jersey', 0.08356361766067245), ('Gotland', 0.06830232568510264), ('Guernsey', 0.052993850424625934), ('Shetland', 0.05179308190333682), ('Greenland', 0.04479373806877987)]"
2001-05-01,12,19,0.14393939393939395,3,2,4,16,24,0.200990163600016,0.08333333333333333,Jersey,0.200990163600016,1.4503539959090508,"[('Jersey', 0.200990163600016), ('Gibraltar', 0.13858007366955932), ('Rhodes', 0.11466918499921053), ('Guernsey', 0.10998749437967918), ('Isle of Wight', 0.08689299593740615), ('Greenland', 0.06437802972202075), ('Shetland', 0.05126870392575686), ('Isle of Man', 0.05126870392575686), ('Ynys Môn', 0.05126870392575686), ('Falkland Islands', 0.046268283892672235)]"
2003-05-01,14,27,0.14835164835164835,4,4,2,22,14,0.2100895559521768,0.07142857142857141,Guernsey,0.2100895559521768,1.2226586955232852,"[('Guernsey', 0.2100895559521768), ('Isle of Man', 0.17183009184935347), ('Jersey', 0.10189821929845513), ('Gibraltar', 0.0682892389282162), ('Isle of Wight', 0.061750892032081846), ('Ynys Môn', 0.061750892032081846), ('Greenland', 0.05949680198748831), ('Gotland', 0.05801405158164107), ('Shetland', 0.05117648429040748), ('Orkney', 0.03626480721926042)]"
2005-05-01,10,20,0.2222222222222222,2,3,7,18,25,0.22290620372719103,0.10000000000000005,Guernsey,0.22290620372719103,1.023394515479776,"[('Guernsey', 0.22290620372719103), ('Shetland', 0.21781062958178035), ('Isle of Man', 0.21348109058711087), ('Western Isles', 0.200763054108715), ('Ynys Môn', 0.02911161214650052), ('Åland Islands', 0.02847657367037444), ('Falkland Islands', 0.02480405407947426), ('Saare County', 0.02306836253993943), ('Orkney', 0.02027086149188828), ('Greenland', 0.019307558067026262)]"
2007-05-01,11,19,0.17272727272727273,3,7,6,19,20,0.21338268157414467,0.09090909090909093,Gibraltar,0.21338268157414467,1.5017467426421027,"[('Gibraltar', 0.21338268157414467), ('Rhodes', 0.14208965833928108), ('Jersey', 0.12085531918510528), ('Western Isles', 0.09070059945640166), ('Åland Islands', 0.07940071911691066), ('Menorca', 0.07623263004089088), ('Bermuda', 0.0732093684939502), ('Ynys Môn', 0.060206568253100605), ('Gotland', 0.05381330023671037), ('Frøya', 0.050645211160690595)]"
2009-05-01,16,31,0.12916666666666668,3,6,1,28,16,0.24547945602518045,0.0625,Jersey,0.24547945602518045,2.6208453458368166,"[('Jersey', 0.24547945602518045), ('Guernsey', 0.09366422799999313), ('Åland Islands', 0.07892228009379174), ('Ynys Môn', 0.07067796762445472), ('Rhodes', 0.0696328317240064), ('Isle of Man', 0.06926775457229256), ('Menorca', 0.05702964996068974), ('Western Isles', 0.04860890254879659), ('Gibraltar', 0.0429294654253752), ('Gotland', 0.04177811381903496)]"
2011-05-01,15,27,0.12857142857142856,3,1,2,20,24,0.30589743859627055,0.06666666666666667,Isle of Wight,0.30589743859627055,2.6474366715825433,"[('Isle of Wight', 0.30589743859627055), ('Jersey', 0.1155447614214001), ('Guernsey', 0.10209789731022698), ('Gibraltar', 0.08146668299621196), ('Isle of Man', 0.04712946956780084), ('Ynys Môn', 0.04354756316327814), ('Menorca', 0.037272905734836985), ('Rhodes', 0.037272905734836985), ('Gotland', 0.03672430924884551), ('Saare County', 0.03507851979087108)]"
2013-05-01,4,6,0.5,1,2,13,6,27,0.4421822830977884,0.25,Bermuda,0.4421822830977884,1.8499998115585217,"[('Bermuda', 0.4421822830977884), ('Greenland', 0.23901747466951062), ('Falkland Islands', 0.18733608774451507), ('Frøya', 0.13146415448818594)]"
2015-05-01,16,30,0.125,3,14,2,30,6,0.2448725987224046,0.06249999999999999,Guernsey,0.2448725987224046,1.9233098606190882,"[('Guernsey', 0.2448725987224046), ('Isle of Man', 0.1273183295818924), ('Greenland', 0.09222008931636097), ('Menorca', 0.07222728197246533), ('Jersey', 0.06561302331015144), ('Isle of Wight', 0.04704155987235806), ('Shetland', 0.04704155987235806), ('Western Isles', 0.04346632008120699), ('Falkland Islands', 0.03665573035993473), ('Åland Islands', 0.03665573035993473)]"
2017-05-01,16,27,0.1125,3,2,2,25,28,0.2094097452128213,0.06249999999999999,Isle of Man,0.2094097452128213,2.14199069238061,"[('Isle of Man', 0.2094097452128213), ('Guernsey', 0.09776407804091958), ('Jersey', 0.08380641969798472), ('Åland Islands', 0.06624514439808855), ('Greenland', 0.0661286448096923), ('Menorca', 0.06167772442484035), ('Shetland', 0.059528740660146906), ('Orkney', 0.055118957958046694), ('Gotland', 0.05206677496367145), ('Ynys Môn', 0.049192930361162145)]"
2023-05-01,15,27,0.12857142857142856,3,3,4,25,25,0.2572882655023865,0.06666666666666667,Jersey,0.2572882655023865,1.9064019446691998,"[('Jersey', 0.2572882655023865), ('Ynys Môn', 0.1349601358841623), ('Isle of Wight', 0.10361451195911911), ('Shetland', 0.09006516122077513), ('Guernsey', 0.06479466824532497), ('Isle of Man', 0.063203695948188), ('Western Isles', 0.03998846492380394), ('Gozo', 0.03824736499015065), ('Greenland', 0.0372462307642115), ('Orkney', 0.0372462307642115)]"
2025-05-01,9,11,0.1527777777777778,3,1,7,7,23,0.29915968383986846,0.11111111111111109,Ynys Môn,0.29915968383986846,1.1769334044636321,"[('Ynys Môn', 0.29915968383986846), ('Isle of Man', 0.2541857361727323), ('Orkney', 0.11985492642411921), ('Jersey', 0.08310389667731), ('Hitra', 0.06401237151057887), ('Frøya', 0.044920846343847756), ('Gozo', 0.044920846343847756), ('Shetland', 0.044920846343847756), ('Western Isles', 0.044920846343847756)]"
