snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1968-09-01,6,10,0.3333333333333333,2,0,0,0,0,0.34859371888831153,0.16666666666666666,Indonesia,0.34859371888831153,1.393961273336826,"[('Indonesia', 0.34859371888831153), ('Myanmar', 0.2500741774940831), ('Thailand', 0.15710479170207592), ('Malaysia', 0.09545933018423461), ('Singapore', 0.0743839908656474), ('Laos', 0.0743839908656474)]"
1969-09-01,8,12,0.21428571428571427,3,3,1,12,10,0.23984063059666866,0.12499999999999999,South Korea,0.23984063059666866,1.2866024077811773,"[('South Korea', 0.23984063059666866), ('Indonesia', 0.18641394508991177), ('Western Australia', 0.14917266139504765), ('Vietnam Republic', 0.13081623197110567), ('Singapore', 0.12345976616239777), ('Laos', 0.08183075639909662), ('Thailand', 0.044233004192885915), ('Malaysia', 0.044233004192885915)]"
1970-09-01,9,17,0.2361111111111111,2,2,1,14,9,0.28678963162968407,0.11111111111111108,South Korea,0.28678963162968407,1.781105378409165,"[('South Korea', 0.28678963162968407), ('Thailand', 0.1610177786818188), ('Indonesia', 0.15381717393212982), ('Malaysia', 0.12772017509013542), ('Hong Kong', 0.06105001797918486), ('Laos', 0.06105001797918486), ('Singapore', 0.06105001797918486), ('Cambodia', 0.04375259336433851), ('Vietnam Republic', 0.04375259336433851)]"
1971-09-01,6,6,0.2,2,0,3,2,13,0.2535876292314754,0.1666666666666666,Thailand,0.2535876292314754,1.1106206636687375,"[('Thailand', 0.2535876292314754), ('Vietnam Republic', 0.22832965163262298), ('South Korea', 0.19237494423647208), ('Indonesia', 0.15650886816134427), ('Malaysia', 0.08459945336904251), ('Singapore', 0.08459945336904251)]"
1972-09-01,5,9,0.45,1,0,1,7,4,0.31347230367533574,0.20000000000000004,Malaysia,0.31347230367533574,1.0090335803772539,"[('Malaysia', 0.31347230367533574), ('Thailand', 0.3106658784915125), ('South Korea', 0.307361817833152), ('Singapore', 0.038500000000000006), ('Indonesia', 0.030000000000000006)]"
1973-09-01,8,12,0.21428571428571427,2,4,1,9,6,0.2779864512040983,0.125,South Korea,0.2779864512040983,1.3482386763489462,"[('South Korea', 0.2779864512040983), ('Malaysia', 0.20618489595394968), ('Thailand', 0.14760968391482676), ('Myanmar', 0.10358578327792389), ('Vietnam Republic', 0.07865506580530657), ('Laos', 0.07269188887018438), ('Singapore', 0.05664311548685515), ('Cambodia', 0.05664311548685515)]"
1974-09-01,7,10,0.23809523809523808,2,0,1,5,7,0.3286099689735081,0.14285714285714282,Thailand,0.3286099689735081,1.5540437985806428,"[('Thailand', 0.3286099689735081), ('Malaysia', 0.21145476676631503), ('South Korea', 0.21145476676631503), ('Cambodia', 0.08714470091906446), ('Singapore', 0.06712503968258524), ('Vietnam Republic', 0.047105378446106), ('Laos', 0.047105378446106)]"
1975-09-01,5,7,0.35,2,1,3,6,9,0.275936408267726,0.20000000000000004,Thailand,0.275936408267726,1.0058298279443094,"[('Thailand', 0.275936408267726), ('South Korea', 0.2743370703488463), ('Singapore', 0.26454467791764985), ('Myanmar', 0.15518184346577804), ('Malaysia', 0.030000000000000006)]"
1976-01-01,3,2,0.3333333333333333,1,0,2,1,6,0.5744685965480859,0.3333333333333333,South Korea,0.5744685965480859,2.7000056488803987,"[('South Korea', 0.5744685965480859), ('Malaysia', 0.212765701725957), ('Myanmar', 0.212765701725957)]"
1976-09-01,5,4,0.2,2,3,1,4,2,0.33322823469491736,0.2,Thailand,0.33322823469491736,1.4250003336498136,"[('Thailand', 0.33322823469491736), ('Malaysia', 0.23384432047214274), ('South Korea', 0.1801232171554451), ('Bangladesh', 0.12640211383874747), ('Singapore', 0.12640211383874747)]"
1977-09-01,4,5,0.4166666666666667,1,1,2,4,3,0.49277103533536337,0.24999999999999997,Malaysia,0.49277103533536337,2.700000648325816,"[('Malaysia', 0.49277103533536337), ('India', 0.18250774704106643), ('Thailand', 0.18250774704106643), ('Singapore', 0.14221347058250372)]"
1978-01-01,2,1,0.5,1,0,2,1,5,0.649122638064138,0.4999999999999999,Singapore,0.649122638064138,1.849998627676622,"[('Singapore', 0.649122638064138), ('Malaysia', 0.3508773619358619)]"
1979-09-01,3,2,0.3333333333333333,1,3,2,2,1,0.5744685965480859,0.3333333333333333,Thailand,0.5744685965480859,2.7000056488803987,"[('Thailand', 0.5744685965480859), ('Indonesia', 0.212765701725957), ('Sri Lanka', 0.212765701725957)]"
1980-09-01,3,2,0.3333333333333333,1,3,3,2,2,0.37012974744707666,0.3333333333333332,Singapore,0.37012974744707666,1.0,"[('Singapore', 0.37012974744707666), ('Western Australia', 0.37012974744707666), ('Brunei', 0.25974050510584634)]"
1981-09-01,4,6,0.5,1,3,2,6,2,0.4513761585479028,0.25,Thailand,0.4513761585479028,1.8499973764298727,"[('Thailand', 0.4513761585479028), ('Pakistan', 0.24398745873843836), ('Singapore', 0.17121913703515867), ('Malaysia', 0.1334172456785002)]"
1982-05-01,6,5,0.16666666666666666,2,3,1,4,5,0.3408196495540213,0.16666666666666666,South Korea,0.3408196495540213,1.41145061606603,"[('South Korea', 0.3408196495540213), ('Thailand', 0.2414676402238909), ('Singapore', 0.19786355748091206), ('Nepal', 0.07328305091372521), ('Philippines', 0.07328305091372521), ('Malaysia', 0.07328305091372521)]"
1987-01-01,4,2,0.16666666666666666,2,3,5,2,5,0.32456160227748454,0.24999999999999994,North Korea,0.32456160227748454,1.0,"[('North Korea', 0.32456160227748454), ('Thailand', 0.32456160227748454), ('Russia', 0.17543839772251532), ('Oman', 0.17543839772251532)]"
