snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
2013-05-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Bulgaria,0.649122638064138,1.849998627676622,"[('Bulgaria', 0.649122638064138), ('Japan', 0.3508773619358619)]"
2014-09-01,2,1,0.5,1,1,1,1,1,0.649122638064138,0.4999999999999999,Uruguay,0.649122638064138,1.849998627676622,"[('Uruguay', 0.649122638064138), ('Japan', 0.3508773619358619)]"
2015-01-01,2,1,0.5,1,1,1,1,1,0.649122638064138,0.4999999999999999,Japan,0.649122638064138,1.849998627676622,"[('Japan', 0.649122638064138), ('Tunisia', 0.3508773619358619)]"
2015-05-01,2,1,0.5,1,1,1,1,1,0.649122638064138,0.4999999999999999,Japan,0.649122638064138,1.849998627676622,"[('Japan', 0.649122638064138), ('Iraq', 0.3508773619358619)]"
2016-09-01,2,1,0.5,1,1,1,1,1,0.649122638064138,0.4999999999999999,Japan,0.649122638064138,1.849998627676622,"[('Japan', 0.649122638064138), ('Oman', 0.3508773619358619)]"
2017-09-01,2,1,0.5,1,1,1,1,1,0.649122638064138,0.4999999999999999,Japan,0.649122638064138,1.849998627676622,"[('Japan', 0.649122638064138), ('New Zealand', 0.3508773619358619)]"
2018-09-01,5,4,0.2,1,4,1,4,1,0.5238104856072308,0.20000000000000004,Japan,0.5238104856072308,4.400016966145817,"[('Japan', 0.5238104856072308), ('Costa Rica', 0.11904737859819237), ('Kyrgyzstan', 0.11904737859819237), ('Panama', 0.11904737859819237), ('Uruguay', 0.11904737859819237)]"
2019-01-01,3,2,0.3333333333333333,1,2,4,2,4,0.47441161634059764,0.3333333333333332,Colombia,0.47441161634059764,1.390536574672424,"[('Colombia', 0.47441161634059764), ('Japan', 0.3411716203526378), ('Bolivia', 0.1844167633067642)]"
2019-05-01,2,1,0.5,1,1,2,1,2,0.649122638064138,0.4999999999999999,Japan,0.649122638064138,1.849998627676622,"[('Japan', 0.649122638064138), ('El Salvador', 0.3508773619358619)]"
2019-09-01,3,2,0.3333333333333333,1,2,1,2,1,0.47441161634059764,0.3333333333333332,Venezuela,0.47441161634059764,1.390536574672424,"[('Venezuela', 0.47441161634059764), ('Japan', 0.3411716203526378), ('Paraguay', 0.1844167633067642)]"
2021-05-01,2,1,0.5,1,1,2,1,2,0.649122638064138,0.4999999999999999,Japan,0.649122638064138,1.849998627676622,"[('Japan', 0.649122638064138), ('Serbia', 0.3508773619358619)]"
2022-09-01,2,1,0.5,1,1,1,1,1,0.649122638064138,0.4999999999999999,Japan,0.649122638064138,1.849998627676622,"[('Japan', 0.649122638064138), ('United States', 0.3508773619358619)]"
