snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1978-05-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Japan,0.649122638064138,1.849998627676622,"[('Japan', 0.649122638064138), ('Thailand', 0.3508773619358619)]"
1979-05-01,2,1,0.5,1,1,1,1,1,0.649122638064138,0.4999999999999999,Japan,0.649122638064138,1.849998627676622,"[('Japan', 0.649122638064138), ('Indonesia', 0.3508773619358619)]"
1982-05-01,2,1,0.5,1,1,1,1,1,0.649122638064138,0.4999999999999999,Japan,0.649122638064138,1.849998627676622,"[('Japan', 0.649122638064138), ('Singapore', 0.3508773619358619)]"
1983-05-01,2,1,0.5,1,1,1,1,1,0.649122638064138,0.4999999999999999,Japan,0.649122638064138,1.849998627676622,"[('Japan', 0.649122638064138), ('Syria', 0.3508773619358619)]"
1984-05-01,3,2,0.3333333333333333,1,2,1,2,1,0.37012974744707666,0.3333333333333332,Japan,0.37012974744707666,1.0,"[('Japan', 0.37012974744707666), ('Republic of Ireland', 0.37012974744707666), ('China PR', 0.25974050510584634)]"
1985-05-01,2,1,0.5,1,1,2,1,2,0.649122638064138,0.4999999999999999,Uruguay,0.649122638064138,1.849998627676622,"[('Uruguay', 0.649122638064138), ('Japan', 0.3508773619358619)]"
1986-05-01,2,1,0.5,1,1,1,1,1,0.649122638064138,0.4999999999999999,Japan,0.649122638064138,1.849998627676622,"[('Japan', 0.649122638064138), ('Algeria', 0.3508773619358619)]"
1988-05-01,2,1,0.5,1,1,1,1,1,0.649122638064138,0.4999999999999999,China PR,0.649122638064138,1.849998627676622,"[('China PR', 0.649122638064138), ('Japan', 0.3508773619358619)]"
1991-05-01,2,1,0.5,1,1,1,1,1,0.649122638064138,0.4999999999999999,Japan,0.649122638064138,1.849998627676622,"[('Japan', 0.649122638064138), ('Thailand', 0.3508773619358619)]"
1992-05-01,3,3,0.5,1,2,1,3,1,0.5208692975273159,0.3333333333333333,Argentina,0.5208692975273159,1.849999099124769,"[('Argentina', 0.5208692975273159), ('Wales', 0.28155110874039785), ('Japan', 0.19757959373228617)]"
1993-01-01,3,2,0.3333333333333333,1,2,2,2,3,0.47441161634059764,0.3333333333333332,Hungary,0.47441161634059764,1.390536574672424,"[('Hungary', 0.47441161634059764), ('Japan', 0.3411716203526378), ('United States', 0.1844167633067642)]"
1994-05-01,3,2,0.3333333333333333,1,2,2,2,2,0.5744685965480859,0.3333333333333333,France,0.5744685965480859,2.7000056488803987,"[('France', 0.5744685965480859), ('Australia', 0.212765701725957), ('Japan', 0.212765701725957)]"
1995-05-01,3,2,0.3333333333333333,1,2,2,2,2,0.37012974744707666,0.3333333333333332,Japan,0.37012974744707666,1.0,"[('Japan', 0.37012974744707666), ('Scotland', 0.37012974744707666), ('Ecuador', 0.25974050510584634)]"
1996-05-01,3,2,0.3333333333333333,1,2,2,2,2,0.5744685965480859,0.3333333333333333,Japan,0.5744685965480859,2.7000056488803987,"[('Japan', 0.5744685965480859), ('Mexico', 0.212765701725957), ('Serbia', 0.212765701725957)]"
1997-05-01,3,2,0.3333333333333333,1,2,2,2,2,0.5744685965480859,0.3333333333333333,Japan,0.5744685965480859,2.7000056488803987,"[('Japan', 0.5744685965480859), ('Croatia', 0.212765701725957), ('Turkey', 0.212765701725957)]"
1998-05-01,2,1,0.5,1,2,3,1,2,0.649122638064138,0.4999999999999999,Czech Republic,0.649122638064138,1.849998627676622,"[('Czech Republic', 0.649122638064138), ('Paraguay', 0.3508773619358619)]"
2000-05-01,3,2,0.3333333333333333,1,3,2,2,1,0.37012974744707666,0.3333333333333332,Japan,0.37012974744707666,1.0,"[('Japan', 0.37012974744707666), ('Slovakia', 0.37012974744707666), ('Bolivia', 0.25974050510584634)]"
2001-05-01,3,3,0.5,1,2,2,3,2,0.5208692975273159,0.3333333333333333,Japan,0.5208692975273159,1.849999099124769,"[('Japan', 0.5208692975273159), ('Paraguay', 0.28155110874039785), ('Serbia', 0.19757959373228617)]"
2002-01-01,2,1,0.5,1,1,2,1,3,0.649122638064138,0.4999999999999999,Japan,0.649122638064138,1.849998627676622,"[('Japan', 0.649122638064138), ('Slovakia', 0.3508773619358619)]"
2003-05-01,2,1,0.5,1,1,1,1,1,0.649122638064138,0.4999999999999999,Argentina,0.649122638064138,1.849998627676622,"[('Argentina', 0.649122638064138), ('Japan', 0.3508773619358619)]"
2004-05-01,3,3,0.5,1,2,1,3,1,0.5208692975273159,0.3333333333333333,Japan,0.5208692975273159,1.849999099124769,"[('Japan', 0.5208692975273159), ('Serbia', 0.28155110874039785), ('Slovakia', 0.19757959373228617)]"
2005-05-01,3,2,0.3333333333333333,1,2,2,2,3,0.37012974744707666,0.3333333333333332,Peru,0.37012974744707666,1.0,"[('Peru', 0.37012974744707666), ('United Arab Emirates', 0.37012974744707666), ('Japan', 0.25974050510584634)]"
2006-05-01,3,2,0.3333333333333333,1,2,2,2,2,0.47441161634059764,0.3333333333333332,Scotland,0.47441161634059764,1.390536574672424,"[('Scotland', 0.47441161634059764), ('Bulgaria', 0.3411716203526378), ('Japan', 0.1844167633067642)]"
2007-05-01,3,2,0.3333333333333333,1,2,2,2,2,0.37012974744707666,0.3333333333333332,Colombia,0.37012974744707666,1.0,"[('Colombia', 0.37012974744707666), ('Japan', 0.37012974744707666), ('Montenegro', 0.25974050510584634)]"
2008-05-01,2,1,0.5,1,1,2,1,2,0.649122638064138,0.4999999999999999,Japan,0.649122638064138,1.849998627676622,"[('Japan', 0.649122638064138), ('Ivory Coast', 0.3508773619358619)]"
2009-05-01,3,2,0.3333333333333333,1,2,1,2,1,0.5744685965480859,0.3333333333333333,Japan,0.5744685965480859,2.7000056488803987,"[('Japan', 0.5744685965480859), ('Belgium', 0.212765701725957), ('Chile', 0.212765701725957)]"
2016-05-01,4,3,0.25,2,3,2,3,2,0.3648171434859837,0.25,Bosnia and Herzegovina,0.3648171434859837,1.5517520779729943,"[('Bosnia and Herzegovina', 0.3648171434859837), ('Japan', 0.23510014819025282), ('Denmark', 0.23510014819025282), ('Bulgaria', 0.16498256013351076)]"
2022-05-01,4,3,0.25,2,3,3,3,3,0.47060860306562025,0.25000000000000006,Tunisia,0.47060860306562025,1.850003815498855,"[('Tunisia', 0.47060860306562025), ('Japan', 0.2543825040375499), ('Ghana', 0.137504446448415), ('Chile', 0.137504446448415)]"
2025-09-01,4,3,0.25,1,2,2,2,2,0.5419853569696174,0.24999999999999994,Japan,0.5419853569696174,3.5500089258085,"[('Japan', 0.5419853569696174), ('Bolivia', 0.1526715476767942), ('Brazil', 0.1526715476767942), ('Ghana', 0.1526715476767942)]"
