snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1971-05-01,8,13,0.23214285714285715,2,0,0,0,0,0.24375245438226129,0.12499999999999997,Myanmar,0.24375245438226129,1.140649447588866,"[('Myanmar', 0.24375245438226129), ('South Korea', 0.21369620166608722), ('Indonesia', 0.13087837241449046), ('Malaysia', 0.12317350831710978), ('Thailand', 0.08643749437470767), ('Vietnam Republic', 0.06735398961511449), ('Cambodia', 0.06735398961511449), ('Taiwan', 0.06735398961511449)]"
1972-09-01,8,12,0.21428571428571427,3,2,2,6,7,0.3447955461667685,0.12499999999999999,Myanmar,0.3447955461667685,1.6669060737944237,"[('Myanmar', 0.3447955461667685), ('South Korea', 0.20684761522399459), ('Malaysia', 0.08559186671868534), ('Thailand', 0.08559186671868534), ('Indonesia', 0.07963555970712508), ('Cambodia', 0.07107656772933893), ('Singapore', 0.07107656772933893), ('Philippines', 0.05538441000606324)]"
1973-09-01,6,8,0.26666666666666666,2,0,2,5,9,0.27545323197707106,0.16666666666666674,South Korea,0.27545323197707106,1.0335304103872058,"[('South Korea', 0.27545323197707106), ('Malaysia', 0.2665168138341224), ('Myanmar', 0.25913613354802845), ('Cambodia', 0.14889382064077836), ('Indonesia', 0.025), ('Thailand', 0.025)]"
1974-05-01,4,4,0.3333333333333333,1,0,2,4,8,0.33260554622228633,0.2499999999999999,Myanmar,0.33260554622228633,1.0387002386455817,"[('Myanmar', 0.33260554622228633), ('South Korea', 0.32021321825822335), ('Cambodia', 0.3096812355194899), ('Thailand', 0.037500000000000006)]"
1975-05-01,4,3,0.25,2,1,1,1,2,0.47060860306562025,0.25000000000000006,South Korea,0.47060860306562025,1.850003815498855,"[('South Korea', 0.47060860306562025), ('Myanmar', 0.2543825040375499), ('Thailand', 0.137504446448415), ('Lebanon', 0.137504446448415)]"
1976-09-01,7,9,0.21428571428571427,2,4,1,8,2,0.30730072307211076,0.14285714285714282,South Korea,0.30730072307211076,1.5436893667152716,"[('South Korea', 0.30730072307211076), ('New Zealand', 0.19906901589015827), ('Malaysia', 0.1380930775980282), ('Myanmar', 0.10760510845196318), ('Singapore', 0.09690750125651316), ('India', 0.07551228686561313), ('Thailand', 0.07551228686561313)]"
1977-09-01,5,5,0.25,2,1,3,4,8,0.443785904041321,0.2000000000000001,South Korea,0.443785904041321,2.275001864771485,"[('South Korea', 0.443785904041321), ('Malaysia', 0.19507056715573176), ('Thailand', 0.15025693262288226), ('Bahrain', 0.1054432980900327), ('India', 0.1054432980900327)]"
1978-09-01,7,4,0.09523809523809523,3,3,1,3,4,0.19371699971828507,0.14285714285714288,Mexico,0.19371699971828507,1.0,"[('Mexico', 0.19371699971828507), ('Thailand', 0.19371699971828507), ('Malaysia', 0.14921462496478566), ('South Korea', 0.14921462496478566), ('Bahrain', 0.10471225021128623), ('Lebanon', 0.10471225021128623), ('Indonesia', 0.10471225021128623)]"
1979-09-01,7,7,0.16666666666666666,2,3,3,5,2,0.35685962606930577,0.14285714285714282,South Korea,0.35685962606930577,2.30945779627945,"[('South Korea', 0.35685962606930577), ('Sudan', 0.15452095580365605), ('Thailand', 0.15452095580365605), ('Bahrain', 0.08352461558084545), ('Bangladesh', 0.08352461558084545), ('Sri Lanka', 0.08352461558084545), ('Indonesia', 0.08352461558084545)]"
1980-05-01,5,8,0.4,1,1,3,7,6,0.4201135023838957,0.20000000000000004,South Korea,0.4201135023838957,2.0615052661290134,"[('South Korea', 0.4201135023838957), ('Indonesia', 0.20378968188267735), ('Thailand', 0.1732579380226403), ('Bahrain', 0.10141943885539342), ('Malaysia', 0.10141943885539342)]"
1980-09-01,2,1,0.5,1,0,3,0,7,0.649122638064138,0.4999999999999999,South Korea,0.649122638064138,1.849998627676622,"[('South Korea', 0.649122638064138), ('Indonesia', 0.3508773619358619)]"
1981-05-01,7,8,0.19047619047619047,2,5,0,8,1,0.2535592573709363,0.14285714285714285,Malta,0.2535592573709363,1.2522968490582644,"[('Malta', 0.2535592573709363), ('South Korea', 0.20247536162181878), ('Thailand', 0.18234618055863322), ('Japan', 0.10944591212482475), ('Liechtenstein', 0.09856527668901229), ('Malaysia', 0.07680400581738737), ('Indonesia', 0.07680400581738737)]"
1982-05-01,3,2,0.3333333333333333,1,2,6,2,8,0.5744685965480859,0.3333333333333333,South Korea,0.5744685965480859,2.7000056488803987,"[('South Korea', 0.5744685965480859), ('Bahrain', 0.212765701725957), ('India', 0.212765701725957)]"
1983-05-01,7,8,0.19047619047619047,2,6,2,8,2,0.3413520272532126,0.14285714285714282,South Korea,0.3413520272532126,2.2979696683212762,"[('South Korea', 0.3413520272532126), ('Ghana', 0.14854505346999586), ('New Zealand', 0.14342552579494872), ('Nigeria', 0.1030444893903677), ('Thailand', 0.1030444893903677), ('Sudan', 0.0802942073505536), ('Indonesia', 0.0802942073505536)]"
1984-05-01,2,1,0.5,1,1,6,1,8,0.649122638064138,0.4999999999999999,South Korea,0.649122638064138,1.849998627676622,"[('South Korea', 0.649122638064138), ('Guatemala', 0.3508773619358619)]"
1985-05-01,7,6,0.14285714285714285,2,6,1,6,1,0.37691561304255883,0.14285714285714282,South Korea,0.37691561304255883,2.1804099604003278,"[('South Korea', 0.37691561304255883), ('Iraq', 0.1728645621181057), ('Bahrain', 0.12431413981681576), ('Canada', 0.12431413981681576), ('Malaysia', 0.06719718173523459), ('Ghana', 0.06719718173523459), ('Thailand', 0.06719718173523459)]"
1987-05-01,6,5,0.16666666666666666,2,4,5,4,5,0.2278720287396314,0.16666666666666663,South Korea,0.2278720287396314,1.0976343872936838,"[('South Korea', 0.2278720287396314), ('Australia', 0.20760285153007127), ('Egypt', 0.18017945147304004), ('United States', 0.1599102742634799), ('Morocco', 0.11221769699688855), ('Thailand', 0.11221769699688855)]"
1988-05-01,2,1,0.5,1,1,5,1,5,0.649122638064138,0.4999999999999999,South Korea,0.649122638064138,1.849998627676622,"[('South Korea', 0.649122638064138), ('Zambia', 0.3508773619358619)]"
1991-05-01,4,5,0.4166666666666667,1,3,1,5,1,0.4148035383876386,0.25,South Korea,0.4148035383876386,1.3905371289193265,"[('South Korea', 0.4148035383876386), ('Egypt', 0.2983045398507327), ('Malta', 0.16124585231998345), ('Indonesia', 0.12564606944164525)]"
1993-05-01,2,1,0.5,1,0,2,1,5,0.649122638064138,0.4999999999999999,Egypt,0.649122638064138,1.849998627676622,"[('Egypt', 0.649122638064138), ('South Korea', 0.3508773619358619)]"
1995-05-01,4,4,0.3333333333333333,1,3,1,4,1,0.4161492488779942,0.25,Ecuador,0.4161492488779942,1.4944311768524725,"[('Ecuador', 0.4161492488779942), ('Zambia', 0.2784666536163115), ('South Korea', 0.17945268439422316), ('Costa Rica', 0.12593141311147116)]"
1997-05-01,4,4,0.3333333333333333,1,3,3,4,4,0.39963540677933773,0.25,South Korea,0.39963540677933773,1.8500018313073179,"[('South Korea', 0.39963540677933773), ('Egypt', 0.21601892496340522), ('Serbia', 0.21601892496340522), ('Ghana', 0.1683267432938519)]"
1999-05-01,3,2,0.3333333333333333,1,2,3,2,4,0.47441161634059764,0.3333333333333332,Croatia,0.47441161634059764,1.390536574672424,"[('Croatia', 0.47441161634059764), ('Mexico', 0.3411716203526378), ('Egypt', 0.1844167633067642)]"
