snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1988-01-01,3,3,0.5,1,0,0,0,0,0.5208692975273159,0.3333333333333333,Malta,0.5208692975273159,1.849999099124769,"[('Malta', 0.5208692975273159), ('Finland', 0.28155110874039785), ('Tunisia', 0.19757959373228617)]"
1989-01-01,4,3,0.25,2,2,1,3,3,0.3991232045549693,0.25,Algeria,0.3991232045549693,1.5964928182198772,"[('Algeria', 0.3991232045549693), ('Denmark', 0.25), ('Finland', 0.17543839772251535), ('Malta', 0.17543839772251535)]"
1990-01-01,3,2,0.3333333333333333,1,2,3,2,3,0.47441161634059764,0.3333333333333332,Norway,0.47441161634059764,1.390536574672424,"[('Norway', 0.47441161634059764), ('South Korea', 0.3411716203526378), ('Malta', 0.1844167633067642)]"
1992-01-01,2,1,0.5,1,1,2,1,2,0.649122638064138,0.4999999999999999,Malta,0.649122638064138,1.849998627676622,"[('Malta', 0.649122638064138), ('Iceland', 0.3508773619358619)]"
1994-01-01,4,4,0.3333333333333333,1,3,1,4,1,0.4399862970804468,0.24999999999999997,Slovenia,0.4399862970804468,1.4763705949361954,"[('Slovenia', 0.4399862970804468), ('Georgia', 0.29801887045810593), ('Malta', 0.13099741623072358), ('Tunisia', 0.13099741623072358)]"
1996-01-01,4,5,0.4166666666666667,1,2,2,5,4,0.4572306654076119,0.25,Russia,0.4572306654076119,2.1146982192777988,"[('Russia', 0.4572306654076119), ('Slovenia', 0.21621556269327313), ('Iceland', 0.19189253914735738), ('Malta', 0.1346612327517576)]"
1998-01-01,4,4,0.3333333333333333,1,3,3,4,5,0.5044308431393429,0.25000000000000006,Georgia,0.5044308431393429,2.4464895892168252,"[('Georgia', 0.5044308431393429), ('Malta', 0.20618556701106677), ('Albania', 0.14469179492479523), ('Latvia', 0.14469179492479523)]"
2000-01-01,4,4,0.3333333333333333,1,2,2,4,4,0.5044308431393429,0.25000000000000006,Albania,0.5044308431393429,2.4464895892168252,"[('Albania', 0.5044308431393429), ('Malta', 0.20618556701106677), ('Andorra', 0.14469179492479523), ('Azerbaijan', 0.14469179492479523)]"
2002-01-01,4,5,0.4166666666666667,1,3,3,5,4,0.3123758470583148,0.25,Malta,0.3123758470583148,1.151114184018878,"[('Malta', 0.3123758470583148), ('Jordan', 0.2713682546832312), ('Moldova', 0.21921090843256597), ('Lithuania', 0.19704498982588806)]"
2004-01-01,3,2,0.3333333333333333,1,1,2,2,5,0.47441161634059764,0.3333333333333332,Malta,0.47441161634059764,1.390536574672424,"[('Malta', 0.47441161634059764), ('Estonia', 0.3411716203526378), ('Moldova', 0.1844167633067642)]"
2006-01-01,2,1,0.5,1,1,2,1,2,0.649122638064138,0.4999999999999999,Georgia,0.649122638064138,1.849998627676622,"[('Georgia', 0.649122638064138), ('Malta', 0.3508773619358619)]"
2008-01-01,4,6,0.5,1,3,1,6,1,0.30554155829031626,0.25000000000000006,Armenia,0.30554155829031626,1.0280321227515188,"[('Armenia', 0.30554155829031626), ('Iceland', 0.2972101275128807), ('Belarus', 0.23343473174786417), ('Malta', 0.163813582448939)]"
