snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1957-05-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Indonesia,0.649122638064138,1.849998627676622,"[('Indonesia', 0.649122638064138), ('Thailand', 0.3508773619358619)]"
1957-09-01,7,10,0.23809523809523808,2,5,0,10,1,0.30011887749398525,0.1428571428571428,Vietnam Republic,0.30011887749398525,1.0852933461529366,"[('Vietnam Republic', 0.30011887749398525), ('Indonesia', 0.27653249562233406), ('Malaysia', 0.27497150634796585), ('Singapore', 0.052899441964285726), ('Myanmar', 0.04351339285714287), ('Thailand', 0.03053571428571429), ('Cambodia', 0.021428571428571432)]"
1958-05-01,3,2,0.3333333333333333,1,0,4,1,9,0.47441161634059764,0.3333333333333332,Malaysia,0.47441161634059764,1.390536574672424,"[('Malaysia', 0.47441161634059764), ('Indonesia', 0.3411716203526378), ('Singapore', 0.1844167633067642)]"
1958-09-01,3,2,0.3333333333333333,1,1,1,2,2,0.37012974744707666,0.3333333333333332,Indonesia,0.37012974744707666,1.0,"[('Indonesia', 0.37012974744707666), ('Malaysia', 0.37012974744707666), ('Vietnam Republic', 0.25974050510584634)]"
1959-05-01,4,2,0.16666666666666666,2,3,2,2,2,0.32456160227748454,0.24999999999999994,India,0.32456160227748454,1.0,"[('India', 0.32456160227748454), ('Vietnam Republic', 0.32456160227748454), ('Singapore', 0.17543839772251532), ('South Korea', 0.17543839772251532)]"
1959-09-01,5,4,0.2,2,2,1,4,2,0.33322823469491736,0.2,South Korea,0.33322823469491736,1.4250003336498136,"[('South Korea', 0.33322823469491736), ('Malaysia', 0.23384432047214274), ('Japan', 0.1801232171554451), ('Singapore', 0.12640211383874747), ('Vietnam Republic', 0.12640211383874747)]"
1960-05-01,8,11,0.19642857142857142,2,3,0,11,4,0.2370560372657532,0.125,South Korea,0.2370560372657532,1.1429626390233654,"[('South Korea', 0.2370560372657532), ('Indonesia', 0.2074048872396319), ('Malaysia', 0.15834065772838407), ('Pakistan', 0.11111620356510121), ('Vietnam Republic', 0.08658408880947724), ('Japan', 0.07797635437565162), ('Singapore', 0.06076088550800037), ('Thailand', 0.06076088550800037)]"
1961-05-01,8,12,0.21428571428571427,2,2,2,9,8,0.23709297570503451,0.12499999999999999,Malaysia,0.23709297570503451,1.308136149518634,"[('Malaysia', 0.23709297570503451), ('Indonesia', 0.18124487714239806), ('Vietnam Republic', 0.1743912490595756), ('India', 0.14477346962263427), ('Japan', 0.10553620547825339), ('Hong Kong', 0.056476688540443604), ('Singapore', 0.056476688540443604), ('Thailand', 0.04400784591121693)]"
1962-09-01,8,9,0.16071428571428573,2,3,3,8,11,0.3328311229662088,0.12499999999999999,Indonesia,0.3328311229662088,2.6936810695289,"[('Indonesia', 0.3328311229662088), ('Myanmar', 0.1235599591693377), ('Pakistan', 0.11930236541769469), ('Malaysia', 0.11930236541769469), ('Singapore', 0.08571282923968034), ('Vietnam Republic', 0.08571282923968034), ('Philippines', 0.06678926427485166), ('Japan', 0.06678926427485166)]"
1963-05-01,6,11,0.36666666666666664,2,3,5,11,9,0.3303572186326361,0.16666666666666663,Taiwan,0.3303572186326361,1.7798964565366195,"[('Taiwan', 0.3303572186326361), ('Japan', 0.18560473976978187), ('South Korea', 0.14749973251150883), ('Malaysia', 0.13448830205942178), ('Vietnam Republic', 0.13024921071169496), ('Thailand', 0.07180079631495623)]"
1964-05-01,7,7,0.16666666666666666,3,3,2,6,10,0.24740748284785719,0.14285714285714282,Taiwan,0.24740748284785719,1.5079887183435725,"[('Taiwan', 0.24740748284785719), ('India', 0.16406454493878322), ('Myanmar', 0.14239298714556164), ('Vietnam Republic', 0.14239298714556164), ('Malaysia', 0.12637421755996053), ('Cambodia', 0.0886838901811378), ('Thailand', 0.0886838901811378)]"
