snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1982-01-01,3,2,0.3333333333333333,1,0,0,0,0,0.5744685965480859,0.3333333333333333,Uruguay,0.5744685965480859,2.7000056488803987,"[('Uruguay', 0.5744685965480859), ('China PR', 0.212765701725957), ('India', 0.212765701725957)]"
1984-01-01,4,5,0.4166666666666667,1,2,1,5,2,0.4148035383876386,0.25,Poland,0.4148035383876386,1.3905371289193265,"[('Poland', 0.4148035383876386), ('China PR', 0.2983045398507327), ('Argentina', 0.16124585231998345), ('India', 0.12564606944164525)]"
1985-01-01,6,7,0.23333333333333334,2,4,2,7,5,0.4557420282247297,0.16666666666666674,Russia,0.4557420282247297,1.0773840178757896,"[('Russia', 0.4557420282247297), ('Yugoslavia', 0.42300797177527066), ('Morocco', 0.04625), ('India', 0.025), ('China PR', 0.025), ('Iran', 0.025)]"
1986-01-01,3,2,0.3333333333333333,1,1,4,2,7,0.47441161634059764,0.3333333333333332,China PR,0.47441161634059764,1.390536574672424,"[('China PR', 0.47441161634059764), ('Peru', 0.3411716203526378), ('India', 0.1844167633067642)]"
1987-01-01,2,1,0.5,1,2,3,1,2,0.649122638064138,0.4999999999999999,Nigeria,0.649122638064138,1.849998627676622,"[('Nigeria', 0.649122638064138), ('Syria', 0.3508773619358619)]"
1989-01-01,2,1,0.5,1,2,2,1,1,0.649122638064138,0.4999999999999999,North Korea,0.649122638064138,1.849998627676622,"[('North Korea', 0.649122638064138), ('India', 0.3508773619358619)]"
1991-01-01,4,5,0.4166666666666667,1,3,1,5,1,0.3078271658713714,0.24999999999999994,Hungary,0.3078271658713714,1.0,"[('Hungary', 0.3078271658713714), ('Russia', 0.3078271658713714), ('India', 0.21601892496340513), ('Zambia', 0.16832674329385186)]"
1993-01-01,6,5,0.16666666666666666,2,4,2,5,5,0.23847381404787005,0.16666666666666655,North Korea,0.23847381404787005,1.1952673334790533,"[('North Korea', 0.23847381404787005), ('Finland', 0.19951504351227148), ('Cameroon', 0.1926391803570656), ('Russia', 0.15368040982146708), ('India', 0.10784577613066262), ('Bolivia', 0.10784577613066262)]"
1995-01-01,4,5,0.4166666666666667,1,3,5,5,5,0.3123758470583148,0.25,Iraq,0.3123758470583148,1.151114184018878,"[('Iraq', 0.3123758470583148), ('Thailand', 0.2713682546832312), ('Uzbekistan', 0.21921090843256597), ('India', 0.19704498982588806)]"
1997-01-01,3,3,0.5,1,1,2,3,5,0.5208692975273159,0.3333333333333333,Iraq,0.5208692975273159,1.849999099124769,"[('Iraq', 0.5208692975273159), ('China PR', 0.28155110874039785), ('India', 0.19757959373228617)]"
2007-05-01,5,10,0.5,1,4,2,10,3,0.4465000000000001,0.2000000000000001,India,0.4465000000000001,1.0,"[('India', 0.4465000000000001), ('Syria', 0.4465000000000001), ('Kyrgyzstan', 0.04700000000000001), ('Bangladesh', 0.030000000000000006), ('Cambodia', 0.030000000000000006)]"
2009-05-01,5,9,0.45,1,2,2,6,7,0.3444104170175927,0.2,Syria,0.3444104170175927,1.8025972440454094,"[('Syria', 0.3444104170175927), ('India', 0.19106343258611827), ('Lebanon', 0.1697519501410491), ('Sri Lanka', 0.16069459474469264), ('Kyrgyzstan', 0.13407960551054748)]"
2012-05-01,5,8,0.4,1,3,3,8,9,0.38538453470485756,0.2000000000000001,Cameroon,0.38538453470485756,1.7371608938710992,"[('Cameroon', 0.38538453470485756), ('India', 0.2218473464746633), ('Maldives', 0.17467403495936637), ('Syria', 0.12257841822679408), ('Nepal', 0.09551566563431896)]"
