snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1924-05-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Sweden,0.649122638064138,1.849998627676622,"[('Sweden', 0.649122638064138), ('Denmark', 0.3508773619358619)]"
1924-09-01,3,2,0.3333333333333333,1,1,0,2,1,0.37012974744707666,0.3333333333333332,Denmark,0.37012974744707666,1.0,"[('Denmark', 0.37012974744707666), ('Sweden', 0.37012974744707666), ('Norway', 0.25974050510584634)]"
1925-05-01,3,3,0.5,1,0,0,1,0,0.5208692975273159,0.3333333333333333,Denmark,0.5208692975273159,1.849999099124769,"[('Denmark', 0.5208692975273159), ('Sweden', 0.28155110874039785), ('Norway', 0.19757959373228617)]"
1926-05-01,2,1,0.5,1,0,1,0,2,0.649122638064138,0.4999999999999999,Sweden,0.649122638064138,1.849998627676622,"[('Sweden', 0.649122638064138), ('Norway', 0.3508773619358619)]"
1926-09-01,2,1,0.5,1,1,1,1,1,0.649122638064138,0.4999999999999999,Denmark,0.649122638064138,1.849998627676622,"[('Denmark', 0.649122638064138), ('Sweden', 0.3508773619358619)]"
1927-05-01,2,1,0.5,1,1,1,1,1,0.649122638064138,0.4999999999999999,Sweden,0.649122638064138,1.849998627676622,"[('Sweden', 0.649122638064138), ('Norway', 0.3508773619358619)]"
1927-09-01,2,1,0.5,1,1,1,1,1,0.649122638064138,0.4999999999999999,Denmark,0.649122638064138,1.849998627676622,"[('Denmark', 0.649122638064138), ('Norway', 0.3508773619358619)]"
1928-05-01,3,2,0.3333333333333333,1,1,0,1,0,0.37012974744707666,0.3333333333333332,Denmark,0.37012974744707666,1.0,"[('Denmark', 0.37012974744707666), ('Sweden', 0.37012974744707666), ('Norway', 0.25974050510584634)]"
1928-09-01,2,1,0.5,1,0,1,1,2,0.649122638064138,0.4999999999999999,Denmark,0.649122638064138,1.849998627676622,"[('Denmark', 0.649122638064138), ('Sweden', 0.3508773619358619)]"
1929-05-01,4,4,0.3333333333333333,1,2,0,4,1,0.32456160227748454,0.24999999999999994,Norway,0.32456160227748454,1.0,"[('Norway', 0.32456160227748454), ('Sweden', 0.32456160227748454), ('Denmark', 0.17543839772251532), ('Finland', 0.17543839772251532)]"
