snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1973-01-01,5,10,0.5,1,0,0,0,0,0.3989299252929136,0.2000000000000001,New Zealand,0.3989299252929136,1.8500045777489043,"[('New Zealand', 0.3989299252929136), ('Tahiti', 0.2156372638700893), ('New Caledonia', 0.16901065016645325), ('Vanuatu', 0.1186041308892935), ('Fiji', 0.09781802978125076)]"
1980-01-01,8,14,0.25,2,3,0,11,7,0.350320243613168,0.125,Australia,0.350320243613168,2.401758831007162,"[('Australia', 0.350320243613168), ('New Caledonia', 0.14585987530907235), ('Tahiti', 0.14585987530907235), ('Fiji', 0.10235763418371484), ('Papua New Guinea', 0.07182985051038193), ('New Zealand', 0.07182985051038193), ('Vanuatu', 0.05597133528210431), ('Solomon Islands', 0.05597133528210431)]"
1995-09-01,2,1,0.5,1,0,6,0,13,0.649122638064138,0.4999999999999999,Tahiti,0.649122638064138,1.849998627676622,"[('Tahiti', 0.649122638064138), ('Solomon Islands', 0.3508773619358619)]"
1996-05-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Tahiti,0.649122638064138,1.849998627676622,"[('Tahiti', 0.649122638064138), ('Solomon Islands', 0.3508773619358619)]"
1996-09-01,2,1,0.5,1,1,1,1,1,0.649122638064138,0.4999999999999999,Australia,0.649122638064138,1.849998627676622,"[('Australia', 0.649122638064138), ('Tahiti', 0.3508773619358619)]"
1998-09-01,6,10,0.3333333333333333,2,4,0,9,0,0.3801846999949971,0.16666666666666666,New Zealand,0.3801846999949971,1.8499970172220903,"[('New Zealand', 0.3801846999949971), ('Australia', 0.20550557457972177), ('Fiji', 0.14421478036299912), ('Tahiti', 0.1123753334853447), ('Cook Islands', 0.07885980578846857), ('Vanuatu', 0.07885980578846857)]"
2000-05-01,6,10,0.3333333333333333,2,1,1,7,7,0.38018469999499716,0.16666666666666663,Australia,0.38018469999499716,1.8499970172220905,"[('Australia', 0.38018469999499716), ('New Zealand', 0.20550557457972177), ('Solomon Islands', 0.14421478036299912), ('Vanuatu', 0.1123753334853447), ('Cook Islands', 0.07885980578846857), ('Tahiti', 0.07885980578846857)]"
2002-05-01,8,15,0.26785714285714285,2,3,1,11,6,0.34470878698662333,0.12499999999999997,New Zealand,0.34470878698662333,1.8563325790821266,"[('New Zealand', 0.34470878698662333), ('Australia', 0.1856934424741209), ('Tahiti', 0.13113748326671337), ('Vanuatu', 0.10126815385921835), ('Fiji', 0.0710654136239161), ('New Caledonia', 0.05537557326313592), ('Papua New Guinea', 0.05537557326313592), ('Solomon Islands', 0.05537557326313592)]"
2004-05-01,6,13,0.43333333333333335,1,0,2,7,9,0.25280219144193483,0.16666666666666663,Australia,0.25280219144193483,1.0431827105646438,"[('Australia', 0.25280219144193483), ('New Zealand', 0.24233740540532972), ('Vanuatu', 0.16380737306653517), ('Solomon Islands', 0.14980837398976407), ('Fiji', 0.09562232804821802), ('Tahiti', 0.09562232804821802)]"
2004-09-01,2,1,0.5,1,0,4,1,13,0.649122638064138,0.4999999999999999,Australia,0.649122638064138,1.849998627676622,"[('Australia', 0.649122638064138), ('Solomon Islands', 0.3508773619358619)]"
2007-09-01,4,3,0.25,2,4,2,3,1,0.3991232045549693,0.25,New Zealand,0.3991232045549693,1.5964928182198772,"[('New Zealand', 0.3991232045549693), ('New Caledonia', 0.25), ('Fiji', 0.17543839772251535), ('Vanuatu', 0.17543839772251535)]"
2008-05-01,2,1,0.5,1,0,2,1,3,0.649122638064138,0.4999999999999999,New Caledonia,0.649122638064138,1.849998627676622,"[('New Caledonia', 0.649122638064138), ('Vanuatu', 0.3508773619358619)]"
2008-09-01,4,4,0.3333333333333333,2,2,0,4,1,0.4625,0.25,Fiji,0.4625,1.0740203193033382,"[('Fiji', 0.4625), ('Vanuatu', 0.43062500000000004), ('New Zealand', 0.069375), ('New Caledonia', 0.037500000000000006)]"
2012-05-01,8,12,0.21428571428571427,2,4,0,12,4,0.32055078384380603,0.125,Tahiti,0.32055078384380603,1.4191432722897541,"[('Tahiti', 0.32055078384380603), ('New Caledonia', 0.22587626640867975), ('New Zealand', 0.15212262680489747), ('Solomon Islands', 0.07525265206912027), ('Vanuatu', 0.0677713583288218), ('Samoa', 0.052808770848224856), ('Fiji', 0.052808770848224856), ('Papua New Guinea', 0.052808770848224856)]"
2016-05-01,8,11,0.19642857142857142,3,0,0,7,8,0.2775292862982246,0.12499999999999997,New Zealand,0.2775292862982246,2.207464349215302,"[('New Zealand', 0.2775292862982246), ('Papua New Guinea', 0.1257231114046663), ('Solomon Islands', 0.12069066314391458), ('Vanuatu', 0.11616508206110017), ('Fiji', 0.10551559563166703), ('New Caledonia', 0.09152792574447549), ('Tahiti', 0.09152792574447549), ('Samoa', 0.07132040997147622)]"
2024-05-01,7,11,0.2619047619047619,2,0,1,6,6,0.28890411180970704,0.14285714285714285,New Zealand,0.28890411180970704,1.4348018356240324,"[('New Zealand', 0.28890411180970704), ('Fiji', 0.20135471299007307), ('Vanuatu', 0.16610276243231578), ('Tahiti', 0.15809724289195243), ('Papua New Guinea', 0.07252108267913498), ('Samoa', 0.05651004359840828), ('Solomon Islands', 0.05651004359840828)]"
