snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1922-05-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,New Zealand,0.649122638064138,1.849998627676622,"[('New Zealand', 0.649122638064138), ('Australia', 0.3508773619358619)]"
1923-05-01,2,2,1.0,1,0,0,1,0,0.5,0.5,Australia,0.5,1.0,"[('Australia', 0.5), ('New Zealand', 0.5)]"
1933-05-01,2,1,0.5,1,0,0,0,1,0.649122638064138,0.4999999999999999,Australia,0.649122638064138,1.849998627676622,"[('Australia', 0.649122638064138), ('New Zealand', 0.3508773619358619)]"
1936-05-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Australia,0.649122638064138,1.849998627676622,"[('Australia', 0.649122638064138), ('New Zealand', 0.3508773619358619)]"
1948-05-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Australia,0.649122638064138,1.849998627676622,"[('Australia', 0.649122638064138), ('New Zealand', 0.3508773619358619)]"
1948-09-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Australia,0.649122638064138,1.849998627676622,"[('Australia', 0.649122638064138), ('New Zealand', 0.3508773619358619)]"
1954-05-01,2,2,1.0,1,0,0,1,0,0.5,0.5,Australia,0.5,1.0,"[('Australia', 0.5), ('New Zealand', 0.5)]"
1954-09-01,2,1,0.5,1,0,0,0,1,0.649122638064138,0.4999999999999999,Australia,0.649122638064138,1.849998627676622,"[('Australia', 0.649122638064138), ('New Zealand', 0.3508773619358619)]"
2023-09-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Australia,0.649122638064138,1.849998627676622,"[('Australia', 0.649122638064138), ('New Zealand', 0.3508773619358619)]"
2025-09-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,Australia,0.649122638064138,1.849998627676622,"[('Australia', 0.649122638064138), ('New Zealand', 0.3508773619358619)]"
