snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1963-05-01,4,2,0.16666666666666666,2,0,0,0,0,0.32456160227748454,0.24999999999999994,Fiji,0.32456160227748454,1.0,"[('Fiji', 0.32456160227748454), ('Solomon Islands', 0.32456160227748454), ('Papua New Guinea', 0.17543839772251532), ('Vanuatu', 0.17543839772251532)]"
1963-09-01,4,4,0.3333333333333333,1,2,2,4,2,0.47060860306562025,0.25000000000000006,New Caledonia,0.47060860306562025,2.401756947926107,"[('New Caledonia', 0.47060860306562025), ('Fiji', 0.19594347524298245), ('Tahiti', 0.19594347524298245), ('Solomon Islands', 0.137504446448415)]"
1966-09-01,6,9,0.3,2,3,1,9,4,0.3870084457874254,0.16666666666666663,Tahiti,0.3870084457874254,1.7009007487111063,"[('Tahiti', 0.3870084457874254), ('New Caledonia', 0.22753146888828713), ('Papua New Guinea', 0.11375202271644452), ('Vanuatu', 0.11205590664942014), ('Solomon Islands', 0.07982607797921132), ('Wallis Islands and Futuna', 0.07982607797921132)]"
1969-05-01,6,13,0.43333333333333335,1,1,1,10,6,0.3653741892393805,0.16666666666666663,New Caledonia,0.3653741892393805,1.9023759268310654,"[('New Caledonia', 0.3653741892393805), ('Tahiti', 0.1920620336318135), ('Papua New Guinea', 0.15328589308910667), ('Fiji', 0.11944355871884241), ('Vanuatu', 0.09307299420210235), ('Solomon Islands', 0.07676133111875438)]"
1971-09-01,6,9,0.3,1,1,1,5,9,0.3574392616285964,0.16666666666666663,New Caledonia,0.3574392616285964,1.5244890401984443,"[('New Caledonia', 0.3574392616285964), ('Vanuatu', 0.23446495986751612), ('Tahiti', 0.13832221294501318), ('Fiji', 0.09706811290981826), ('Papua New Guinea', 0.09706811290981826), ('Cook Islands', 0.07563733973923753)]"
1975-05-01,7,12,0.2857142857142857,2,2,1,9,6,0.43428571428571416,0.14285714285714282,New Caledonia,0.43428571428571416,1.030803301791826,"[('New Caledonia', 0.43428571428571416), ('Tahiti', 0.42130803571428554), ('Solomon Islands', 0.04351339285714287), ('Fiji', 0.03053571428571429), ('Vanuatu', 0.027500000000000004), ('Guam', 0.021428571428571432), ('Papua New Guinea', 0.021428571428571432)]"
1979-05-01,12,9,0.06818181818181818,4,5,0,8,11,0.1474497766777178,0.08333333333333331,Solomon Islands,0.1474497766777178,1.0,"[('Solomon Islands', 0.1474497766777178), ('Tahiti', 0.1474497766777178), ('New Caledonia', 0.1439688715953307), ('Fiji', 0.07782101167315172), ('Vanuatu', 0.07782101167315172), ('Papua New Guinea', 0.07782101167315172), ('Kiribati', 0.05461142333829637), ('Guam', 0.05461142333829637), ('Samoa', 0.05461142333829637), ('Wallis Islands and Futuna', 0.05461142333829637)]"
1979-09-01,11,15,0.13636363636363635,5,0,1,15,9,0.26070235998847807,0.09090909090909091,Tahiti,0.26070235998847807,1.8743793346311532,"[('Tahiti', 0.26070235998847807), ('Fiji', 0.13908729955122984), ('Solomon Islands', 0.08717714751509513), ('Guam', 0.08661618013921979), ('Vanuatu', 0.0852956011978004), ('New Caledonia', 0.06941468287304872), ('Tuvalu', 0.06809410393162933), ('Tonga', 0.0649869110016254), ('Wallis Islands and Futuna', 0.05767623611140516), ('Samoa', 0.0404747388452341)]"
1983-05-01,10,10,0.1111111111111111,3,2,3,8,13,0.24347824772681287,0.10000000000000002,Wallis Islands and Futuna,0.24347824772681287,1.0386965126151027,"[('Wallis Islands and Futuna', 0.24347824772681287), ('American Samoa', 0.2344074951342748), ('Samoa', 0.12707677924899916), ('Tonga', 0.12707677924899916), ('Fiji', 0.07411897926297083), ('Tahiti', 0.07236894780817328), ('Papua New Guinea', 0.0391183501665482), ('Solomon Islands', 0.027451473801073996), ('Vanuatu', 0.027451473801073996), ('Niue', 0.027451473801073996)]"
1983-09-01,8,9,0.16071428571428573,2,1,3,8,9,0.3094538598747447,0.12499999999999999,Tahiti,0.3094538598747447,1.319718225328377,"[('Tahiti', 0.3094538598747447), ('Fiji', 0.2344847967813321), ('New Caledonia', 0.1979129607517452), ('Papua New Guinea', 0.051629676518435565), ('Solomon Islands', 0.051629676518435565), ('Vanuatu', 0.051629676518435565), ('Wallis Islands and Futuna', 0.051629676518435565), ('Samoa', 0.051629676518435565)]"
