snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1977-09-01,7,12,0.2857142857142857,2,0,0,0,0,0.29337695454980395,0.14285714285714277,Malaysia,0.29337695454980395,1.0596210504071832,"[('Malaysia', 0.29337695454980395), ('Indonesia', 0.27686969264820405), ('Myanmar', 0.21119185798373974), ('Thailand', 0.1482043519611088), ('Philippines', 0.027500000000000004), ('Brunei', 0.021428571428571432), ('Singapore', 0.021428571428571432)]"
1979-09-01,5,8,0.4,1,0,2,6,10,0.39760043809620343,0.20000000000000004,Malaysia,0.39760043809620343,1.97719171485746,"[('Malaysia', 0.39760043809620343), ('Thailand', 0.20109351819981064), ('Indonesia', 0.1784711759913164), ('Singapore', 0.12524290550537207), ('Myanmar', 0.09759196220729768)]"
1981-09-01,6,6,0.2,2,1,0,4,6,0.3782691484004426,0.16666666666666663,Thailand,0.3782691484004426,1.8258139064154613,"[('Thailand', 0.3782691484004426), ('Indonesia', 0.20717836964177883), ('Malaysia', 0.1453883258261035), ('Singapore', 0.1119881615567764), ('Philippines', 0.07858799728744928), ('Myanmar', 0.07858799728744928)]"
1983-05-01,7,10,0.23809523809523808,2,1,0,8,4,0.27656067979311993,0.14285714285714282,Thailand,0.27656067979311993,1.078182725764695,"[('Thailand', 0.27656067979311993), ('Myanmar', 0.256506316772021), ('Brunei', 0.1304426902896822), ('Indonesia', 0.1304426902896822), ('Singapore', 0.12623153710502255), ('Malaysia', 0.05838751432190031), ('Philippines', 0.021428571428571432)]"
1985-09-01,6,7,0.23333333333333334,2,0,1,4,7,0.33981932510800195,0.16666666666666666,Thailand,0.33981932510800195,1.6507751282547323,"[('Thailand', 0.33981932510800195), ('Singapore', 0.2058544009366515), ('Malaysia', 0.1648442531820671), ('Indonesia', 0.09649400692442645), ('Philippines', 0.09649400692442645), ('Brunei', 0.09649400692442645)]"
1987-09-01,4,4,0.3333333333333333,1,0,2,4,7,0.4161492488779942,0.25,Indonesia,0.4161492488779942,1.4944311768524725,"[('Indonesia', 0.4161492488779942), ('Malaysia', 0.2784666536163115), ('Thailand', 0.17945268439422316), ('Brunei', 0.12593141311147116)]"
1989-05-01,7,11,0.2619047619047619,2,3,0,9,2,0.39429939865209507,0.14285714285714282,Malaysia,0.39429939865209507,2.583355563781924,"[('Malaysia', 0.39429939865209507), ('Singapore', 0.15263071184628466), ('Indonesia', 0.1267464307213346), ('Thailand', 0.0987633058058273), ('Brunei', 0.08894476802825248), ('Philippines', 0.06930769247310284), ('Myanmar', 0.06930769247310284)]"
1991-09-01,7,9,0.21428571428571427,2,1,1,6,8,0.22042773628701662,0.14285714285714285,Indonesia,0.22042773628701662,1.322154122554343,"[('Indonesia', 0.22042773628701662), ('Singapore', 0.16671863932259276), ('Thailand', 0.16671863932259276), ('Philippines', 0.14239298714556164), ('Malaysia', 0.12637421755996053), ('Vietnam', 0.08868389018113783), ('Myanmar', 0.08868389018113783)]"
1993-05-01,9,17,0.2361111111111111,2,2,0,13,5,0.27749921972644764,0.11111111111111109,Thailand,0.27749921972644764,1.8723756441049522,"[('Thailand', 0.27749921972644764), ('Singapore', 0.14820702277352044), ('Myanmar', 0.1261058140866827), ('Indonesia', 0.10400460539984491), ('Malaysia', 0.08849522383549754), ('Vietnam', 0.07298584227115018), ('Laos', 0.06895748061486193), ('Philippines', 0.05687239564599721), ('Brunei', 0.05687239564599721)]"
1995-09-01,10,19,0.2111111111111111,2,1,0,14,12,0.29919589153049986,0.1,Thailand,0.29919589153049986,2.2253062973032036,"[('Thailand', 0.29919589153049986), ('Vietnam', 0.1344515547783639), ('Singapore', 0.12493969999893662), ('Myanmar', 0.12318926593778463), ('Indonesia', 0.06985881978181524), ('Laos', 0.06658917421911663), ('Philippines', 0.051887755365169014), ('Malaysia', 0.04902381895325869), ('Cambodia', 0.04043200971752771), ('Brunei', 0.04043200971752771)]"
1997-09-01,10,20,0.2222222222222222,2,0,0,15,14,0.18094288396533073,0.10000000000000002,Indonesia,0.18094288396533073,1.0865795898520412,"[('Indonesia', 0.18094288396533073), ('Thailand', 0.16652520041350086), ('Vietnam', 0.1338221944561342), ('Malaysia', 0.11087306990874493), ('Laos', 0.10111918849876753), ('Singapore', 0.08670150494693764), ('Cambodia', 0.07694762353696023), ('Myanmar', 0.05399849898957099), ('Brunei', 0.044534917642026536), ('Philippines', 0.044534917642026536)]"
1999-05-01,10,19,0.2111111111111111,2,0,0,11,12,0.32936865277233734,0.10000000000000002,Thailand,0.32936865277233734,1.849993030887342,"[('Thailand', 0.32936865277233734), ('Vietnam', 0.17803778029064085), ('Indonesia', 0.09598950604859549), ('Singapore', 0.09598950604859549), ('Malaysia', 0.06736076904003363), ('Laos', 0.05213281912821441), ('Myanmar', 0.05213281912821441), ('Brunei', 0.042996049181122875), ('Cambodia', 0.042996049181122875), ('Philippines', 0.042996049181122875)]"
