snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1958-09-01,6,3,0.1,3,0,0,0,0,0.21637440151832305,0.16666666666666663,France,0.21637440151832305,1.0,"[('France', 0.21637440151832305), ('Romania', 0.21637440151832305), ('Russia', 0.21637440151832305), ('Greece', 0.11695893181501019), ('Turkey', 0.11695893181501019), ('Hungary', 0.11695893181501019)]"
1959-01-01,4,2,0.16666666666666666,2,2,4,2,3,0.32456160227748454,0.24999999999999994,Republic of Ireland,0.32456160227748454,1.0,"[('Republic of Ireland', 0.32456160227748454), ('Turkey', 0.32456160227748454), ('Czechoslovakia', 0.17543839772251532), ('Romania', 0.17543839772251532)]"
1959-05-01,10,5,0.05555555555555555,5,8,2,5,2,0.12982437432707328,0.1,Austria,0.12982437432707328,1.0,"[('Austria', 0.12982437432707328), ('Czechoslovakia', 0.12982437432707328), ('Portugal', 0.12982437432707328), ('Spain', 0.12982437432707328), ('Yugoslavia', 0.12982437432707328), ('Norway', 0.07017562567292675), ('Republic of Ireland', 0.07017562567292675), ('German DR', 0.07017562567292675), ('Poland', 0.07017562567292675), ('Bulgaria', 0.07017562567292675)]"
1959-09-01,9,5,0.06944444444444445,4,4,5,3,3,0.1841110014179204,0.1111111111111111,France,0.1841110014179204,1.3905348893290665,"[('France', 0.1841110014179204), ('Austria', 0.13240300752666048), ('Czechoslovakia', 0.13240300752666048), ('Russia', 0.13240300752666048), ('Spain', 0.13240300752666048), ('Norway', 0.07156924211885944), ('Denmark', 0.07156924211885944), ('Hungary', 0.07156924211885944), ('Poland', 0.07156924211885944)]"
1960-01-01,2,1,0.5,1,0,7,0,4,0.649122638064138,0.4999999999999999,France,0.649122638064138,1.849998627676622,"[('France', 0.649122638064138), ('Austria', 0.3508773619358619)]"
1960-05-01,4,3,0.25,2,4,2,3,1,0.41194547941316084,0.25,Portugal,0.41194547941316084,1.0,"[('Portugal', 0.41194547941316084), ('Yugoslavia', 0.41194547941316084), ('Czechoslovakia', 0.11431653077419644), ('Romania', 0.0617925103994819)]"
1962-05-01,6,3,0.1,3,6,4,3,3,0.21637440151832305,0.16666666666666663,Denmark,0.21637440151832305,1.0,"[('Denmark', 0.21637440151832305), ('Republic of Ireland', 0.21637440151832305), ('Sweden', 0.21637440151832305), ('Malta', 0.11695893181501019), ('Iceland', 0.11695893181501019), ('Norway', 0.11695893181501019)]"
1962-09-01,18,11,0.03594771241830065,9,16,4,10,2,0.1430053857439066,0.05555555555555555,Bulgaria,0.1430053857439066,1.0,"[('Bulgaria', 0.1430053857439066), ('Portugal', 0.1430053857439066), ('Romania', 0.1430053857439066), ('Spain', 0.1430053857439066), ('Denmark', 0.03968732892638832), ('German DR', 0.03968732892638832), ('Hungary', 0.03968732892638832), ('Italy', 0.03968732892638832), ('Netherlands', 0.03968732892638832), ('Northern Ireland', 0.03968732892638832)]"
1963-01-01,8,4,0.07142857142857142,4,2,12,1,8,0.16228046790884154,0.12499999999999997,Bulgaria,0.16228046790884154,1.0,"[('Bulgaria', 0.16228046790884154), ('France', 0.16228046790884154), ('Italy', 0.16228046790884154), ('Yugoslavia', 0.16228046790884154), ('Portugal', 0.0877195320911584), ('England', 0.0877195320911584), ('Turkey', 0.0877195320911584), ('Belgium', 0.0877195320911584)]"
1963-05-01,2,1,0.5,1,2,8,1,4,0.649122638064138,0.4999999999999999,Denmark,0.649122638064138,1.849998627676622,"[('Denmark', 0.649122638064138), ('Albania', 0.3508773619358619)]"
1963-09-01,16,10,0.041666666666666664,7,14,0,10,1,0.1841876922593905,0.0625,Bulgaria,0.1841876922593905,1.0,"[('Bulgaria', 0.1841876922593905), ('France', 0.1841876922593905), ('Albania', 0.0880510229388621), ('Denmark', 0.07108149431825106), ('Luxembourg', 0.051117643544635764), ('Hungary', 0.051117643544635764), ('Republic of Ireland', 0.051117643544635764), ('Russia', 0.051117643544635764), ('Spain', 0.051117643544635764), ('Sweden', 0.051117643544635764)]"
1964-01-01,4,2,0.16666666666666666,2,0,12,2,10,0.32456160227748454,0.24999999999999994,Hungary,0.32456160227748454,1.0,"[('Hungary', 0.32456160227748454), ('Spain', 0.32456160227748454), ('France', 0.17543839772251532), ('Republic of Ireland', 0.17543839772251532)]"
1964-05-01,4,2,0.16666666666666666,2,2,2,1,1,0.32456160227748454,0.24999999999999994,Hungary,0.32456160227748454,1.0,"[('Hungary', 0.32456160227748454), ('Russia', 0.32456160227748454), ('France', 0.17543839772251532), ('Sweden', 0.17543839772251532)]"
