snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1960-05-01,4,4,0.3333333333333333,1,0,0,0,0,0.47060860306562025,0.25000000000000006,Russia,0.47060860306562025,2.401756947926107,"[('Russia', 0.47060860306562025), ('Czechoslovakia', 0.19594347524298245), ('Yugoslavia', 0.19594347524298245), ('France', 0.137504446448415)]"
1964-05-01,4,4,0.3333333333333333,1,3,3,4,4,0.47060860306562025,0.25000000000000006,Spain,0.47060860306562025,2.401756947926107,"[('Spain', 0.47060860306562025), ('Hungary', 0.19594347524298245), ('Russia', 0.19594347524298245), ('Denmark', 0.137504446448415)]"
1968-05-01,4,3,0.25,2,3,3,3,4,0.3701456615713026,0.24999999999999997,Italy,0.3701456615713026,1.2387287729632226,"[('Italy', 0.3701456615713026), ('Yugoslavia', 0.2988109016680539), ('England', 0.21488785520742984), ('Russia', 0.11615558155321364)]"
1972-05-01,4,4,0.3333333333333333,1,3,3,4,3,0.47060860306562025,0.25000000000000006,Germany,0.47060860306562025,2.401756947926107,"[('Germany', 0.47060860306562025), ('Belgium', 0.19594347524298245), ('Russia', 0.19594347524298245), ('Hungary', 0.137504446448415)]"
1976-05-01,4,3,0.25,2,3,3,3,4,0.3648171434859837,0.25,Czechoslovakia,0.3648171434859837,1.5517520779729943,"[('Czechoslovakia', 0.3648171434859837), ('Netherlands', 0.23510014819025282), ('Germany', 0.23510014819025282), ('Yugoslavia', 0.16498256013351076)]"
1980-05-01,8,8,0.14285714285714285,2,5,1,8,3,0.31858097052701323,0.125,Germany,0.31858097052701323,2.0955388085597035,"[('Germany', 0.31858097052701323), ('Italy', 0.15202818923023376), ('Belgium', 0.09797181076976623), ('Czechoslovakia', 0.09797181076976623), ('England', 0.09797181076976623), ('Netherlands', 0.09797181076976623), ('Spain', 0.06875179858184405), ('Greece', 0.06875179858184405)]"
1984-05-01,8,11,0.19642857142857142,2,5,5,11,8,0.3888915599493173,0.12499999999999999,France,0.3888915599493173,2.927754599592245,"[('France', 0.3888915599493173), ('Spain', 0.13282928835752802), ('Denmark', 0.10985250111518866), ('Portugal', 0.08559922264310907), ('Germany', 0.08559922264310907), ('Belgium', 0.07708929940916914), ('Yugoslavia', 0.06006945294128928), ('Romania', 0.06006945294128928)]"
1988-05-01,8,13,0.23214285714285715,2,5,5,13,11,0.4284246983300608,0.12499999999999994,Netherlands,0.4284246983300608,1.0264812133580778,"[('Netherlands', 0.4284246983300608), ('Russia', 0.4173721766699388), ('Germany', 0.0342890625), ('Italy', 0.0342890625), ('Spain', 0.024062500000000004), ('Republic of Ireland', 0.024062500000000004), ('Denmark', 0.018750000000000003), ('England', 0.018750000000000003)]"
1992-05-01,8,9,0.16071428571428573,2,3,3,8,12,0.2519699493437254,0.125,Germany,0.2519699493437254,1.1542792462639946,"[('Germany', 0.2519699493437254), ('Sweden', 0.21829202089465405), ('Denmark', 0.17587952144824825), ('Netherlands', 0.173508809832714), ('Scotland', 0.06879313487102218), ('France', 0.037185521203212064), ('Russia', 0.037185521203212064), ('England', 0.037185521203212064)]"
1996-05-01,16,19,0.07916666666666666,4,9,1,19,9,0.18246404822126708,0.062499999999999986,Germany,0.18246404822126708,1.435132041367099,"[('Germany', 0.18246404822126708), ('Czech Republic', 0.12714094798374986), ('England', 0.10460702611959544), ('Croatia', 0.07256527051102146), ('France', 0.07256527051102146), ('Portugal', 0.07006434564593925), ('Italy', 0.04355433696940517), ('Netherlands', 0.04355433696940517), ('Scotland', 0.04355433696940517), ('Bulgaria', 0.039224318390295415)]"
