snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
2018-09-01,55,79,0.0265993265993266,16,0,0,0,0,0.05042902638493721,0.01818181818181818,Norway,0.05042902638493721,1.0167340817634454,"[('Norway', 0.05042902638493721), ('Bulgaria', 0.04959903212595375), ('Armenia', 0.04122345730373439), ('Belgium', 0.038971970980909834), ('Switzerland', 0.038971970980909834), ('France', 0.038971970980909834), ('Netherlands', 0.038971970980909834), ('North Macedonia', 0.03550539684380137), ('Spain', 0.03550539684380137), ('Israel', 0.03420501497901707)]"
2019-05-01,4,3,0.25,2,0,51,3,79,0.47060860306562025,0.25000000000000006,Portugal,0.47060860306562025,1.850003815498855,"[('Portugal', 0.47060860306562025), ('Netherlands', 0.2543825040375499), ('England', 0.137504446448415), ('Switzerland', 0.137504446448415)]"
2020-09-01,55,86,0.028956228956228958,14,51,0,86,3,0.04899527393650088,0.01818181818181818,Armenia,0.04899527393650088,1.0490671107958793,"[('Armenia', 0.04899527393650088), ('North Macedonia', 0.04670366026376559), ('Romania', 0.04292924232006748), ('Luxembourg', 0.040921053298213064), ('Belgium', 0.040032341059802704), ('England', 0.03906427586867092), ('Ukraine', 0.038183673481668595), ('Russia', 0.03674188455049189), ('Spain', 0.03428518994070627), ('Montenegro', 0.03396875505123194)]"
2021-09-01,4,4,0.3333333333333333,1,0,51,4,86,0.4161492488779942,0.25,France,0.4161492488779942,1.4944311768524725,"[('France', 0.4161492488779942), ('Spain', 0.2784666536163115), ('Italy', 0.17945268439422316), ('Belgium', 0.12593141311147116)]"
2022-01-01,4,3,0.25,2,4,4,3,4,0.41194547941316084,0.25,Kazakhstan,0.41194547941316084,1.0,"[('Kazakhstan', 0.41194547941316084), ('Moldova', 0.41194547941316084), ('Cyprus', 0.11431653077419644), ('Estonia', 0.0617925103994819)]"
2022-05-01,53,63,0.022859216255442672,14,49,0,63,3,0.0685117999973078,0.01886792452830188,Croatia,0.0685117999973078,1.0162052731217897,"[('Croatia', 0.0685117999973078), ('Denmark', 0.0674192525953335), ('Austria', 0.06611819261444879), ('Georgia', 0.0272887560429199), ('Greece', 0.026954080513259822), ('Latvia', 0.026847403113541862), ('Turkey', 0.026847403113541862), ('Switzerland', 0.02651498627066499), ('Norway', 0.02647716845064246), ('Netherlands', 0.02633493191768518)]"
2022-09-01,53,44,0.015965166908563134,15,0,0,25,44,0.06167261981726169,0.01886792452830188,Cyprus,0.06167261981726169,1.0,"[('Cyprus', 0.06167261981726169), ('Greece', 0.06167261981726169), ('Northern Ireland', 0.06167261981726169), ('Kosovo', 0.06167261981726169), ('Azerbaijan', 0.03168034815116672), ('Italy', 0.03168034815116672), ('Netherlands', 0.031680348151166715), ('Scotland', 0.031680348151166715), ('Croatia', 0.03058889200206292), ('Switzerland', 0.03058889200206292)]"
2023-05-01,4,3,0.25,2,0,49,3,44,0.3648171434859837,0.25,Spain,0.3648171434859837,1.5517520779729943,"[('Spain', 0.3648171434859837), ('Croatia', 0.23510014819025282), ('Italy', 0.23510014819025282), ('Netherlands', 0.16498256013351076)]"
2024-01-01,2,1,0.5,1,2,4,1,3,0.649122638064138,0.4999999999999999,Lithuania,0.649122638064138,1.849998627676622,"[('Lithuania', 0.649122638064138), ('Gibraltar', 0.3508773619358619)]"
2024-09-01,54,86,0.03004891684136967,14,52,0,86,1,0.05770959124993873,0.01851851851851851,Northern Ireland,0.05770959124993873,1.0049659532832498,"[('Northern Ireland', 0.05770959124993873), ('Norway', 0.057424424241836254), ('England', 0.05634198199614864), ('Greece', 0.05634198199614864), ('France', 0.05574964182464999), ('Italy', 0.05574964182464999), ('Austria', 0.05499766305704747), ('Bulgaria', 0.054974372742358536), ('Moldova', 0.044259302342724835), ('Malta', 0.043546384822468635)]"
2025-01-01,22,15,0.032467532467532464,11,0,32,15,86,0.09096895299149356,0.045454545454545456,Belgium,0.09096895299149356,1.0,"[('Belgium', 0.09096895299149356), ('Ukraine', 0.09096895299149356), ('Croatia', 0.09096895299149356), ('France', 0.09096895299149356), ('Denmark', 0.09096895299149356), ('Portugal', 0.09096895299149356), ('Greece', 0.09096895299149356), ('Scotland', 0.09096895299149356), ('Georgia', 0.025246217733198382), ('Germany', 0.025246217733198382)]"
2025-05-01,4,3,0.25,2,1,19,3,15,0.3648171434859837,0.25,Spain,0.3648171434859837,1.5517520779729943,"[('Spain', 0.3648171434859837), ('France', 0.23510014819025282), ('Portugal', 0.23510014819025282), ('Germany', 0.16498256013351076)]"
