snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1991-01-01,2,1,0.5,1,0,0,0,0,0.649122638064138,0.4999999999999999,El Salvador,0.649122638064138,1.849998627676622,"[('El Salvador', 0.649122638064138), ('Nicaragua', 0.3508773619358619)]"
1991-05-01,5,6,0.3,2,4,1,6,1,0.3193424952634111,0.20000000000000004,Costa Rica,0.3193424952634111,1.0637460642928391,"[('Costa Rica', 0.3193424952634111), ('Honduras', 0.3002055715954209), ('Panama', 0.21187506528769048), ('El Salvador', 0.0842884339267389), ('Guatemala', 0.0842884339267389)]"
1993-01-01,5,6,0.3,1,1,1,3,3,0.4210264861930525,0.2000000000000001,Honduras,0.4210264861930525,1.5351871709456146,"[('Honduras', 0.4210264861930525), ('Costa Rica', 0.27425091491203435), ('El Salvador', 0.10157419963163788), ('Nicaragua', 0.10157419963163788), ('Panama', 0.10157419963163788)]"
1995-09-01,7,8,0.19047619047619047,2,2,0,7,5,0.30378905018060615,0.14285714285714282,Honduras,0.30378905018060615,1.2935544532698438,"[('Honduras', 0.30378905018060615), ('Guatemala', 0.23484828907873878), ('El Salvador', 0.15373938834875653), ('Panama', 0.10788703563187822), ('Costa Rica', 0.0831020616047553), ('Belize', 0.05831708757763242), ('Nicaragua', 0.05831708757763242)]"
1997-01-01,7,10,0.23809523809523808,2,0,0,8,6,0.21146329359658939,0.14285714285714285,Costa Rica,0.21146329359658939,1.0,"[('Costa Rica', 0.21146329359658939), ('Guatemala', 0.21146329359658939), ('Honduras', 0.16684620332594224), ('Panama', 0.13465016096992044), ('El Salvador', 0.1300097352091366), ('Nicaragua', 0.07278365665091092), ('Belize', 0.07278365665091092)]"
1999-01-01,6,10,0.3333333333333333,2,0,1,5,5,0.3047916666666668,0.16666666666666674,Honduras,0.3047916666666668,1.0000000000000002,"[('Honduras', 0.3047916666666668), ('Costa Rica', 0.30479166666666674), ('Guatemala', 0.30479166666666674), ('El Salvador', 0.035625000000000004), ('Belize', 0.025), ('Nicaragua', 0.025)]"
2001-05-01,7,9,0.21428571428571427,2,1,0,7,8,0.27355481834742024,0.14285714285714282,Guatemala,0.27355481834742024,1.513051858436545,"[('Guatemala', 0.27355481834742024), ('Costa Rica', 0.18079672340516323), ('Panama', 0.1701532255629187), ('El Salvador', 0.14018427023842367), ('Honduras', 0.0919744718709378), ('Belize', 0.071668245287568), ('Nicaragua', 0.071668245287568)]"
2003-01-01,6,13,0.43333333333333335,1,0,1,9,5,0.2390487866639425,0.1666666666666666,Costa Rica,0.2390487866639425,1.131891983962905,"[('Costa Rica', 0.2390487866639425), ('Panama', 0.21119399205125633), ('Guatemala', 0.17921003737745925), ('El Salvador', 0.16775371225992522), ('Nicaragua', 0.11870390669627265), ('Honduras', 0.08408956495114363)]"
2005-01-01,7,11,0.2619047619047619,2,1,0,7,9,0.2888724804388815,0.14285714285714285,Costa Rica,0.2888724804388815,1.6691476171226831,"[('Costa Rica', 0.2888724804388815), ('Guatemala', 0.17306586755750628), ('Honduras', 0.17306586755750628), ('Panama', 0.11046775753941848), ('Nicaragua', 0.09948557958062303), ('El Salvador', 0.07752122366303214), ('Belize', 0.07752122366303214)]"
2007-01-01,7,11,0.2619047619047619,2,0,0,6,6,0.34066527542221126,0.14285714285714282,Panama,0.34066527542221126,1.897518975035027,"[('Panama', 0.34066527542221126), ('Costa Rica', 0.17953194666520939), ('Guatemala', 0.1473730360482082), ('El Salvador', 0.10341972665456606), ('Honduras', 0.08562795643164885), ('Nicaragua', 0.08058691450053664), ('Belize', 0.06279514427761944)]"
2009-01-01,7,10,0.23809523809523808,2,0,0,6,7,0.29903876977307414,0.14285714285714285,Costa Rica,0.29903876977307414,1.2606583285500121,"[('Costa Rica', 0.29903876977307414), ('Panama', 0.23720841960170405), ('Honduras', 0.19189165535401703), ('El Salvador', 0.08228020036036579), ('Nicaragua', 0.0741002509074717), ('Guatemala', 0.05774035200168354), ('Belize', 0.05774035200168354)]"
2011-01-01,7,10,0.23809523809523808,2,0,0,7,7,0.28551347559424833,0.1428571428571428,Honduras,0.28551347559424833,1.472681310002664,"[('Honduras', 0.28551347559424833), ('Panama', 0.19387322542562307), ('El Salvador', 0.13605199947026228), ('Costa Rica', 0.123076748864095), ('Guatemala', 0.10220474229372016), ('Belize', 0.0796399041760254), ('Nicaragua', 0.0796399041760254)]"
2013-01-01,7,8,0.19047619047619047,2,0,0,7,9,0.3427599101332176,0.14285714285714285,Costa Rica,0.3427599101332176,2.2784479073361483,"[('Costa Rica', 0.3427599101332176), ('Panama', 0.15043570187828256), ('Belize', 0.11587600913241568), ('El Salvador', 0.11414787304149322), ('Honduras', 0.11414787304149322), ('Nicaragua', 0.08131631638654878), ('Guatemala', 0.08131631638654878)]"
2014-09-01,2,1,0.5,1,0,5,0,7,0.649122638064138,0.4999999999999999,Costa Rica,0.649122638064138,1.849998627676622,"[('Costa Rica', 0.649122638064138), ('Nicaragua', 0.3508773619358619)]"
2017-01-01,6,8,0.26666666666666666,2,4,0,8,1,0.30794648877560726,0.16666666666666666,Honduras,0.30794648877560726,1.5741218632266634,"[('Honduras', 0.30794648877560726), ('Panama', 0.19563065348979589), ('El Salvador', 0.1664577374675754), ('Costa Rica', 0.11681248542809408), ('Nicaragua', 0.11681248542809408), ('Belize', 0.09634014941083333)]"
