snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1961-09-01,3,3,0.5,1,0,0,0,0,0.5208692975273159,0.3333333333333333,Vietnam Republic,0.5208692975273159,1.849999099124769,"[('Vietnam Republic', 0.5208692975273159), ('Malaysia', 0.28155110874039785), ('Indonesia', 0.19757959373228617)]"
1962-09-01,4,6,0.5,1,1,0,4,1,0.30554155829031626,0.25,Vietnam Republic,0.30554155829031626,1.0280321227515188,"[('Vietnam Republic', 0.30554155829031626), ('Thailand', 0.2972101275128807), ('Indonesia', 0.23343473174786417), ('Malaysia', 0.163813582448939)]"
1965-09-01,2,1,0.5,1,0,2,1,6,0.649122638064138,0.4999999999999999,Vietnam Republic,0.649122638064138,1.849998627676622,"[('Vietnam Republic', 0.649122638064138), ('Thailand', 0.3508773619358619)]"
1966-09-01,3,2,0.3333333333333333,1,1,0,1,0,0.5744685965480859,0.3333333333333333,Vietnam Republic,0.5744685965480859,2.7000056488803987,"[('Vietnam Republic', 0.5744685965480859), ('Malaysia', 0.212765701725957), ('Thailand', 0.212765701725957)]"
1967-09-01,8,16,0.2857142857142857,2,5,0,15,1,0.33857469312830607,0.125,Australia,0.33857469312830607,1.849999727586857,"[('Australia', 0.33857469312830607), ('South Korea', 0.1830133745857052), ('Vietnam Republic', 0.1284306424583555), ('Malaysia', 0.10007599414273058), ('New Zealand', 0.07022886677218831), ('Thailand', 0.07022886677218831), ('Singapore', 0.054723781070262975), ('Hong Kong', 0.054723781070262975)]"
1970-09-01,4,5,0.4166666666666667,1,1,5,5,16,0.4148035383876386,0.25,Vietnam Republic,0.4148035383876386,1.3905371289193265,"[('Vietnam Republic', 0.4148035383876386), ('Thailand', 0.2983045398507327), ('Malaysia', 0.16124585231998345), ('Indonesia', 0.12564606944164525)]"
1971-09-01,4,4,0.3333333333333333,2,1,1,3,4,0.2824424804198452,0.25000000000000006,Malaysia,0.2824424804198452,1.0,"[('Malaysia', 0.2824424804198452), ('Thailand', 0.2824424804198452), ('Vietnam Republic', 0.21755751958015487), ('Singapore', 0.21755751958015487)]"
1972-09-01,4,5,0.4166666666666667,1,1,1,5,4,0.32640979041328966,0.24999999999999994,Singapore,0.32640979041328966,1.016403661057806,"[('Singapore', 0.32640979041328966), ('Cambodia', 0.32114188773541397), ('Vietnam Republic', 0.3149483218512962), ('Malaysia', 0.037500000000000006)]"
1973-09-01,3,3,0.5,1,0,1,2,4,0.5208692975273159,0.3333333333333333,Malaysia,0.5208692975273159,1.849999099124769,"[('Malaysia', 0.5208692975273159), ('Vietnam Republic', 0.28155110874039785), ('Singapore', 0.19757959373228617)]"
1974-09-01,5,4,0.2,2,3,1,4,3,0.41390787914100396,0.2000000000000001,Vietnam Republic,0.41390787914100396,2.192985968747313,"[('Vietnam Republic', 0.41390787914100396), ('Taiwan', 0.18874169057152618), ('Laos', 0.13245014342915673), ('Malaysia', 0.13245014342915673), ('Thailand', 0.13245014342915673)]"
