snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
2000-05-01,8,11,0.19642857142857142,2,0,0,0,0,0.2616295770204583,0.125,Iran,0.2616295770204583,1.3279524988435703,"[('Iran', 0.2616295770204583), ('Iraq', 0.19701727075953013), ('Syria', 0.13702907098559836), ('Kazakhstan', 0.09616059638774697), ('Jordan', 0.08660073379970677), ('Lebanon', 0.08660073379970677), ('Kyrgyzstan', 0.06748100862362637), ('Palestine', 0.06748100862362637)]"
2002-05-01,4,2,0.16666666666666666,2,0,4,1,10,0.32456160227748454,0.24999999999999994,Jordan,0.32456160227748454,1.0,"[('Jordan', 0.32456160227748454), ('Syria', 0.32456160227748454), ('Iran', 0.17543839772251532), ('Palestine', 0.17543839772251532)]"
2002-09-01,6,6,0.2,2,2,0,6,2,0.3800937491804701,0.16666666666666663,Iraq,0.3800937491804701,2.079733533679799,"[('Iraq', 0.3800937491804701), ('Jordan', 0.18276079268094847), ('Iran', 0.1407754051687752), ('Lebanon', 0.09879001765660197), ('Palestine', 0.09879001765660197), ('Syria', 0.09879001765660197)]"
2004-05-01,6,6,0.2,2,0,0,4,4,0.30145896224556096,0.16666666666666663,Iran,0.30145896224556096,1.542922412239744,"[('Iran', 0.30145896224556096), ('Jordan', 0.1953818026455107), ('Iraq', 0.1764636151389352), ('Syria', 0.13592457004957265), ('Lebanon', 0.0953855249602101), ('Palestine', 0.0953855249602101)]"
2007-05-01,6,8,0.26666666666666666,2,0,0,5,3,0.353643642500313,0.1666666666666666,Iran,0.353643642500313,1.4944332910578624,"[('Iran', 0.353643642500313), ('Iraq', 0.23664063469168287), ('Syria', 0.15249915039352113), ('Jordan', 0.10701710595995287), ('Palestine', 0.07509973322726497), ('Lebanon', 0.07509973322726497)]"
2008-05-01,6,7,0.23333333333333334,2,2,2,5,6,0.41928440721890164,0.16666666666666666,Iran,0.41928440721890164,2.685349599342952,"[('Iran', 0.41928440721890164), ('Syria', 0.1561377361523027), ('Jordan', 0.13551250975868176), ('Qatar', 0.12026816383494385), ('Palestine', 0.084398591517585), ('Oman', 0.084398591517585)]"
2010-09-01,8,8,0.14285714285714285,3,4,2,8,7,0.30211197053088396,0.125,Kuwait,0.30211197053088396,1.2343410660241738,"[('Kuwait', 0.30211197053088396), ('Iran', 0.2447556666845655), ('Iraq', 0.13405245882393285), ('Bahrain', 0.09407166495088576), ('Yemen', 0.07246046198034131), ('Oman', 0.050849259009796866), ('Palestine', 0.050849259009796866), ('Syria', 0.050849259009796866)]"
2012-09-01,11,15,0.13636363636363635,3,3,0,15,8,0.2134594678760252,0.09090909090909091,Oman,0.2134594678760252,1.4116616674952185,"[('Oman', 0.2134594678760252), ('Syria', 0.1512114926622446), ('Iraq', 0.1307749092037381), ('Lebanon', 0.11882871387433158), ('Kuwait', 0.11201940809655067), ('Palestine', 0.07860983793292722), ('Bahrain', 0.06673428069716163), ('Saudi Arabia', 0.036072537524057424), ('Iran', 0.036072537524057424), ('Yemen', 0.02810840730445308)]"
2013-09-01,5,3,0.15,2,1,7,2,14,0.3576163319986344,0.2,Qatar,0.3576163319986344,1.4594605015022188,"[('Qatar', 0.3576163319986344), ('Kuwait', 0.24503323771389554), ('Lebanon', 0.1324501434291567), ('Palestine', 0.1324501434291567), ('Saudi Arabia', 0.1324501434291567)]"
2014-01-01,4,4,0.3333333333333333,1,2,3,4,3,0.4399862970804468,0.24999999999999997,Qatar,0.4399862970804468,1.4763705949361954,"[('Qatar', 0.4399862970804468), ('Jordan', 0.29801887045810593), ('Bahrain', 0.13099741623072358), ('Kuwait', 0.13099741623072358)]"
2019-05-01,9,12,0.16666666666666666,2,6,1,12,4,0.3287591532339178,0.1111111111111111,Bahrain,0.3287591532339178,1.6889895087419058,"[('Bahrain', 0.3287591532339178), ('Iraq', 0.19464842826572906), ('Palestine', 0.10055728683018278), ('Yemen', 0.07661432594625442), ('Jordan', 0.06799609254378097), ('Kuwait', 0.06799609254378097), ('Lebanon', 0.06799609254378097), ('Saudi Arabia', 0.04771626404628644), ('Syria', 0.04771626404628644)]"
