snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1961-01-01,4,4,0.3333333333333333,1,0,0,0,0,0.39036291569760717,0.25000000000000006,Saint Vincent and the Grenadines,0.39036291569760717,1.229330530303043,"[('Saint Vincent and the Grenadines', 0.39036291569760717), ('Grenada', 0.3175410567582492), ('Saint Lucia', 0.1716439352034471), ('Dominica', 0.12045209234069676)]"
1962-09-01,2,1,0.5,1,0,2,1,4,0.649122638064138,0.4999999999999999,Grenada,0.649122638064138,1.849998627676622,"[('Grenada', 0.649122638064138), ('Saint Vincent and the Grenadines', 0.3508773619358619)]"
1964-01-01,2,1,0.5,1,2,2,1,1,0.649122638064138,0.4999999999999999,Saint Lucia,0.649122638064138,1.849998627676622,"[('Saint Lucia', 0.649122638064138), ('Dominica', 0.3508773619358619)]"
1965-09-01,4,4,0.3333333333333333,1,2,0,4,1,0.33260554622228633,0.2499999999999999,Dominica,0.33260554622228633,1.0387002386455817,"[('Dominica', 0.33260554622228633), ('Saint Vincent and the Grenadines', 0.32021321825822335), ('Saint Lucia', 0.3096812355194899), ('Grenada', 0.037500000000000006)]"
1966-09-01,4,5,0.4166666666666667,1,0,0,3,2,0.49277103533536337,0.25,Saint Vincent and the Grenadines,0.49277103533536337,2.700000648325816,"[('Saint Vincent and the Grenadines', 0.49277103533536337), ('Dominica', 0.18250774704106643), ('Grenada', 0.18250774704106643), ('Saint Lucia', 0.14221347058250372)]"
1967-09-01,4,5,0.4166666666666667,1,0,0,3,3,0.4148035383876386,0.25,Grenada,0.4148035383876386,1.3905371289193265,"[('Grenada', 0.4148035383876386), ('Saint Lucia', 0.2983045398507327), ('Saint Vincent and the Grenadines', 0.16124585231998345), ('Dominica', 0.12564606944164525)]"
1968-09-01,3,2,0.3333333333333333,1,0,1,0,3,0.37012974744707666,0.3333333333333332,Grenada,0.37012974744707666,1.0,"[('Grenada', 0.37012974744707666), ('Saint Lucia', 0.37012974744707666), ('Dominica', 0.25974050510584634)]"
1969-09-01,4,5,0.4166666666666667,1,1,0,3,0,0.3078271658713714,0.24999999999999994,Grenada,0.3078271658713714,1.0,"[('Grenada', 0.3078271658713714), ('Saint Vincent and the Grenadines', 0.3078271658713714), ('Saint Lucia', 0.21601892496340513), ('Dominica', 0.16832674329385186)]"
1970-09-01,4,4,0.3333333333333333,1,0,0,1,2,0.5044308431393429,0.25000000000000006,Grenada,0.5044308431393429,2.4464895892168252,"[('Grenada', 0.5044308431393429), ('Saint Vincent and the Grenadines', 0.20618556701106677), ('Dominica', 0.14469179492479523), ('Saint Lucia', 0.14469179492479523)]"
1971-09-01,4,3,0.25,2,0,0,2,3,0.47060860306562025,0.25000000000000006,Dominica,0.47060860306562025,1.850003815498855,"[('Dominica', 0.47060860306562025), ('Grenada', 0.2543825040375499), ('Saint Vincent and the Grenadines', 0.137504446448415), ('Saint Lucia', 0.137504446448415)]"
1972-09-01,4,5,0.4166666666666667,1,0,0,5,3,0.49277103533536337,0.24999999999999997,Saint Lucia,0.49277103533536337,2.700000648325816,"[('Saint Lucia', 0.49277103533536337), ('Grenada', 0.18250774704106643), ('Saint Vincent and the Grenadines', 0.18250774704106643), ('Dominica', 0.14221347058250372)]"
1973-09-01,4,6,0.5,1,0,0,5,4,0.2928543513549804,0.24999999999999997,Saint Lucia,0.2928543513549804,1.045300466672065,"[('Saint Lucia', 0.2928543513549804), ('Saint Vincent and the Grenadines', 0.2801628437872453), ('Dominica', 0.2303772810144189), ('Grenada', 0.19660552384335533)]"
1974-09-01,4,5,0.4166666666666667,1,0,0,2,3,0.4148035383876386,0.25,Grenada,0.4148035383876386,1.3905371289193265,"[('Grenada', 0.4148035383876386), ('Saint Vincent and the Grenadines', 0.2983045398507327), ('Dominica', 0.16124585231998345), ('Saint Lucia', 0.12564606944164525)]"
1984-09-01,4,2,0.16666666666666666,2,0,0,2,5,0.32456160227748454,0.24999999999999994,Grenada,0.32456160227748454,1.0,"[('Grenada', 0.32456160227748454), ('Saint Lucia', 0.32456160227748454), ('Dominica', 0.17543839772251532), ('Saint Vincent and the Grenadines', 0.17543839772251532)]"
1986-09-01,2,1,0.5,1,0,2,0,1,0.649122638064138,0.4999999999999999,Saint Lucia,0.649122638064138,1.849998627676622,"[('Saint Lucia', 0.649122638064138), ('Saint Vincent and the Grenadines', 0.3508773619358619)]"
1995-09-01,5,6,0.3,2,3,0,5,0,0.3146115929001003,0.20000000000000004,Dominica,0.3146115929001003,1.4200636769531854,"[('Dominica', 0.3146115929001003), ('Grenada', 0.22154752494980687), ('Saint Vincent and the Grenadines', 0.1726344905842123), ('Saint Lucia', 0.1700597129657376), ('Barbados', 0.12114667860014305)]"
2001-01-01,4,5,0.4166666666666667,1,0,1,5,6,0.3078271658713714,0.24999999999999994,Grenada,0.3078271658713714,1.0,"[('Grenada', 0.3078271658713714), ('Saint Vincent and the Grenadines', 0.3078271658713714), ('Saint Lucia', 0.21601892496340513), ('Dominica', 0.16832674329385186)]"
