snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1877-05-01,22,21,0.045454545454545456,5,0,0,0,0,0.2747036761879092,0.04545454545454548,Spencer William Gore,0.2747036761879092,2.4889366185314965,"[('Spencer William Gore', 0.2747036761879092), ('William Cecil Marshall', 0.1103698961807986), ('Charles Gilbert Heathcote', 0.08295922531888006), ('Julian Marshall', 0.05965892735638435), ('Francis Nathaniel Langham', 0.05965892735638435), ('Lestocq Robert Erskine', 0.05965892735638435), ('Bayly Nash Akroyd', 0.03224825649446581), ('John Baker', 0.03224825649446581), ('Frederick William Oliver', 0.03224825649446581), ('J Lambert', 0.03224825649446581)]"
1878-05-01,35,34,0.02857142857142857,7,28,15,34,21,0.23827591115668878,0.028571428571428564,Frank Hadow,0.23827591115668878,1.4823028948865424,"[('Frank Hadow', 0.23827591115668878), ('Lestocq Robert Erskine', 0.16074711314311152), ('Charles Gipps Hamilton', 0.06377339757194751), ('Herbert Fortescue Lawford', 0.05031022880315578), ('Ac Brown', 0.0344719295285441), ('Arthur Thomas Myers', 0.0344719295285441), ('Edmond Bennet Brackenbury', 0.0344719295285441), ('Fw Porter', 0.0344719295285441), ('Robert Dalby Dalby', 0.01863363025393243), ('Alexander Astell Hadow', 0.01863363025393243)]"
1879-05-01,46,45,0.021739130434782608,6,36,25,44,33,0.2317983591929231,0.021739130434782608,John Thorneycroft Hartley,0.2317983591929231,2.6230792505956293,"[('John Thorneycroft Hartley', 0.2317983591929231), ('Cecil Francis Parr', 0.08836879752690967), ('Vere Thomas Saint Leger Goold', 0.07283442222783335), ('Charles Gilbert Heathcote', 0.0477683764459917), ('Charles David Barry', 0.047768376445991696), ('George Ernest Tabor', 0.047768376445991696), ('Arthur Thomas Myers', 0.02582105107136528), ('T Hoare', 0.02582105107136528), ('Victor Alexander Brooke', 0.02582105107136528), ('Edgar Lubbock', 0.02582105107136528)]"
1880-05-01,61,60,0.01639344262295082,7,42,27,60,45,0.1711332459736656,0.01639344262295082,Herbert Fortescue Lawford,0.1711332459736656,1.1407169164954785,"[('Herbert Fortescue Lawford', 0.1711332459736656), ('John Thorneycroft Hartley', 0.15002253714218847), ('Otway Edward Woodhouse', 0.09858139786488798), ('George Arnulph Montgomerie', 0.053285805137439565), ('George Montague Butterworth', 0.040052277762599384), ('Ernest Renshaw', 0.028802984613737107), ('Hc Jenkins', 0.028802984613737107), ('Richard Ridley Farrer', 0.028802984613737107), ('William Henry Darby Desterre', 0.028802984613737107), ('Charles Gilbert Heathcote', 0.015569457238896927)]"
1881-05-01,49,48,0.02040816326530612,6,29,41,48,60,0.2276976302325333,0.02040816326530612,William Charles Renshaw,0.2276976302325333,2.7726146658171826,"[('William Charles Renshaw', 0.2276976302325333), ('Herbert Fortescue Lawford', 0.08212379204357385), ('Richard Taswell Richardson', 0.08212379204357384), ('Gs Murray Hill', 0.04439034577749226), ('Otway Edward Woodhouse', 0.04439034577749226), ('William Henry Darby', 0.04439034577749226), ('Edgar Lubbock', 0.023994526993181123), ('Ernest Renshaw', 0.023994526993181123), ('Minden Fenwick', 0.023994526993181123), ('Hc Jenkins', 0.023994526993181123)]"
1881-09-01,25,24,0.04,5,25,49,24,48,0.25732832762383623,0.039999999999999994,Richard Dudley Sears,0.25732832762383623,1.8071282913363906,"[('Richard Dudley Sears', 0.25732832762383623), ('William E Glyn', 0.14239626973773908), ('Samuel Shaw', 0.08084978292461638), ('Crawford Nightingale', 0.05047856082949973), ('Edward H Gray', 0.05047856082949973), ('X Kessler', 0.05047856082949973), ('Wh Barnes', 0.027285787509574166), ('X Coggswell', 0.027285787509574166), ('X Anderson', 0.027285787509574166), ('Richard Field Conover', 0.027285787509574166)]"
1882-05-01,69,67,0.014279624893435636,8,57,13,66,23,0.1241701626442775,0.014492753623188404,Richard Dudley Sears,0.1241701626442775,1.3412379274189714,"[('Richard Dudley Sears', 0.1241701626442775), ('Ernest Renshaw', 0.0925787737625538), ('William Charles Renshaw', 0.08343029483689003), ('Clarence Monroe Clark', 0.08087950012906932), ('Richard Taswell Richardson', 0.043718110632502236), ('Edward H Gray', 0.029955268402904144), ('James Dwight', 0.029955268402904137), ('Herbert Fortescue Lawford', 0.029955268402904137), ('James Rankine', 0.029955268402904137), ('Arthur L Rives', 0.016192426173306042)]"
1883-05-01,51,49,0.019215686274509803,7,29,47,47,65,0.12252350753442474,0.0196078431372549,Richard Dudley Sears,0.12252350753442474,1.1941964145186263,"[('Richard Dudley Sears', 0.12252350753442474), ('Ernest Renshaw', 0.1025991252735533), ('William Charles Renshaw', 0.09375780254188797), ('Donald Charles Stewart', 0.07667395566354146), ('James Dwight', 0.06048830755426586), ('William C Taylor', 0.04144591972772085), ('Foxhall Parker Keane', 0.04144591972772085), ('Herbert William Wrangham Wilberforce', 0.02240353190117583), ('Gm Smith', 0.02240353190117583), ('Godfrey Malbone Brinley', 0.02240353190117583)]"
1884-05-01,62,63,0.016657852987837122,8,37,26,63,49,0.12695450159644672,0.016129032258064512,Herbert Fortescue Lawford,0.12695450159644672,1.121572467165038,"[('Herbert Fortescue Lawford', 0.12695450159644672), ('Charles Walder Grinstead', 0.11319331145614286), ('William Charles Renshaw', 0.11187196365744392), ('Howard Augustus Taylor', 0.09257735739098413), ('Richard Dudley Sears', 0.08264406940817307), ('William Vs Thorne', 0.04965923669618624), ('Wallace Percy Knapp', 0.026455192698419408), ('Ernest Renshaw', 0.02502733746879579), ('Clarence Monroe Clark', 0.02502733746879579), ('Herbert Chipp', 0.02023951140569872)]"
1885-05-01,51,49,0.019215686274509803,8,24,35,47,61,0.10773587103502848,0.019607843137254898,Godfrey Malbone Brinley,0.10773587103502848,1.1036185755876748,"[('Godfrey Malbone Brinley', 0.10773587103502848), ('Richard Dudley Sears', 0.09762056694058391), ('Herbert Fortescue Lawford', 0.09707407978212873), ('William Charles Renshaw', 0.08855787743149468), ('Wallace Percy Knapp', 0.05835216614321036), ('Ernest Renshaw', 0.05519712137665591), ('Walter Van Renssalaer Berry', 0.03455833254711741), ('Ernest De Sylly Hamilton Browne', 0.030191529352446896), ('James Dwight', 0.02953610784072762), ('Joseph Sill Clark', 0.028765070449383846)]"
