snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1963-01-01,14,26,0.14285714285714285,3,0,0,0,0,0.0957274150678937,0.07142857142857141,Bruno Sammartino,0.0957274150678937,1.0862083462990508,"[('Bruno Sammartino', 0.0957274150678937), ('Miguel Perez', 0.08812988354771709), ('Sr.', 0.08812988354771709), ('Pablo Iturbi', 0.08812988354771709), ('Brute Bernard', 0.07923107269468291), ('Skull Murphy', 0.07923107269468291), ('Bobby Colt', 0.07135674797389666), ('Jerry Colt', 0.07135674797389666), ('Arnold Skaaland', 0.06967051405461314), ('Buddy Rogers', 0.06967051405461314)]"
1963-05-01,13,22,0.14102564102564102,4,7,8,14,18,0.19854979810376186,0.07692307692307693,Brute Bernard,0.19854979810376186,1.8242471441124402,"[('Brute Bernard', 0.19854979810376186), ('Skull Murphy', 0.10883930872226376), ('Al Costello', 0.08641168637688924), ('Roy Heffernan', 0.08641168637688924), ('Diamond Jack', 0.07519787520420197), ('Johnny Barend', 0.07519787520420197), ('Miguel Perez', 0.05277025285882746), ('Sr.', 0.05277025285882746), ('Vittorio Apollo', 0.05277025285882746), ('Argentina Apollo', 0.05277025285882746)]"
1963-09-01,17,26,0.09558823529411764,3,8,4,22,18,0.1339498481579735,0.058823529411764684,Brute Bernard,0.1339498481579735,1.0,"[('Brute Bernard', 0.1339498481579735), ('Skull Murphy', 0.1339498481579735), ('Miguel Perez', 0.12025794746087932), ('Sr.', 0.12025794746087932), ('Pedro Morales', 0.11079378356709213), ('Hans Mortier', 0.09798169935611052), ('Gorilla Monsoon', 0.06012504378096175), ('Bobo Brazil', 0.022268388205812957), ('Pete Sanchez', 0.022268388205812957), ('Tony Nero', 0.022268388205812957)]"
1964-01-01,6,8,0.26666666666666666,2,3,14,8,26,0.2604345771746227,0.16666666666666666,Chris Tolos,0.2604345771746227,1.0,"[('Chris Tolos', 0.2604345771746227), ('John Tolos', 0.2604345771746227), ('Miguel Perez', 0.14077540516877526), ('Sr.', 0.14077540516877526), ('Pedro Morales', 0.098790017656602), ('Lou Bastein', 0.098790017656602)]"
1964-05-01,9,14,0.19444444444444445,2,6,3,14,8,0.16336262785585476,0.11111111111111108,Tony Marino,0.16336262785585476,1.050396412439487,"[('Tony Marino', 0.16336262785585476), ('Dr. Jerry Graham', 0.15552473896636243), ('Luke Graham', 0.15552473896636243), ('Miguel Perez', 0.13984896118737777), ('Sr.', 0.13984896118737777), ('Pedro Morales', 0.06147249295916613), ('Bull Johnson', 0.06147249295916613), ('Captain Lou Albano', 0.06147249295916613), ('Red Bastien', 0.06147249295916613)]"
1964-09-01,10,18,0.2,2,7,6,18,14,0.19182408055613975,0.10000000000000002,Smasher Sloan,0.19182408055613975,1.0,"[('Smasher Sloan', 0.19182408055613975), ('Waldo Von Erich', 0.19182408055613975), ('Miguel Perez', 0.11971771929775396), ('Sr.', 0.11971771929775396), ('Pedro Morales', 0.08470336899064514), ('Haystacks Calhoun', 0.07594978141386793), ('Bobby Davis', 0.05406581247192492), ('Gorilla Monsoon', 0.05406581247192492), ('Klondike Bill', 0.05406581247192492), ('The Magnificent Maurice', 0.05406581247192492)]"
1965-01-01,7,10,0.23809523809523808,2,2,5,8,16,0.23611657361345623,0.14285714285714282,Dr. Jerry Graham,0.23611657361345623,1.0,"[('Dr. Jerry Graham', 0.23611657361345623), ('Eddie Graham', 0.23611657361345623), ('Miguel Perez', 0.1457264292889911), ('Sr.', 0.1457264292889911), ('Haystacks Calhoun', 0.07877133139836837), ('Smasher Sloan', 0.07877133139836837), ('The Magnificent Maurice', 0.07877133139836837)]"
1965-05-01,8,12,0.21428571428571427,2,5,4,10,8,0.23197343470035836,0.12499999999999997,Miguel Perez,0.23197343470035836,1.0,"[('Miguel Perez', 0.23197343470035836), ('Sr.', 0.23197343470035836), ('Argentina Apollo', 0.1278911739108205), ('Smasher Sloan', 0.08163239133769253), ('The Sheik', 0.08163239133769253), ('Bob Boyer', 0.08163239133769253), ('Rick Sexton', 0.08163239133769253), ('Steve Stanlee', 0.08163239133769253)]"
1965-09-01,8,12,0.21428571428571427,2,4,4,9,9,0.31471734703450527,0.12499999999999997,Tarzan Tyler,0.31471734703450527,2.20210111378987,"[('Tarzan Tyler', 0.31471734703450527), ('Miguel Perez', 0.14291684658061365), ('Sr.', 0.14291684658061365), ('Argentina Apollo', 0.09208857672596833), ('Bobo Brazil', 0.09208857672596833), ('Smasher Sloan', 0.0717572687841102), ('Waldo Von Erich', 0.0717572687841102), ('The Magnificent Maurice', 0.0717572687841102)]"
1966-01-01,5,6,0.3,1,2,5,4,10,0.2673014685666936,0.20000000000000004,Tarzan Tyler,0.2673014685666936,1.0,"[('Tarzan Tyler', 0.2673014685666936), ('The Beast', 0.2673014685666936), ('Miguel Perez', 0.17225727572210187), ('Sr.', 0.17225727572210187), ('Angelo Savoldi', 0.12088251142240913)]"
