snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1963-01-01,58,84,0.025408348457350273,9,0,0,0,0,0.13056495750236052,0.017241379310344827,Pat Barrett,0.13056495750236052,1.0277201467477497,"[('Pat Barrett', 0.13056495750236052), ('""Mr. Wrestling"" Tim Woods', 0.12704329862126099), ('Buddy Rogers', 0.1210017406474853), ('The Shadow', 0.039359912519346216), ('Bruno Sammartino', 0.035371970704684286), ('Buddy Austin', 0.03367397506462881), ('The Great Scott', 0.02839771660994793), ('Dory Dixon', 0.025078739878698762), ('Killer Kowalski', 0.02391957840064893), ('Hans Mortier', 0.018126640344191182)]"
1963-05-01,46,73,0.035265700483091786,6,16,28,69,80,0.20756211882378472,0.021739130434782605,Johnny Barend,0.20756211882378472,1.0240968191088866,"[('Johnny Barend', 0.20756211882378472), ('Bobo Brazil', 0.2026782184563311), ('Bruno Sammartino', 0.07601610040745195), ('Hans Mortier', 0.04243022420498697), ('Edouard Carpentier', 0.02446336798053802), ('The Shadow', 0.024400682437479566), ('Vittorio Apollo', 0.02168895509186182), ('""Mr. Wrestling"" Tim Woods', 0.018592260147112072), ('Gorilla Monsoon', 0.01791895563723398), ('Jolly Cholly', 0.017608654219585525)]"
1963-09-01,48,51,0.022606382978723406,12,17,15,44,66,0.11016280470812213,0.02083333333333333,Bruno Sammartino,0.11016280470812213,1.6580998674941514,"[('Bruno Sammartino', 0.11016280470812213), ('Killer Kowalski', 0.06643918552059755), ('Vittorio Apollo', 0.05544517859642664), ('Dory Dixon', 0.046602454081244235), ('Edouard Carpentier', 0.04041539472072926), ('Johnny Barend', 0.03725297064834729), ('The Shadow', 0.03365608008001628), ('Gorilla Monsoon', 0.03147502471748645), ('Karl von Hess', 0.030459744776597485), ('Bobo Brazil', 0.024433718203635286)]"
1964-01-01,17,13,0.04779411764705882,4,10,41,12,50,0.14647266122935854,0.058823529411764705,Bruno Sammartino,0.14647266122935854,1.5691674810192546,"[('Bruno Sammartino', 0.14647266122935854), ('Dr. Jerry Graham', 0.09334418601016192), ('Hans Mortier', 0.0825501946756801), ('Bill Watts', 0.07740965954261858), ('Don McClarity', 0.07740965954261858), ('Tony Marino', 0.06712858927649552), ('Pedro Morales', 0.06712858927649552), ('Roy Heffernan', 0.05170698387731094), ('Ernie Ladd', 0.04656644874424941), ('Klondike Bill', 0.03628537847812635)]"
1964-05-01,21,17,0.04047619047619048,6,12,8,16,12,0.23076710405390524,0.047619047619047616,Bruno Sammartino,0.23076710405390524,1.0774344794081816,"[('Bruno Sammartino', 0.23076710405390524), ('Freddie Blassie', 0.21418203005779257), ('Killer Kowalski', 0.06399828240801607), ('Bill Watts', 0.05407035145705692), ('Bobby Davis', 0.04870390244476529), ('Red Bastien', 0.04870390244476529), ('Pedro Morales', 0.0410375473557892), ('Don McClarity', 0.03848209565946383), ('Klondike Bill', 0.0333711922668131), ('Bobo Brazil', 0.02826028887416237)]"
1964-09-01,23,18,0.03557312252964427,6,10,8,17,16,0.0988470022732815,0.043478260869565216,Freddie Blassie,0.0988470022732815,1.1656879167428444,"[('Freddie Blassie', 0.0988470022732815), ('Haystacks Calhoun', 0.08479714068708799), ('Gorilla Monsoon', 0.07257559344200314), ('Bruno Sammartino', 0.07254298593411497), ('Pedro Morales', 0.05944807923331438), ('Bill Watts', 0.05819522624360808), ('Arnold Skaaland', 0.04275137750718025), ('Gene Kiniski', 0.04275137750718025), ('Steve Stanlee', 0.04275137750718025), ('Robert Duranton', 0.04275137750718025)]"
1965-01-01,17,14,0.051470588235294115,5,5,11,13,17,0.15954689605375758,0.05882352941176469,Bill Watts,0.15954689605375758,1.0,"[('Bill Watts', 0.15954689605375758), ('Bruno Sammartino', 0.15954689605375758), ('Bobo Brazil', 0.09611972950494382), ('Wahoo McDaniel', 0.09361848911542153), ('Gorilla Monsoon', 0.08492146443885605), ('Don McClarity', 0.07174732356028092), ('Sweet Daddy Siki', 0.044280861184449016), ('Haystacks Calhoun', 0.044280861184449016), ('Argentina Apollo', 0.034108176400718566), ('Kenny Ackles', 0.034108176400718566)]"
1965-05-01,22,18,0.03896103896103896,6,11,6,17,13,0.23091568740036383,0.04545454545454545,Bruno Sammartino,0.23091568740036383,1.0740295562359876,"[('Bruno Sammartino', 0.23091568740036383), ('Dr. Bill Miller', 0.21499937879700828), ('Arnold Skaaland', 0.06647371727063037), ('Waldo Von Erich', 0.05506711862171494), ('Chief Big Heart', 0.04790469056671561), ('Bill Watts', 0.03464110006391936), ('Dr. Jerry Graham', 0.03464110006391936), ('Don McClarity', 0.02668294576224161), ('Smasher Sloan', 0.02668294576224161), ('Tarzan Tyler', 0.02668294576224161)]"
1965-09-01,23,19,0.037549407114624504,7,9,8,17,16,0.12663476802086193,0.043478260869565216,Bruno Sammartino,0.12663476802086193,1.157653991008178,"[('Bruno Sammartino', 0.12663476802086193), ('Tarzan Tyler', 0.10938913440844117), ('Chief Big Heart', 0.10090679987461693), ('Angelo Savoldi', 0.07380507460025257), ('Baron Mikel Scicluna', 0.053730205604969314), ('Arnold Skaaland', 0.043692771107327694), ('Bobo Brazil', 0.043692771107327694), ('Johnny Valentine', 0.043692771107327694), ('Tony Newberry', 0.043692771107327694), ('Argentina Apollo', 0.03365533660968607)]"
1966-01-01,16,15,0.0625,4,6,13,14,18,0.13515009092582814,0.0625,Bruno Sammartino,0.13515009092582814,1.4299750787091372,"[('Bruno Sammartino', 0.13515009092582814), ('Argentina Apollo', 0.09451220020409756), ('King Curtis Iaukea', 0.08806121247488383), ('The Beast', 0.08110920016002274), ('Angelo Savoldi', 0.07120281201634027), ('Antonio Pugliese', 0.06179744845830518), ('Chief Big Heart', 0.06179744845830518), ('Smasher Sloan', 0.05484543614344408), ('The Magnificent Maurice', 0.05484543614344408), ('The Sheik', 0.05484543614344408)]"
