snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1963-01-01,45,118,0.0595959595959596,4,0,0,0,0,0.07358681445481144,0.022222222222222223,Bobo Brazil,0.07358681445481144,1.1098971059315388,"[('Bobo Brazil', 0.07358681445481144), ('Chris Tolos', 0.06630057332481273), ('John Tolos', 0.06630057332481273), ('Brute Bernard', 0.06558822949815607), ('Skull Murphy', 0.06558822949815607), ('Dory Dixon', 0.05965019954977758), ('Bruno Sammartino', 0.044669355490793636), ('Johnny Barend', 0.04435641552493742), ('The Magnificent Maurice', 0.04435641552493742), ('Bobby Colt', 0.043578199842551145)]"
1963-05-01,38,104,0.07396870554765292,5,15,22,82,96,0.07677996825169764,0.02631578947368421,Johnny Barend,0.07677996825169764,1.0392136451719913,"[('Johnny Barend', 0.07677996825169764), ('Al Costello', 0.07388275607080817), ('Roy Heffernan', 0.07388275607080817), ('Bobo Brazil', 0.07190820286990253), ('Buddy Rogers', 0.06757141426544075), ('Buddy Austin', 0.05353811814698689), ('Bruno Sammartino', 0.05105227268587883), ('Pedro Morales', 0.05097491239823496), ('Brute Bernard', 0.03863544661291026), ('Skull Murphy', 0.03863544661291026)]"
1963-09-01,32,63,0.06350806451612903,4,8,14,40,81,0.08335801781531176,0.031249999999999997,Al Costello,0.08335801781531176,1.0,"[('Al Costello', 0.08335801781531176), ('Roy Heffernan', 0.08335801781531176), ('Bobo Brazil', 0.08170122810717881), ('Dory Dixon', 0.06931514565679832), ('Gorilla Monsoon', 0.058721799411710726), ('Hans Mortier', 0.058721799411710726), ('Chris Tolos', 0.045794720680369994), ('John Tolos', 0.045794720680369994), ('Farmer Pete', 0.04019541749529236), ('Tiny Tim', 0.030905855657506986)]"
1964-01-01,13,16,0.10256410256410256,3,2,21,13,60,0.11747932229939903,0.07692307692307694,Tiny Tim,0.11747932229939903,1.195274095714983,"[('Tiny Tim', 0.11747932229939903), ('Billy The Kid', 0.09828651245815366), ('Bobo Brazil', 0.09828651245815366), ('Sky Low Low', 0.09828651245815366), ('Irish Jackie', 0.08530361154745576), ('Pancho Lopez', 0.08530361154745576), ('Argentina Apollo', 0.07570720662683307), ('Vittorio Apollo', 0.07570720662683307), ('Gorilla Monsoon', 0.05312790079551249), ('Killer Kowalski', 0.05312790079551249)]"
1964-05-01,16,34,0.14166666666666666,3,10,7,34,16,0.14010879103573692,0.06249999999999999,Bobo Brazil,0.14010879103573692,1.0,"[('Bobo Brazil', 0.14010879103573692), ('Ernie Ladd', 0.14010879103573692), ('Dr. Jerry Graham', 0.13323091117847508), ('Luke Graham', 0.13323091117847508), ('Gorilla Monsoon', 0.09827181605778035), ('Killer Kowalski', 0.09827181605778035), ('Cowboy Bradley', 0.038725968223301495), ('Sonny Boy Cassidy', 0.038725968223301495), ('Grizzly Smith', 0.026863902879937885), ('Luke Brown', 0.026863902879937885)]"
1964-09-01,11,19,0.17272727272727273,2,5,10,15,30,0.17744597179254928,0.09090909090909093,Bobo Brazil,0.17744597179254928,1.0,"[('Bobo Brazil', 0.17744597179254928), ('Haystacks Calhoun', 0.17744597179254928), ('Dr. Jerry Graham', 0.16892199106380795), ('Luke Graham', 0.15480437515105933), ('Eddie Graham', 0.053978879121575556), ('Freddie Blassie', 0.053978879121575556), ('Gorilla Monsoon', 0.053978879121575556), ('Bill Watts', 0.039861263208826936), ('Don McClarity', 0.039861263208826936), ('Jim Hady', 0.039861263208826936)]"
1965-01-01,12,16,0.12121212121212122,2,7,6,16,19,0.15191344906080942,0.08333333333333331,Bill Watts,0.15191344906080942,1.0,"[('Bill Watts', 0.15191344906080942), ('Bruno Sammartino', 0.15191344906080942), ('Gene Kiniski', 0.12448083794758624), ('Waldo Von Erich', 0.12448083794758624), ('Pancho Lopez', 0.08529260383348042), ('Sonny Boy Cassidy', 0.08529260383348042), ('Bobo Brazil', 0.046104369719374594), ('Dr. Jerry Graham', 0.046104369719374594), ('Eddie Graham', 0.046104369719374594), ('Haystacks Calhoun', 0.046104369719374594)]"
1965-05-01,16,20,0.08333333333333333,4,9,5,20,16,0.0997812519791963,0.0625,Argentina Apollo,0.0997812519791963,1.0,"[('Argentina Apollo', 0.0997812519791963), ('Bobo Brazil', 0.0997812519791963), ('Art Thomas', 0.08114062598959815), ('Fuzzy Cupid', 0.08114062598959815), ('Haystacks Calhoun', 0.08114062598959815), ('Sky Low Low', 0.08114062598959815), ('Chief Big Heart', 0.06250000000000001), ('Chief White Owl', 0.06250000000000001), ('Dr. Jerry Graham', 0.043859374010401866), ('Smasher Sloan', 0.043859374010401866)]"
1965-09-01,12,16,0.12121212121212122,3,8,12,16,20,0.1751290398138916,0.08333333333333333,Bruno Sammartino,0.1751290398138916,1.0,"[('Bruno Sammartino', 0.1751290398138916), ('Dan Miller', 0.1751290398138916), ('Dr. Bill Miller', 0.1751290398138916), ('Johnny Valentine', 0.1751290398138916), ('Lord Littlebrook', 0.048600558892487614), ('Rollie the Hawk', 0.048600558892487614), ('The Jamaica Kid', 0.048600558892487614), ('Tiny Tim', 0.048600558892487614), ('Fuzzy Cupid', 0.026270401293620814), ('Sky Low Low', 0.026270401293620814)]"
1966-01-01,5,6,0.3,1,2,9,4,14,0.27611922133215694,0.2,Johnny Valentine,0.27611922133215694,1.1808506946852744,"[('Johnny Valentine', 0.27611922133215694), ('Antonio Pugliese', 0.2338307650365142), ('Bobo Brazil', 0.19154230874087147), ('Dan Miller', 0.14925385244522876), ('Dr. Bill Miller', 0.14925385244522876)]"
