snapshot,nodes,edges,density,communities,new_nodes,removed_nodes,new_edges,removed_edges,pagerank_max,pagerank_mean,dominant_node,dominant_score,dominance_ratio,top_pagerank
1963-01-01,76,224,0.03929824561403509,11,0,0,0,0,0.16318839773133698,0.013157894736842103,Buddy Rogers,0.16318839773133698,2.6639131311141946,"[('Buddy Rogers', 0.16318839773133698), ('Buddy Austin', 0.06125890361262743), ('Bruno Sammartino', 0.05493483750172863), ('Dory Dixon', 0.05052054308733786), ('Bobo Brazil', 0.04734392992410416), ('George Scott', 0.033974218530028674), ('""Mr. Wrestling"" Tim Woods', 0.03184519520333486), ('Pat Barrett', 0.028896146193712485), ('Skull Murphy', 0.02393682469272369), ('Brute Bernard', 0.02393682469272369)]"
1963-05-01,62,185,0.04891591750396616,8,23,37,145,184,0.167669015891767,0.01612903225806451,Bobo Brazil,0.167669015891767,1.2075442027126966,"[('Bobo Brazil', 0.167669015891767), ('Johnny Barend', 0.13885124496072748), ('Bruno Sammartino', 0.08735084754983323), ('Buddy Rogers', 0.08222558276422806), ('Al Costello', 0.038870791678626324), ('Roy Heffernan', 0.038870791678626324), ('Brute Bernard', 0.029728740859779026), ('Skull Murphy', 0.026046632962678822), ('Buddy Austin', 0.02352031542290454), ('Dory Dixon', 0.019959616834274194)]"
1963-09-01,67,135,0.030529172320217096,11,23,18,94,144,0.11603330551202216,0.014925373134328353,Bruno Sammartino,0.11603330551202216,1.5530359302798131,"[('Bruno Sammartino', 0.11603330551202216), ('Gorilla Monsoon', 0.07471385770908484), ('Hans Mortier', 0.07083388792569063), ('Killer Kowalski', 0.04093656799088113), ('Bobo Brazil', 0.03437409296565033), ('Edouard Carpentier', 0.03233549061483924), ('Vittorio Apollo', 0.0319582076450245), ('Brute Bernard', 0.028877999331877735), ('Skull Murphy', 0.027583019300389443), ('Dory Dixon', 0.02581649298350707)]"
1964-01-01,34,37,0.03297682709447415,5,10,43,32,130,0.07215037557913745,0.029411764705882353,Bruno Sammartino,0.07215037557913745,1.3467201728773694,"[('Bruno Sammartino', 0.07215037557913745), ('Chris Tolos', 0.053574882913488046), ('Hans Mortier', 0.053574882913488046), ('John Tolos', 0.053574882913488046), ('Dr. Jerry Graham', 0.04597863550491871), ('Tiny Tim', 0.03952224398734059), ('Bill Watts', 0.03813001740880869), ('Don McClarity', 0.03813001740880869), ('Billy The Kid', 0.03306585246976247), ('Bobo Brazil', 0.03306585246976247)]"
1964-05-01,35,64,0.05378151260504202,6,15,14,63,36,0.1848040648165658,0.028571428571428567,Bruno Sammartino,0.1848040648165658,1.1237426385115916,"[('Bruno Sammartino', 0.1848040648165658), ('Freddie Blassie', 0.16445408270824416), ('Bobo Brazil', 0.0642493934600934), ('Ernie Ladd', 0.06006456324099681), ('Dr. Jerry Graham', 0.06000660305632489), ('Luke Graham', 0.06000660305632489), ('Killer Kowalski', 0.05549876664672438), ('Gorilla Monsoon', 0.04609074235780014), ('Bill Watts', 0.0221365209221125), ('Tony Marino', 0.02028877017288848)]"
1964-09-01,30,53,0.06091954022988506,6,11,16,47,58,0.07695692734322043,0.03333333333333333,Freddie Blassie,0.07695692734322043,1.2578893705911949,"[('Freddie Blassie', 0.07695692734322043), ('Haystacks Calhoun', 0.0611794082551564), ('Bruno Sammartino', 0.05989516126659626), ('Bobo Brazil', 0.05515148808394456), ('Dr. Jerry Graham', 0.05268541312056296), ('Waldo Von Erich', 0.0520823496592593), ('Smasher Sloan', 0.0520823496592593), ('Pedro Morales', 0.04614236040126406), ('Luke Graham', 0.04471867987007183), ('Gorilla Monsoon', 0.037372509147158936)]"
1965-01-01,26,40,0.06153846153846154,5,7,11,34,47,0.2796000272263641,0.03846153846153844,Bill Watts,0.2796000272263641,1.0,"[('Bill Watts', 0.2796000272263641), ('Bruno Sammartino', 0.2796000272263641), ('Wahoo McDaniel', 0.04048277355201249), ('Gene Kiniski', 0.03881870311418263), ('Waldo Von Erich', 0.03881870311418263), ('Bobo Brazil', 0.034553116129164854), ('Gorilla Monsoon', 0.03012500898710574), ('Don McClarity', 0.0249157280719198), ('Dr. Jerry Graham', 0.0231096445026901), ('Eddie Graham', 0.0231096445026901)]"
1965-05-01,34,49,0.04367201426024955,6,16,8,43,34,0.13371294901470768,0.029411764705882353,Bruno Sammartino,0.13371294901470768,1.0510670905656876,"[('Bruno Sammartino', 0.13371294901470768), ('Dr. Bill Miller', 0.127216378683061), ('Argentina Apollo', 0.049798488439534445), ('Arnold Skaaland', 0.04812541609180643), ('Dr. Jerry Graham', 0.040359428387732786), ('Waldo Von Erich', 0.039400880280560754), ('Chief Big Heart', 0.036841354024814095), ('Miguel Perez', 0.03679617945457526), ('Sr.', 0.03679617945457526), ('Haystacks Calhoun', 0.03153248699100113)]"
1965-09-01,34,45,0.040106951871657755,8,12,12,33,37,0.17040772026458254,0.02941176470588236,Johnny Valentine,0.17040772026458254,1.2541682094254718,"[('Johnny Valentine', 0.17040772026458254), ('Dan Miller', 0.13587309818883503), ('Dr. Bill Miller', 0.13587309818883503), ('Bruno Sammartino', 0.12881684892695514), ('Tarzan Tyler', 0.05541966863132831), ('Angelo Savoldi', 0.027216735089283052), ('Chief Big Heart', 0.022266010977794643), ('Baron Mikel Scicluna', 0.017592897558757238), ('Miguel Perez', 0.016343649420547984), ('Sr.', 0.016343649420547984)]"
1966-01-01,21,27,0.06428571428571428,5,6,19,21,39,0.09709659423618663,0.047619047619047616,Argentina Apollo,0.09709659423618663,1.0332167393452052,"[('Argentina Apollo', 0.09709659423618663), ('The Beast', 0.09397504951160685), ('Bruno Sammartino', 0.09101399571664662), ('Tarzan Tyler', 0.0652725387794637), ('King Curtis Iaukea', 0.0593030082169591), ('Antonio Pugliese', 0.05630349432903527), ('Angelo Savoldi', 0.04795011057788365), ('Johnny Valentine', 0.04795011057788365), ('Miguel Perez', 0.04629759462003024), ('Sr.', 0.04629759462003024)]"
